datetime,SHA_storage,SHA_out,SHA_target,SHA_out_to_delta,SHA_tocs,SHA_sodd,SHA_spill,SHA_forecast,FOL_storage,FOL_out,FOL_target,FOL_out_to_delta,FOL_tocs,FOL_sodd,FOL_spill,FOL_forecast,ORO_storage,ORO_out,ORO_target,ORO_out_to_delta,ORO_tocs,ORO_sodd,ORO_spill,ORO_forecast,DEL_in,DEL_out,DEL_TRP_pump,DEL_HRO_pump,DEL_X2,DEL_SODD_CVP,DEL_SODD_SWP,Total_DEL_SODD,Total_SODD_from_RES,Total_RES_Outflow,Total_pumped_from_DEL,Total_Shortage,Reliability,Cumulative_Reliability,Rolling_Reliability_10yr,Rolling_Reliability_20yr,Rolling_Reliability_30yr,Rolling_Reliability_40yr,Rolling_Reliability_50yr
2035-10-01,2104.27885901489,5254.214696599169,5254.214696599169,3766.6950191798155,4071.6261228270832,1250.4853492684235,0.0,632.6148259254602,497.08560676618544,3215.2650187801173,3215.2650187801173,2841.0766316833406,776.7898541884125,398.7751041951818,0.0,330.4641554919324,1880.8762548850427,4061.771279302025,4061.771279302025,4061.771279302025,3272.666471506636,2645.3009473468246,0.0,253.7739918273245,22928.169541506813,19326.709614780917,1620.5149741761584,1980.9449525496996,73.19051001819798,2238.4671955192143,2845.626180533029,5084.093376052244,4294.561400810429,12531.250994681312,3601.459926725858,693.1014740845712,0.8386094854869753,0.9431017059463438,0.9286138188592611,0.8864183000641713,0.8867883790931492,0.8995307896986839,0.9151598093371693
2036-10-01,1953.581125278226,3460.7404601991793,3460.7404601991793,1884.2745273691478,4135.013069868044,862.0851825605869,0.0,869.2833916364308,620.1087111494882,3100.7728602307175,3038.483870368343,2728.361247327489,769.2471204508015,329.91827835432946,62.2889898623755,418.9691677721743,2009.5156736955212,3155.8999327972315,2965.716748041664,3155.8999327972315,3269.329233994969,2011.3612462775313,190.18318475556725,683.4880747980633,23042.629072771237,19414.505215844347,1657.26158511232,1970.8622718145687,72.30354541037447,1738.5328333947589,2238.741997458226,3977.2748308529845,3203.364707192448,9717.413253227129,3628.123856926889,0.0,1.0,0.9437633140167351,0.9286138188592611,0.9213818263594229,0.892287653813739,0.8995307896986839,0.9151598093371693
2037-10-01,2729.572005676188,3876.3057779485534,3876.3057779485534,2379.720936072062,4152.861194480307,990.6117312289833,0.0,788.2644566170634,692.4053679420275,2549.943656209283,2549.943656209283,2176.64365620929,797.3286650216966,228.20194087951614,0.0,2990.6422739404884,2532.189037061749,3110.749744257468,3110.749744257468,3110.749744257468,3300.7124277016746,2464.4072453107956,0.0,491.22075796814164,17125.86710640133,13171.011171974253,1699.6275359048022,2255.228398522256,75.46711147468581,2142.496633038927,2915.164970025408,5057.6616030643345,3683.220917419295,9536.999178415304,3954.8559344270584,0.0,1.0,0.944409712706198,0.9286138188592611,0.9220294427974889,0.8942007551526683,0.8995307896986839,0.9151598093371693
2038-10-01,3266.185059933756,5089.975774998887,4923.821745317172,3497.423433344002,4144.331072584296,1003.2202421712067,166.15402968171566,705.6772719088272,691.2140414268052,2109.3301374851408,2109.3301374851408,1736.0301374851424,796.1425795715918,220.17924509109864,0.0,312.9152780683723,2383.1353540274636,3042.7890244962823,3042.7890244962823,3042.7890244962823,3301.5470776255706,2445.6297634523776,0.0,343.6400442239434,18195.086436757414,14382.471654499272,1588.1044924292987,2224.5102898288314,74.58913588316959,2150.703775431102,2897.1278067392823,5047.831582170384,3669.029250714683,10242.09493698031,3812.61478225813,0.0,1.0,0.9450414205163548,0.9286138188592611,0.9315778006626354,0.8942007551526683,0.9029932689879077,0.9151598093371693
2039-10-01,2654.8924476590787,4285.623784836864,4285.623784836864,2686.8839028371613,4112.603907916053,1147.492235882282,0.0,639.3209916754312,726.3095948803784,2340.6853529465548,2295.4512554706666,1966.4969658497848,784.6305184808682,368.4261973206526,45.2340974758888,4014.902385399005,1990.0185394010941,3043.1179256243754,3043.1179256243754,3043.1179256243754,3297.9264138894837,2820.354865599774,0.0,382.0105862403232,12116.250267354484,8729.852521361845,1425.6453324286892,1960.7524135639374,79.88097224532768,2729.575908586838,3371.251397857291,6100.827306444129,4336.273298802708,9669.427063407795,3386.3977459926264,949.8755528100819,0.7809465669351715,0.9431976581165662,0.9067084755527782,0.920625129009394,0.8947875748527626,0.897516933161287,0.9107787406758727
2040-10-01,2528.568142620736,6104.293635898788,6104.293635898788,4628.1375713826565,4061.095840109991,1269.317452161845,0.0,649.2278527081177,613.222250555526,3874.695005079611,3874.695005079611,3502.2833921763845,760.4304494307196,399.37585972398006,0.0,374.4527081633684,2150.334910067018,4926.823468856443,4926.823468856443,4926.823468856443,3262.942054794521,2671.07672601736,0.0,295.81097900141697,26719.297024969368,22903.979547788942,1594.1429059034124,2221.174571276947,72.92834719817601,2270.5785714272965,2872.540624147151,5143.119195574447,4339.770037903185,14905.812109834842,3815.3174771803597,524.4525607228252,0.8791519928147573,0.9424860396132128,0.8946236748342539,0.9226574060952795,0.9016175256640732,0.9006776595812738,0.9083617805321679
2041-10-01,2679.469207284822,4830.221771583004,4830.221771583004,3324.6225649855865,4134.984524069013,1262.1681734571257,0.0,678.6209342427179,569.4594480424795,2508.901282765969,2508.901282765969,2135.601282765969,793.4124563941122,356.4573562046253,0.0,339.8391010873239,1906.143937269667,3190.6136757542863,3190.6136757542863,3190.6136757542863,3295.6750913242004,2603.2190191220907,0.0,289.91821726366464,17672.16320425578,14202.71330989778,1515.6659837086647,1953.7839106493605,73.90627420558343,2215.807481775671,2806.75323292938,5022.5607147050505,4221.844548783842,10529.73673010326,3469.449894358025,752.3946544258165,0.8217853249375197,0.9411596581332601,0.8768022073280057,0.9137466723421553,0.8973252781842578,0.8962222927047119,0.9047974870309183
2042-10-01,1920.0688069307914,2715.5277006969645,2715.5277006969645,1583.1945130347385,4206.520547945205,650.6795445349646,0.0,635.6763027353654,531.0015432721109,1718.3793774842406,1718.3793774842406,1345.0793774842425,794.3753424657534,341.23214352852375,0.0,296.37072501086385,1566.1602900128385,1782.2231857672741,1782.2231857672741,1782.2231857672741,3308.2147336377475,1576.6810574000708,0.0,256.06800106615196,8890.219725189974,6508.797606301427,1114.0916413268503,1267.3304775616712,85.75971423722868,2479.779220158717,3153.3621148001416,5633.141334958858,2568.5927454635594,6216.130263948479,2381.4221188885213,187.1706265750381,0.9271310615878661,0.9410071733882015,0.8695153134867925,0.9101032254215486,0.9023305094624441,0.9003166579767441,0.9033401082626756
2043-10-01,2320.660484110797,3815.2838510071974,3815.2838510071974,2349.4023027292656,4106.0659215709875,986.8912587592459,0.0,671.339319049967,571.7676062693995,2346.739058574903,2346.739058574903,1972.5506714781316,779.8090268113908,261.6044375853223,0.0,319.81464924808193,2065.058378140094,3110.6187497755964,3097.1933125691453,3110.6187497755964,3270.1662819226053,2471.467661691764,13.425437206451079,341.11263059572394,18194.43015818582,14980.441513789854,1294.2088045616747,1919.7798398342568,75.50361179876268,2245.1497259697608,2956.3814489194906,5201.531174889251,3719.9633580363325,9272.641659357698,3213.9886443959313,505.9747136404012,0.8639839522754086,0.9401789667095694,0.8915063892911033,0.9167322172185877,0.9000454966611382,0.8969162567836294,0.9006197873081838
2044-10-01,2804.0226746609837,6797.248276793636,6881.434895867406,5103.4853735678225,4062.4783304974003,1377.1287739581594,0.0,645.6936419485023,726.213931218084,3211.6180191163608,3162.102122082412,2839.2064062131303,781.2299296240485,246.41685016956504,49.515897033947,365.03975213822565,2303.349039746184,4549.596620505013,4499.444139640711,4549.596620505013,3278.0111562257957,2416.6749290421117,50.152480864302106,303.1281559257813,25297.894895249265,20498.664031139655,2045.5114971953938,2753.7193669142443,72.34982995275327,2089.8894660644996,2618.704711405919,4708.594177470419,4040.2205531698364,14558.46291641501,4799.230864109638,0.0,1.0,0.9408153606807441,0.9111608384037696,0.9167322172185877,0.9000454966611382,0.8969162567836294,0.9006197873081838
