datetime,SHA_storage,SHA_out,SHA_target,SHA_out_to_delta,SHA_tocs,SHA_sodd,SHA_spill,SHA_forecast,FOL_storage,FOL_out,FOL_target,FOL_out_to_delta,FOL_tocs,FOL_sodd,FOL_spill,FOL_forecast,ORO_storage,ORO_out,ORO_target,ORO_out_to_delta,ORO_tocs,ORO_sodd,ORO_spill,ORO_forecast,DEL_in,DEL_out,DEL_TRP_pump,DEL_HRO_pump,DEL_X2,DEL_SODD_CVP,DEL_SODD_SWP,Total_DEL_SODD,Total_SODD_from_RES,Total_RES_Outflow,Total_pumped_from_DEL,Total_Shortage,Reliability,Cumulative_Reliability,Rolling_Reliability_10yr,Rolling_Reliability_20yr,Rolling_Reliability_30yr,Rolling_Reliability_40yr,Rolling_Reliability_50yr
1951-10-01,3634.427664430873,7322.038398297528,7030.173456358308,5624.228398297521,4063.15863046866,1202.2947767429841,291.86494193922044,759.1697367890247,768.0912806279822,2890.751414141732,2699.976961934402,2517.451414141727,780.648969870298,228.02911035855345,190.7744522073309,475.55884415723887,2915.9692307591463,4915.772676758802,4314.774961595478,4915.772676758802,3260.6893653271877,2163.3909685121766,600.9977151633207,470.0809838306847,26999.489818734884,21777.001082699935,2327.6422889554383,2894.84644707951,69.93978422422599,1736.1412757596481,2359.67491842401,4095.816194183658,3593.7148556137145,15128.562489198062,5222.4887360349485,0.0,1.0,1.0,,,,,
1952-10-01,3562.038716794948,4751.617605376713,4230.201134148372,3058.911876784732,4160.006069650073,979.5298543461909,521.4164712283418,851.9616640490855,767.8908442346419,2554.2974790446174,2418.141525427844,2181.885866141396,788.6779972518681,246.4574932114678,136.155953616773,570.1206180724284,2555.9080859704472,3212.6559242737585,2836.5918387338297,3212.6559242737585,3295.122106358525,2018.8420062842954,376.0640855399297,9365.043919268235,17629.47524937774,13460.325302008438,2073.1621906312407,2095.987756738066,75.11758338173061,1786.3812576488701,2226.30378254636,4012.6850401952297,3244.829353841954,10518.57100869509,4169.149947369307,0.0,1.0,1.0,,,,,
1953-10-01,3579.8597459509797,8003.599552448457,7525.46749779491,6305.789552448446,3980.6197705543536,720.7385123353758,510.660188354469,862.131769521169,774.7041402033133,4300.762373904036,3751.6869731373627,3927.462373904027,761.074358960879,96.8150967111226,549.0754007666742,447.1984228857082,2799.3956721008167,5562.7833830576865,3858.8322792598406,5562.7833830576865,3240.1425414752075,1183.2810849912617,1703.951103797854,425.91715855351504,35240.004981385355,29852.27566343642,2611.8530092003516,2775.8763087485368,68.72431041144397,1123.4775895212083,1383.8105921950505,2507.288181716259,2000.83469403776,17867.145309410178,5387.729317948888,0.0,1.0,1.0,,,,,
1954-10-01,3378.7619257027545,3842.5999632630655,3842.5999632630655,2203.1360118104276,4192.000796431985,1117.7054900419955,0.0,728.1447938180964,774.9071817180889,2281.0669758861354,2249.5324511574854,1907.7669758861393,796.3743066646394,229.53158031106508,31.534524728650126,513.575703569636,2741.3438621924192,3604.229711579865,3604.229711579865,3604.229711579865,3313.882191780822,2478.4575654498867,0.0,892.1969844201769,13493.586229423126,9678.712216918862,1764.5607289500945,2050.313283554146,77.27934815010344,2394.9468004689575,2960.8723765571062,5355.819177026064,3825.6946358029472,9727.896650729066,3814.8740125042405,10.820623298706778,0.9971715925266378,0.9992928981316594,,,,,
1955-10-01,3168.7131969544926,5141.472723790941,4896.189445240188,3515.8321016375903,4105.467094394391,1147.041758513745,245.28327855075077,732.287113856797,754.1757547979263,3126.161157343499,3126.161157343499,2751.9727702467235,775.7737579662995,328.10492589902844,0.0,370.87572897068503,2413.663350203358,4034.5717752498895,3818.736587085652,4034.5717752498895,3270.15146571379,2411.975129895088,215.83518816423702,318.38033570988955,24399.00214537882,20166.648887453804,1939.294167292376,2293.059090632654,71.60114729830156,2023.2190673632629,2610.60042484756,4633.819492210823,3887.1218143078613,12302.205656384329,4232.3532579250295,0.0,1.0,0.9994343185053275,,,,,
1956-10-01,3146.9399216468682,4785.0960349912075,4677.280366842289,3149.8298769664034,4106.543200147548,1113.5010166061224,107.81566814891812,799.3111438342314,732.1444870602999,2533.432730799065,2531.4309097028404,2161.0211178958475,774.6803215251454,296.3994652252835,2.0018210962244893,354.14616859764465,2375.3744205176467,3149.1977147608086,2917.188540900174,3149.1977147608086,3287.034155251142,2271.5036377152283,232.0091738606343,360.0085520538421,20698.14496182121,16912.473906459727,1756.836825917385,2028.8342294441056,73.77766455809638,2016.437230951958,2501.58871738073,4518.025948332688,3681.4041195466343,10467.726480551082,3785.6710553614907,0.0,1.0,0.9995285987544396,,,,,
1957-10-01,2594.107498133062,4711.423525111868,4711.423525111868,3111.3532377902357,4193.827685652488,1029.9006364108707,0.0,875.1737435801125,761.4722391284407,1930.6101217618577,1708.7734909953754,1557.3101217618591,793.9744942629126,237.62145003138266,221.83663076648236,357.6852254805191,1790.722041844753,3161.276902040091,3161.276902040091,3161.276902040091,3317.950707917871,2442.5142708418616,0.0,471.56249397643285,9497.169038746275,5748.687611999775,1692.101875717753,2056.379551028738,81.07100504856692,2296.245633679253,2924.139371612283,5220.385005291536,3710.036357284115,9803.310548913818,3748.4814267464913,0.0,1.0,0.9995959417895196,,,,,
1958-10-01,2525.342165859841,4259.510176098491,4259.510176098491,2567.8110616981985,4128.793292221448,898.7114313068884,0.0,748.6310926887177,763.4482008216496,2343.5561353207077,2099.131165971002,1970.256135320712,788.7507743031028,279.155321250284,244.42496934970598,306.18301677807654,1768.5460755041806,2756.588050620298,2756.588050620298,2756.588050620298,3289.8760537797166,1836.1256145116445,0.0,295.14570347346296,11334.660375105825,7659.489378316627,1899.7605393258507,1775.4104574633723,78.85372962166431,1907.4948520647629,2133.216215095872,4040.711067160635,3013.9923670688167,9359.654362039497,3675.170996789223,0.0,1.0,0.9996464490658297,,,,,
1959-10-01,3343.4265676711266,4826.624697770867,4266.620124183195,3172.935137172279,4171.614234069733,1073.6568999228348,560.0045735876711,919.2686894181691,754.8718932647854,2353.0344322158603,2253.9331157194515,1978.846045119092,794.8221258894876,290.49662206268954,99.10131649640891,386.23681636147217,2354.4698322819463,2979.928881515596,2810.860097932922,2979.928881515596,3294.341856405586,2173.45486798309,169.0687835826734,468.28363932749113,17120.203839939884,12925.86273517712,2008.8967099556137,2185.4443948071753,75.17303984748541,1914.1422643530364,2378.586239271624,4292.72850362466,3537.6083899686146,10159.588011502323,4194.341104762789,0.0,1.0,0.9996857325029597,,,,,
1960-10-01,3410.420183242636,8985.808414526313,8803.97881166501,7292.045511300507,3962.976453076425,1135.5939587522626,181.829602861304,977.1819142261224,746.3744832547745,3979.8045590861357,3670.562142209978,3607.3929461829034,745.5906050075816,142.63916333523284,309.24241687615813,549.3589603353728,2675.2273133139533,5902.25189814164,4957.625316353768,5902.25189814164,3238.2504278880506,1830.9105834757868,944.6265817878652,599.6023215867511,41992.8436511881,36410.67808282635,2521.4352761896994,3060.7302921720798,67.33357350037247,1588.1131175432713,2030.1975928612612,3618.3107104045325,3109.1437055632823,18867.86487175409,5582.165568361779,0.0,1.0,0.9997171592526637,0.9997171592526637,,,,
1961-10-01,3372.484850238686,7876.610422867339,7899.919598032667,6178.800422867344,4035.415052747599,1322.0011988856972,94.20233460439704,825.6419315380408,773.6661911535723,2826.185859712686,2636.2068823915642,2452.8858597126787,789.0486586612695,160.2402407814108,189.9789773211212,447.49912281860196,2601.15937602267,4520.542903500347,4033.01685129924,4520.542903500347,3270.900649275655,2140.3091566935495,487.5260522011049,374.7035249069091,23711.739251787876,18650.325229071645,2347.8561635027336,2713.557859213527,71.70646471245216,1799.9819995651137,2342.5945107365255,4142.576510301639,3622.5505963606574,15223.339186080373,5061.414022716261,0.0,1.0,0.9997428720478762,0.9997171592526637,,,,
