datetime,SHA_storage,SHA_out,SHA_target,SHA_out_to_delta,SHA_tocs,SHA_sodd,SHA_spill,SHA_forecast,FOL_storage,FOL_out,FOL_target,FOL_out_to_delta,FOL_tocs,FOL_sodd,FOL_spill,FOL_forecast,ORO_storage,ORO_out,ORO_target,ORO_out_to_delta,ORO_tocs,ORO_sodd,ORO_spill,ORO_forecast,DEL_in,DEL_out,DEL_TRP_pump,DEL_HRO_pump,DEL_X2,DEL_SODD_CVP,DEL_SODD_SWP,Total_DEL_SODD,Total_SODD_from_RES,Total_RES_Outflow,Total_pumped_from_DEL,Total_Shortage,Reliability,Cumulative_Reliability,Rolling_Reliability_10yr,Rolling_Reliability_20yr,Rolling_Reliability_30yr,Rolling_Reliability_40yr,Rolling_Reliability_50yr
1951-10-01,3423.270844066406,7203.950831322385,6853.319841385953,5506.140831322384,4125.548947903499,1341.1183156474722,350.63098993643234,773.8848864637492,712.1727987719378,2708.0993172127137,2708.0993172127137,2334.7993172127167,787.740152555887,241.99759251410018,0.0,504.30002434689516,2796.612558009965,5569.8200576482,5449.442150966435,5569.8200576482,3256.7404371584707,2414.842176881101,120.37790668176376,456.6681901368399,28957.975526554685,23938.017718977157,2064.778367884225,2955.1794396933506,69.31073272826876,1937.6898338005246,2558.975501171832,4496.6653349723565,3997.9580850426732,15481.8702061833,5019.957807577575,0.0,1.0,1.0,,,,,
1952-10-01,2697.6925091687544,3632.849626487259,3632.849626487259,2126.992101426756,4169.262663268557,1044.30590650161,0.0,728.3015104410881,706.0712509555857,1609.3356092515407,1609.3356092515407,1236.9239963483149,796.3698630136986,241.4431649904568,0.0,362.8350506826437,1811.549658868521,2504.213056080134,2504.213056080134,2504.213056080134,3313.4040182648405,2503.1746997564974,0.0,291.7866764394103,13244.513653139224,9436.631365964879,1633.2392258339746,2174.6430613403445,77.16911726600235,2260.8247169909173,2959.1535821987513,5219.978299189668,3788.923771248564,7746.398291818934,3807.882287174319,0.0,1.0,1.0,,,,,
1953-10-01,3006.9853641830086,4199.76343299987,4199.76343299987,2624.51237982789,4113.588881809494,927.0098946222049,0.0,722.7015067941273,692.9805461137406,2635.4898081937117,2635.4898081937117,2262.189808193717,785.0197067568764,200.873839393139,0.0,339.8214170358892,2075.4097514775917,2609.666290718987,2609.666290718987,2609.666290718987,3283.7468959090484,2232.3699372433916,0.0,265.373816344485,19039.62786679715,15425.112436727457,1647.105005076085,1967.4104249935838,74.92372255711274,2002.6510825178136,2668.3571073209246,4671.008189838738,3360.2536712587353,9444.919531912568,3614.5154300696686,0.0,1.0,1.0,,,,,
1954-10-01,2909.1839382488256,4108.237798523453,4108.237798523453,2411.620552813147,4185.90570245301,848.2622288328984,0.0,816.4519760579934,746.1955249540554,2125.758629160317,2075.4214000457305,1752.4586291603218,793.48605685608,195.9778296044766,50.337229114586194,373.2172272000319,2214.2353556060534,2867.8779044092844,2867.8779044092844,2867.8779044092844,3297.7063707948932,2042.2495196070774,0.0,534.6889213978192,12557.980099581071,9028.45395629207,1482.47072497681,2047.0554183121747,78.26251990249284,1916.6791793287057,2490.070560935111,4406.749740263816,3086.489578044452,9101.874332093055,3529.5261432889847,0.0,1.0,1.0,,,,,
1955-10-01,3134.0558922155597,9577.390779535019,9940.338620079374,7875.533682760825,4002.028938304389,1503.7467335453196,2.9697855621761846,809.7275654835429,735.2222971935715,4104.289165595067,3944.4151790659657,3730.1007784982858,762.9722413531498,199.33594003941585,159.87398652910144,448.56645046207814,2368.2322292381778,6133.718609959981,6133.718609959981,6133.718609959981,3244.283614611601,2583.8070763672977,0.0,304.6770637175304,33273.762756656586,28170.757265596054,2221.4772791441465,2881.5282119164035,70.22545100376638,2046.4684756937154,2797.342227974155,4843.81070366787,4286.8897499520335,19815.39855509007,5103.00549106055,0.0,1.0,1.0,,,,,
1956-10-01,3092.1341880463237,4979.403247597717,4768.811352243083,3285.640344371911,4104.946924095841,1111.029435129916,210.5918953546343,774.4491229018361,762.9662792207876,2921.21310049612,2679.378128553482,2548.801487592886,786.049204822414,175.32109172064492,241.83497194263862,446.38596069539017,2235.4974651796765,3231.989350928187,2898.2258535679425,3231.989350928187,3283.221354642314,1957.91794389021,333.7634973602435,341.84159853218074,21425.29161513673,16832.058152146295,2265.3801858996494,2327.8532770907796,72.3621602825616,1736.4012086766052,2166.750676255995,3903.1518849326003,3244.2684707407707,11132.605699022024,4593.233462990429,0.0,1.0,1.0,,,,,
1957-10-01,3129.6327957881786,7057.607955492196,6421.799196811253,5359.797955492201,4110.299534841322,1215.2726668813855,635.8087586809424,789.5099733804835,756.2658696612921,3022.709846901783,2743.368865549054,2649.4098469017786,785.6587930888888,198.74358143242267,279.34098135273007,377.6425845907483,2370.2127082178126,4348.86269187593,3655.9153988344324,4348.86269187593,3276.978655220276,2146.2448860721174,692.9472930414986,329.518438701571,16803.10991026385,12276.563493337555,2209.406878340431,2317.1395385858655,75.89766587785084,1926.915837716177,2376.8098610028546,4303.725698719032,3560.2611343859253,14429.18049426991,4526.546416926296,0.0,1.0,1.0,,,,,
1958-10-01,3234.045871291007,4101.390144366298,4101.390144366298,2569.6669728359025,4201.942656897101,1138.1061087270305,0.0,700.6140269951173,651.9371411191694,1579.6175410680255,1579.6175410680255,1206.3175410680255,797.4657534246576,211.0608852924658,0.0,344.2501310170616,1985.3882561734524,2498.962420264863,2498.962420264863,2498.962420264863,3327.4647031963473,2563.247380311817,0.0,1240.5369789303918,10836.612689818727,6883.416878323789,1811.3550941994918,2141.8407172954435,80.0752510892037,2296.1017780848138,2991.5802881436516,5287.682066228465,3912.4143743313134,8179.970105699186,3953.1958114949352,0.0,1.0,1.0,,,,,
1959-10-01,3487.53468334831,9166.573678671955,8179.26294136306,7464.716581897753,3971.3515146734667,995.5444143236804,987.3107373088897,933.5780851945599,720.9502426216205,3979.705861182341,3414.362463569336,3605.517474085558,758.0635559253068,151.4605976328196,565.3433976130038,520.4824182734197,2468.1813233063426,5109.490994572201,3610.318481170369,5109.490994572201,3223.613988532385,1728.2642243417947,1499.172513401832,446.74145964051525,34380.81009033992,29240.575434684124,2366.513421714964,2773.72123394083,68.05141151817236,1482.2266499566636,1936.1033114513382,3418.3299614080015,2875.2692362982943,18255.770534426498,5140.234655655794,0.0,1.0,1.0,,,,,
1960-10-01,2836.4946778837507,8232.638838241335,9316.310044092428,6538.875935015533,4107.8728894552405,1487.2608010173067,119.69643355409426,719.8768181844168,629.8170634543836,3003.8299793492106,3003.8299793492106,2631.4183664459715,782.5251667868546,132.1626657298556,0.0,533.448834499215,2636.053116755413,4918.059120663563,4918.059120663563,4918.059120663563,3278.267031963471,2388.929693976503,0.0,285.8757160790196,30118.58467765382,25201.632308640746,2205.7276921361286,2711.2246768769555,71.47814915059378,2010.4177104318658,2539.902957460304,4550.32066789217,4008.3531607236655,16154.527938254108,4916.9523690130845,0.0,1.0,1.0,1.0,,,,
1961-10-01,2996.15871744184,6267.38448511808,5960.456996767492,4578.351682070915,4005.1404234377837,692.0217396665022,333.49673353765866,981.9797457158548,724.1269663130123,4089.3697436415728,3639.461615688384,3716.069743641561,759.64557164583,136.2663123814026,449.90812795318766,579.6686492032816,2644.091194568115,5336.749564079567,3498.621956983589,5336.749564079567,3237.0063209393347,1190.5488737822902,1838.1276070959848,752.8513244003186,38935.30637684194,33388.894874444304,2596.9787407820736,2949.43276161552,66.39641597771822,1144.1468243942263,1375.9748527899533,2520.1216771841796,2018.836925830195,15693.50379283922,5546.411502397594,0.0,1.0,1.0,1.0,,,,
1962-10-01,3889.85710244019,10131.308997060134,9904.246910613994,8433.49899706013,4018.8401332146914,816.3507057561943,227.06208644613707,1244.1896514373059,771.5885617399431,3960.8004934842666,3440.6658075767677,3587.5004934842605,757.1808306847125,107.74568067167662,520.1346859074984,753.0329439187507,3097.866538735772,6914.644204469656,4688.207917904766,6914.644204469656,3219.817283105023,1431.5443674342864,2226.4362865648877,74994.24567799662,40625.79820667633,34565.63778898192,2692.0123001471056,3368.1481175472877,64.094933663364,1096.926991865058,1565.6496447056145,2662.5766365706722,2355.6407538621575,21006.753695014057,6060.160417694393,0.0,1.0,1.0,1.0,,,,
1963-10-01,3282.277901919851,4091.38628100657,4091.38628100657,2466.91441510634,4207.464480874317,907.5833615404742,0.0,683.5080724243212,513.1275017475226,1341.4923272262124,1341.4923272262124,967.3039401294377,797.9508196721312,279.63782557715643,0.0,297.33742675688484,2007.549954241541,2082.5919950983844,2082.5919950983844,2082.5919950983844,3332.5943533697637,1747.5251538676257,0.0,236.21045298279455,6566.79868659777,3884.762463129305,1349.4585306779616,1332.5776927905165,84.86519356232306,2968.0529677940644,3495.0503077352514,6463.103275529316,2934.746340985256,7515.470603331167,2682.036223468478,252.71011751677815,0.9138903032307937,0.9933761771715995,0.9913890303230793,,,,
1964-10-01,3398.421487066014,12432.73109148081,13400.329627171257,10738.96818825502,3931.0676912260656,1105.2590438528396,0.0,841.303527577807,666.3423352559955,6112.556288392176,5734.62877474255,5740.144675488947,713.254181666648,152.56864505596283,377.9275136496301,602.7856107894517,2697.9440418607282,8713.689073989297,8287.5505891008,8713.689073989297,3188.485362501365,1960.9126599143253,426.1384848885027,412.9142327676986,66511.1076156307,61267.951432621696,2330.618972100353,2912.537210908653,62.762894075565356,1557.7062414902844,2156.868995439656,3714.5752369299403,3218.7403488231275,27258.976453862284,5243.156183009006,0.0,1.0,0.9938493073736281,0.9913890303230793,,,,
1965-10-01,3478.869570979733,7428.199389369478,7186.071745184321,5730.389389369477,4072.175089284217,1438.5330379833786,242.1276441851569,735.4626131616109,777.2887377848388,3703.650760729931,3582.9966685883296,3330.3507607299202,772.0111711108531,209.71749304965047,120.65409214160036,570.8541436745475,2764.1678723118375,5417.06938908783,5354.372227620427,5417.06938908783,3266.2835302705557,2477.760526632881,62.69716146740302,383.1965471193156,30276.034670510606,24830.192288624847,2353.047178475384,3092.7952034103773,69.17771826857822,1958.0247437055223,2679.227603335047,4637.2523470405695,4126.01105766591,16548.91953918724,5445.842381885761,0.0,1.0,0.9942593535487195,0.9913890303230793,,,,
1966-10-01,3373.0799548050636,5301.579320104005,3753.2142526744506,3603.769320104004,4131.159764256133,981.5455931684712,1548.365067429555,849.5443192312927,775.3093044189324,3383.79136090043,2855.471289502024,3010.491360900424,773.6784086593192,161.01443184703749,528.3200713984062,497.07821457227516,2411.1925108374326,3407.801401349638,2463.7538365881765,3407.801401349638,3264.5008523592087,1674.4439380049728,944.047564761458,486.0232924025535,24209.704120087015,18907.443089702872,2468.9499560249747,2833.3110743591483,71.63135659617001,1525.6663306663095,1896.795507352839,3422.4618380191487,2817.0039630204815,12093.172082354073,5302.261030384123,0.0,1.0,0.9946181439519246,0.9913890303230793,,,,
1967-10-01,3325.69219854719,10346.62538042744,10391.584259996556,8644.768283653253,3985.608775816056,1324.5979798619578,113.68166124528852,883.2979634628374,740.9442830307122,3550.5341476018466,3502.502918978979,3176.345760505071,763.100745403414,194.5200537735621,48.031228622866365,457.3570549391323,2650.168651636674,6372.261782512496,5987.700036493017,6372.261782512496,3258.841411729672,2263.016640300922,384.56174601947896,1751.7796549648212,34389.71411084151,29470.97780664228,2155.614734064302,2763.1215701349056,70.93174448929783,1897.8485712169208,2495.862780144226,4393.711351361147,3782.1346739364417,20269.42131054178,4918.736304199208,0.0,1.0,0.9949347237194585,0.9913890303230793,,,,
1968-10-01,2922.690969361697,6404.746762071666,5131.945357300093,4710.983858845857,4065.4795778072134,1119.0729960332674,1272.8014047715742,684.7763536285585,754.2917498686535,3762.847749611263,3402.611112795394,3390.4361367080255,768.0208763184364,186.6611031998617,360.23663681586936,435.3863287290544,2396.2385614214722,4760.581468578205,3869.5466594611444,4760.581468578205,3261.0251674175165,1919.9397371413374,891.034809117059,304.864873465952,28348.467140717734,23347.74801173769,2231.5605916034096,2769.1585373766147,70.56509887418571,1677.1662379335207,2147.5348618664952,3824.701099800016,3225.6738363744666,14928.175980261134,5000.719128980025,0.0,1.0,0.9952161279572663,0.9913890303230793,,,,
1969-10-01,3499.970984135265,3851.134660424036,3640.7044510906726,2153.324660424039,4184.794679834342,729.247341046435,210.43020933336447,824.7771869646701,765.8576309819607,2482.3665863753113,2266.2147928231248,2109.066586375316,782.5890410958904,215.87388180431338,216.1517935521905,521.9730195964543,2653.8459167298665,2569.630354998222,2383.9240957846364,2569.630354998222,3295.594520547945,1704.9702704691908,185.7062592135867,448.65519342707194,16678.995072635877,12288.035552376023,2131.807996209915,2259.151524049943,74.69251826116604,1398.5529507259196,1903.6669140933307,3302.2198648192502,2650.091493319939,8903.13160179757,4390.9595202598575,0.0,1.0,0.9954679106963575,0.9913890303230793,,,,
1970-10-01,3619.479345615596,5525.083247896734,5424.202325935071,3843.1689874698286,4150.761757851144,1061.8227626450785,100.88092196166417,827.7157675533545,764.7098007982645,2521.441436426283,2418.6594739604684,2148.1414364262882,796.9210074023653,301.31274485571583,102.78196246581501,476.76539055332574,2761.647999330817,3958.951309595334,3825.2759941208737,3958.951309595334,3299.0203044140035,2192.6213240271295,133.6753154744606,29099.919477359374,20720.69086161341,16481.056128132688,2021.5327805217735,2218.1019529589557,72.55628370291504,1903.0975517514146,2392.149824318996,4295.247376070411,3555.756831527924,12005.475993918351,4239.634733480729,0.0,1.0,0.9956945151615397,0.9913890303230793,0.9956945151615397,,,
1971-10-01,3273.7581051552083,5016.659217261671,4886.229648330648,3343.7008994578673,4132.144604744802,1050.2083660227086,130.4295689310229,697.3943815740574,733.632310231708,1803.4838391891813,1748.0317871820453,1429.295452092407,793.8476950529227,294.8230781202278,55.45205200713599,335.10336948148495,2118.7721275820327,3149.1428336047315,3149.1428336047315,3149.1428336047315,3296.901369380503,2185.1049691594044,0.0,290.10559713152634,13493.624267613592,9702.381027159387,1763.2912272613423,2027.952013192879,77.16655266184641,2003.5222806268887,2460.5909734472616,4464.11325407415,3530.1364133023408,9969.285890055584,3791.2432404542214,0.0,1.0,0.9958995382490854,0.9913890303230793,0.9956945151615397,,,
1972-10-01,1518.4177680531989,2849.3956389400705,2849.3956389400705,1806.2824950963961,4203.290219815229,773.6064123019709,0.0,640.5330768695723,415.8426388180439,1230.552180200483,1295.7041483937637,858.1405672972585,796.3698630136986,400.85875452468696,0.0,297.81491553956096,1051.3713558595578,1120.3859025646525,1322.7443057149485,1120.3859025646525,3332.1026484018266,1766.0648558411408,0.0,229.34174602670805,4128.783698838694,3156.5035715455288,566.7589417577137,405.52118553546507,89.45813675421509,2936.1629170666324,3532.1297116822816,6468.292628748914,2940.5300226677987,5200.333721705206,972.2801272931788,1968.2498953746199,0.3306479171435484,0.9656608281988337,0.9244538220374341,0.962226911018717,,,
