datetime,SHA_storage,SHA_out,SHA_target,SHA_out_to_delta,SHA_tocs,SHA_sodd,SHA_spill,SHA_forecast,FOL_storage,FOL_out,FOL_target,FOL_out_to_delta,FOL_tocs,FOL_sodd,FOL_spill,FOL_forecast,ORO_storage,ORO_out,ORO_target,ORO_out_to_delta,ORO_tocs,ORO_sodd,ORO_spill,ORO_forecast,DEL_in,DEL_out,DEL_TRP_pump,DEL_HRO_pump,DEL_X2,DEL_SODD_CVP,DEL_SODD_SWP,Total_DEL_SODD,Total_SODD_from_RES,Total_RES_Outflow,Total_pumped_from_DEL,Total_Shortage,Reliability,Cumulative_Reliability,Rolling_Reliability_10yr,Rolling_Reliability_20yr,Rolling_Reliability_30yr,Rolling_Reliability_40yr,Rolling_Reliability_50yr
1951-10-01,3518.7737804397143,11753.383592102693,11645.052447583768,10055.573592102699,3956.638144661943,1215.4754229808677,422.6130833044808,674.9024247721278,755.4945910793155,4232.85256322759,4050.1014962726595,3859.552563227577,755.6036228644782,223.3772105311779,182.75106695492957,519.4659704340925,2922.803697030851,7786.312517686666,6801.721699561455,7786.312517686666,3218.1506257664464,2082.827521911368,984.5908181252125,933.2485302408431,43614.38450494026,38196.79744136973,2375.5140521924172,3042.073011378088,67.59766186229128,1698.9697813862967,2232.09858526323,3931.0683666495265,3521.6801554234135,23772.54867301695,5417.587063570505,0.0,1.0,1.0,,,,,
1952-10-01,3229.507753407908,5368.204713326257,4294.299610252073,3687.4116411804034,4123.772061165976,847.0528564902397,1073.905103074184,734.8838728144307,761.8626062419299,2006.8437284908507,1792.6114239003139,1634.4321155876235,795.801667659321,252.29669213471362,214.23230459053627,440.43475870163746,2442.8926776689673,2980.4987489742475,2673.5504802213786,2980.4987489742475,3296.5335159817355,1702.6021149137384,306.94826875286844,866.3474371145757,15678.60713552619,11696.892595818403,1928.5604727958264,2053.1540669119804,75.51638637506589,1639.3768601768693,1930.7115650936967,3570.088425270566,2801.9516635386917,10355.547190791354,3981.7145397078066,0.0,1.0,1.0,,,,,
1953-10-01,3678.1026427599363,3880.791668505285,3578.421982102379,2182.9816685052883,4193.847722204524,684.5731719165434,302.36968640290706,647.4332573619396,747.2003369913673,2900.2415132516935,2638.2187833104417,2526.9415132517,770.836508442179,199.2296077853299,262.02272994125246,457.61604245829824,2845.729600538431,2952.142724620967,2562.7834075502956,2952.142724620967,3289.903782343988,1459.151209879444,389.3593170706713,799.149112596401,20779.243688574894,16396.93213555521,2103.4200531235106,2278.891499896182,72.46857192912454,1324.080051361485,1660.4918446549334,2984.5718960164186,2342.9539895813173,9733.175906377946,4382.311553019692,0.0,1.0,1.0,,,,,
1954-10-01,2533.910914594939,3343.2192321066154,3343.2192321066154,1913.4933577874372,4206.520547945205,753.4971790135234,0.0,609.9439123145642,722.2529209585715,1776.2098460294453,1776.2098460294453,1402.9098460294472,796.5230022889168,349.69167761649146,0.0,344.68688889613446,2172.8278592229617,2412.72018964489,2412.72018964489,2412.72018964489,3321.5534246575344,1706.3690891166134,0.0,760.3266284333689,8964.463723571049,6220.602962561258,1212.0056604822591,1531.8551005275192,81.61538703398269,2757.972141575028,3412.738178233227,6170.710319808255,2809.5579457466283,7532.149267780951,2743.8607610097783,65.69718473684998,0.976616540393371,0.9941541350983427,,,,,
1955-10-01,2273.3898145012004,3979.929825965553,3979.929825965553,2279.6915679010317,4151.624943984056,611.5862206861027,0.0,660.5482817723099,746.0976594274672,2429.45110071849,2094.120057615353,2055.2627136217257,782.9898204046178,189.70772608133544,335.33104310314,392.644269638206,2159.255687743584,2408.5998227551604,2408.5998227551604,2408.5998227551604,3288.346427030157,1419.3138367930562,0.0,825.8590449461188,12498.812890094743,8733.860129741113,1777.4256685469006,1987.52709180672,78.37058552305751,1560.6351647247373,1810.530848387903,3371.16601311264,2220.607783560494,8817.980749439204,3764.9527603536208,0.0,1.0,0.9953233080786742,,,,,
1956-10-01,2910.072965729165,4093.2087220342364,4093.2087220342364,2427.3531758327517,4113.073422645495,655.2204552949248,0.0,628.5917248616629,746.033270335813,1954.285094087797,1954.285094087797,1581.8734811845752,792.4546675909744,268.9892115451575,0.0,342.4336976476699,2748.868349853001,2736.070725556918,2736.070725556918,2736.070725556918,3299.9172278134993,1441.9471834267588,0.0,755.7787778789832,12267.911562024958,9010.356163492452,1589.7685478930496,1667.786850639486,79.96011250052527,2310.5241671002,2883.8943668535176,5194.418533953718,2366.156850266841,8783.564541678952,3257.5553985325355,0.0,1.0,0.9961027567322285,,,,,
1957-10-01,3290.055292405917,6796.908390953674,6573.381423322876,5099.098390953674,4082.283068694355,1233.2577291367309,223.52696763079894,671.5405299681257,783.1370384824728,3066.4638341150194,2996.9006378911145,2693.1638341150106,790.1205640409133,191.12974360472705,69.56319622390367,443.74918107529464,2771.676667290437,5190.437117364775,4890.296809867378,5190.437117364775,3270.0749683160934,2186.7539388044215,300.1403074973987,796.5710242762996,27726.064990818264,22672.46789690598,2204.8115551747196,2848.7855387375866,70.53016877643647,1852.0195322995576,2387.1710687398727,4239.1906010394305,3611.1414115458792,15053.80934243347,5053.597093912306,0.0,1.0,0.9966595057704816,,,,,
1958-10-01,3345.2531170399297,10327.548794814724,10200.451913581583,8629.738794814735,4016.993495082743,914.0121998015171,198.94106677015952,981.3409481885277,696.9301965201821,4078.751900275594,3754.8109764375085,3705.4519002755787,754.0115958809735,143.79388642302658,323.94092383808595,626.8153827081202,2667.4110311077334,6457.527566602679,4250.290829706903,6457.527566602679,3238.368120243532,1490.8025181287744,2207.2367368957803,1123.9627429164943,38838.20114677914,33407.74041793126,2581.9482482070866,2848.5124806407916,68.56456639249463,1375.321280574788,1693.250782934197,3068.572063508985,2548.608604353318,20863.828261692997,5430.460728847878,0.0,1.0,0.9970770675491714,,,,,
1959-10-01,3132.412584741822,9829.227934219929,9544.424813646403,8127.370837445738,3961.294437798257,1121.0316089320274,284.8031205735251,762.8810326926645,757.7063317253934,3518.6574411739493,3433.2194260015794,3144.46905407717,771.2006985602065,161.89505970537184,85.43801517236977,593.9405556923939,2690.2597847226634,6452.598130402787,5615.269504510046,6452.598130402787,3242.8341054545676,1960.6653886380354,837.3286258927415,895.0906406673903,41598.03200690629,35800.03743346086,2448.5657098020824,3349.42886364338,66.57882954515472,1448.3235403557533,2079.498908319682,3527.822448675435,3243.592057275435,19800.483505796667,5797.994573445462,0.0,1.0,0.9974018378214856,,,,,
1960-10-01,1977.973200488578,2974.9643473838846,2974.9643473838846,1719.9825125740188,4185.071838165021,794.619109352974,0.0,536.2825532345703,654.4617114195272,1407.3639607312637,1407.3639607312637,1034.9523478280369,796.1912873308943,363.19790646454067,0.0,333.43598017335125,1626.536482662424,2162.306788958583,2162.306788958583,2162.306788958583,3322.993059360731,1844.8525116670648,0.0,754.2319825852985,7958.229623279171,5310.19258770404,1193.168468183248,1454.8685673918712,82.85506683523941,2727.2613433601996,3408.704177970014,6135.965521330214,3002.6695274845797,6544.635097073731,2648.0370355751193,354.63249190946044,0.8818942648655225,0.9858510805258893,0.9858510805258893,,,,
