datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
2018-10-01,462843.8474825362,692671.0386753298,273567.8377337586,459145.15675651876,248968.59860945432,775073.2783881702,183151.4342750684,1497185.730659197,149752.24673876166,1202742.9759289376,498096.4937109743,15.837198952471823,215.70256545627515,51.691942212822546,67.61669872725415,52.181040367242666,30.38919075493291,37.91234559063352,57.84634231919911,81.27154513737156,105.86347545485964,149.75641556836783,104.60656716579511,73.70310152730269,73.70310152730269,100.7298114968609,14.96813287064002,35.52434830252396,88.10038341214339,50.53311036191173,7.112470050472,9.454450115321494,13.443025029123643,0.7402007154683795,0.7365628394276698,0.7441399735424495,0.9055927758484542,0.9150023826741457,0.9179322725899133,0.6147657273408098,0.5993545114358942,0.6068223661710528,515.0843282313759,71.90065738408148,422.1415028663397,10276.027569979247,9436.714224143136,1034.7858229035394,730.8456480563331,1026.6785283297816,452.86397778809095,5.0753660478549225
2019-10-01,467207.83395204396,707142.3200659887,275581.81438635447,463001.4899708511,251624.55172747525,793733.7648557016,185602.58733341072,1515797.0566556335,151761.08034256208,1217054.9950429683,510089.88819818804,15.994154462062333,218.51261055004687,52.29937239752913,68.52209071785538,52.91293192402655,30.556072474904003,38.43326425068128,58.3189014471756,82.3562018102931,107.68793719926597,152.79052207350074,105.90400187165305,73.82442003312391,73.82442003312391,101.70037193776133,15.297739930217368,35.99187733585278,89.25985539836718,51.2424525620277,7.223053354252289,9.681916886183377,13.726876437611562,0.7647499438324958,0.7595350944710406,0.7613793395790474,0.9363334389977044,0.9441412836970587,0.9397648203143525,0.6319393619478791,0.6148464344940768,0.6185058201980149,536.3961677098158,75.50144454459772,447.74498637095525,10428.244693340737,9547.656253616904,1021.0753229485941,713.7293654040798,1074.75869895131,460.0733496218344,5.223958902389518
2020-10-01,466821.09157830506,706448.8460317617,275825.7417185464,462504.7595267985,251108.2109370096,794468.967248841,184852.70945427287,1511385.7672930935,151736.76673025225,1212623.1334888285,510284.71880512097,15.892253688842308,217.10647629938705,51.77623295715473,67.86711531952257,52.476634816070785,30.618636067979104,37.990096801400846,57.62413697646645,81.52894215758216,107.77341953754839,151.467022495527,105.59122370288337,73.32997862485749,73.32997862485749,101.73529793101916,15.188720502754457,35.66047822237968,88.43798557710578,50.95098059092932,7.124304431462593,9.628876419889679,13.659276345361503,0.7647553933674416,0.7580336565022099,0.7603325219156255,0.9366151146314547,0.938505039709204,0.9359557912080433,0.6319238470243288,0.6164377128530532,0.6200991392218985,529.6481087667529,75.33826876345114,443.25195846184454,10390.074862534844,9516.223944662697,1021.1490092164067,711.0094502633615,1068.3363220555434,460.0733496218344,5.222380995652329
2021-10-01,465955.47439917026,703640.9667631366,275261.12950912333,462501.1809683014,250599.71628428367,789559.0598421787,184225.87560618366,1508435.3074749908,150984.5828509738,1210551.904993268,508125.1122843785,15.889522453697287,217.4535501037448,52.026152666397515,67.96444325547361,52.509713564710005,30.480581204419057,38.004528014666484,57.573495476084396,81.51547994579039,107.59332131156877,151.1791372085165,105.82620529841978,73.27729979111216,73.27729979111216,101.67288274694764,15.283525541822405,35.690447903198084,88.51231036277079,50.90599420079322,7.06409630619914,9.518982562549509,13.566099127561595,0.7653774687038429,0.7562190369797561,0.7589351705542868,0.9384497937568943,0.9378330755946434,0.9352057016484285,0.6305562459654667,0.6129605011603354,0.6181295082901909,530.1965427560809,75.03902897436797,442.59057648662747,10301.162226143957,9434.134492522708,1021.0693017604023,711.1462322093844,1062.750831404472,460.0733496218344,5.185474269170682
2022-10-01,468138.62789273093,701785.6336496781,277502.2406835538,464530.4708610699,252136.3330453004,782900.9231813111,184997.35399809937,1518052.587757126,151998.7062628966,1217529.2243808492,506845.9697601155,15.869439228042854,217.1640813332984,52.10569451760868,68.30654596230944,52.78688800828813,30.333864148155538,38.20959981620165,57.260160901545376,81.72892413033735,105.85705850149496,151.93974105069336,106.02442788343971,73.69009522394067,73.69009522394067,101.25220785760742,15.342183207673195,35.80521457017524,88.7969317081568,51.23732926435016,6.94552685628417,9.312854264862137,13.426883874872459,0.7717441676238803,0.7494367630146159,0.7518206697653499,0.942602230141561,0.9272494039893577,0.9241962816732839,0.636368202608639,0.6100598730456135,0.6147953904659541,528.2863966406454,75.54478655853694,441.47104195760994,10207.31269774102,9347.076710610903,1024.784289754267,721.4189142015863,1057.251138132354,460.0733496218344,5.219236335877636
2023-10-01,467162.5218041247,701563.359417422,276860.6544384193,462629.99291459925,252090.07176630152,783105.600524414,184929.99413161236,1520737.9173451578,152006.84031956538,1219776.728855225,506505.19648016174,15.867235216373203,217.98684880442832,51.083068191439665,67.59296699002785,51.64571506191367,28.502329483734194,37.45391479553671,56.39646290300284,80.19006525773366,104.76014371693681,150.01288909570255,104.58142236198358,72.22220841236432,72.22220841236432,100.35624491141321,15.128270270038882,35.02513559266879,86.86233578353294,50.254769652160654,6.992000799519766,9.342777650106145,13.455301600827255,0.7735890474596835,0.7494916319853038,0.7492628553033823,0.9459342453739217,0.9324372727380613,0.9260825131448909,0.6366772168583222,0.6057319928854572,0.609786133779784,531.459770579137,74.71877676220792,445.74333684158097,10295.088964217886,9431.646085269786,1020.3358508167805,722.2752283522938,1052.6742936995824,459.4593161264644,5.246621531026267
2024-10-01,468929.6608406873,709376.1745232138,277673.5038883596,462614.6536138563,253361.18531047535,797852.4581721241,186046.71246537185,1545342.430688989,153225.04830984166,1238886.4460067267,514375.06143450725,15.996722453482045,221.04692692049275,51.21394136745427,68.29562794584785,51.929669141958506,28.66777229333753,37.756222642785865,56.64299622148322,80.78252036175465,107.89424119998932,151.3762466988104,106.41077408971682,72.51675950965456,72.51675950965456,102.64764539532962,15.231169728249379,35.27543622461156,87.48308127529734,50.79745993279862,6.994768109736113,9.347101334742854,13.436221263366896,0.7763767887907824,0.7491097263921703,0.7491691080499538,0.9476068172790478,0.9323845552814878,0.926094993511152,0.6410151843243974,0.6046562927813023,0.6096387281304759,534.4797256533582,74.56619958380584,455.87074598613765,10431.240360328908,9552.869132952686,1028.8530233364636,728.5920145089835,1064.4415293404506,459.4593161264644,5.371464648502517
2025-10-01,468458.0842808521,708614.9001380075,277241.8386402368,464875.18434236216,252874.34739178416,799527.9963870426,185609.4239845772,1545496.4996235112,152763.33365443916,1239062.243718224,515600.6293553903,16.015665379258,223.04764215636035,50.983596691642454,69.60474631328088,52.33701931186369,28.414131461692698,38.04971230826632,57.545146646767314,82.45469598870875,110.1088764452521,154.7777050283557,108.19226799888895,73.18064578363695,73.18064578363695,104.38380420635201,15.359208074931583,35.6331041997265,88.37009782600607,51.644767847177285,7.013304582988514,9.334111151312422,13.41502591165025,0.7914849445192468,0.7554257421086513,0.754818813123134,0.9579459445966448,0.9370580452584281,0.9291950136908601,0.6622696113916052,0.612778203343628,0.6191920866828236,536.3549786986879,74.25700162235341,459.33646411187203,10440.862428931774,9544.917924699248,1044.4347361546052,728.8268878892874,1080.0823143552789,458.7320243007113,5.4580199419921405
2026-10-01,468002.4046777738,712191.7850883801,276023.5977542257,462582.78127964697,253196.54906689646,804504.2015847047,186008.825015209,1551162.0644047137,153009.47433673588,1243306.8953399097,519023.4142261644,15.546552033022262,222.73068527315422,49.210572364801486,68.10783549429974,51.46167091852005,28.41254680462894,37.70719912189673,56.89891495460271,81.3599452772491,108.56288823192435,152.87296288358894,105.79709830891471,71.48779768503599,71.48779768503599,102.63150449903472,14.995442907301541,35.178216870832046,87.24197711388085,50.71719130555672,7.040862671359832,9.428716620271619,13.550783621734315,0.770405933055795,0.7309843897083833,0.7287448649247069,0.9364898748758974,0.910160797447846,0.9018579557860148,0.6430632069976203,0.593062509801838,0.5967050690849871,536.8461676916985,73.5258707980566,460.84215668690786,10488.696664964524,9584.56548365862,1014.5201104760174,725.5416548248363,1077.8796888597694,458.7320243007113,5.461933286587027
2027-10-01,475315.841837429,727598.156385618,279454.90615264996,466840.8182485614,257792.3380907025,826143.1247381351,189754.708280451,1595083.3660332742,155682.04021645128,1277995.1688628013,532328.3877825422,15.619830484505824,233.6442254955261,49.78075303496278,69.4056076674476,52.065956267326136,28.45029117564504,38.08936051284565,57.72758015502288,82.76947222082073,111.34624182058666,155.64256785831316,107.85978608737555,71.98613705539982,71.98613705539982,105.05212869731636,15.23790710833493,35.57173218014894,88.217895074512,51.45543767279914,7.28435654290099,9.725308659893098,13.838017431475686,0.770264135760326,0.7309483382663011,0.7287335084322637,0.936971880930321,0.9140840095742012,0.905082767967921,0.646755135415961,0.5965972429987604,0.5992982730176805,568.4622847986914,77.17622875183754,475.7123217641883,10727.225079874248,9759.477853545543,1044.8389022636866,721.6561730650847,1152.4989852765812,520.1614273683313,5.8708451468621385
