datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
2034-10-01,1206833.7890000008,2087045.9240000006,696359.9104999998,1072873.9035000002,671306.8155000003,2253880.8745,512559.6080000001,4645865.795499999,401749.5805,3767332.003499997,1563141.241000001,19.573787958704493,912.9797774237747,80.87642456764384,134.66339244521143,79.2607339988148,22.805079783178922,50.732888566995555,99.08320954511792,168.15601711733618,268.7423716854634,328.8634471098421,200.51632968072528,95.77653011969856,95.77653011969856,235.55783613833086,33.48657302138924,53.98969665051136,133.89444811055506,95.85298381895824,35.06587001680987,42.284360653763486,58.46554693663163,14.768175742052701,16.016732691137427,16.568235046918186,21.33492999588526,23.14795220715064,23.629856513791374,8.201421498910207,8.885513169491281,9.506613575172512,2908.623342929922,688.8869216499344,2188.239354647576,28168.80552771584,23942.66058961818,4373.21368137158,3235.165450059454,4226.144938097625,150.31168626057,73.27661758155587
2035-10-01,1213323.1215000008,2101193.1690000007,700044.1369999998,1079123.9335,675371.2550000001,2269433.7569999998,516562.0870000001,4682225.760999999,404159.208,3792782.285999997,1573129.9535000012,18.596126776498306,912.4785954583273,75.53334542801774,132.0058734965887,75.861360989649,21.11542538886238,47.97152910272017,96.20437751938151,163.84213887398886,265.6389358708874,325.1863381414305,198.60403731243053,92.47098916505531,92.47098916505531,234.86544537567866,32.44161223376764,51.77397344559735,128.3994542783525,94.36970528928654,35.15380833110777,42.45149244588729,58.8082050459221,14.827629294482739,16.068757279109995,16.609483680805784,21.385910868485066,23.185881167903908,23.64611334836611,8.269347727641884,8.951633389346885,9.572854011364658,2910.507422709146,686.7399224999044,2227.663111443218,28635.09712612973,24374.037518610676,4399.096913749211,3289.732881714973,4261.059607519019,150.31168626057,73.00953871595264
2036-10-01,1162232.8510000005,1992909.322000001,672695.1644999997,1042873.4165,644979.3700000001,2144550.9509999994,491726.6625000001,4454830.591,383376.826,3615995.9479999975,1491265.199500001,16.827677476591276,882.8560168982949,68.31433295476765,123.75982129491265,68.84514463488696,18.449459657555128,42.528659151681026,88.66021174585914,152.97181017249926,244.46105654261692,306.45111751325385,181.442307060857,83.04671530861795,83.04671530861795,217.13489497728483,29.945115841068912,47.244422950903825,117.1661687433705,87.5865760567791,34.15733388794193,41.0246374279847,56.822708616903284,14.920269022847057,16.151442898653674,16.691296694914623,21.56349853670309,23.364274317867704,23.823128416537887,8.277039509735811,8.938611472076976,9.559464969611195,2872.0261114612244,675.4285239437145,2207.608091370028,27785.225132268104,23609.837813523616,4497.222768564193,3340.263803874807,4175.387318744458,150.31168626057,73.4403076766734
2037-10-01,1210226.8975000004,2038087.995500001,704518.5644999997,1105206.3420000002,667819.1535000001,2184420.1159999995,505903.8370000001,4533708.4915,397297.2225,3679562.745999998,1517614.6730000009,16.780062435250407,892.2432365985202,65.77284663270436,123.00893803050167,66.89051584621326,17.51596101071774,41.586305764867376,89.78150903734374,153.61401995492002,242.65636889264184,301.99516150622395,183.25830291223656,80.41137006999114,80.41137006999114,220.08468364723677,29.579868843715765,46.55573099809836,115.45821251839509,86.63215982048953,34.418862812201525,41.37647406046587,57.58064219868411,14.983263543482696,16.210201802052577,16.74958916270473,21.65664100445662,23.44830308817078,23.898417461701918,8.309886084466063,8.972100512583802,9.600760859688531,2842.361806829159,669.431913106177,2193.009293342443,28413.65861865403,24237.21465221345,4515.72380957957,3364.4056333316585,4176.443966440552,150.31168626057,73.2988717343204
2038-10-01,1116571.0560000003,1869215.4660000007,649599.0469999998,1026482.0955000002,616764.4725000001,1975055.4764999994,468315.9455000001,4097001.834499999,364307.102,3327495.0909999986,1391517.2845000008,15.358206275692783,829.6891166067213,63.45054390324144,117.06704209065511,63.84728987143792,17.199340457711994,40.17745646908139,83.39425296618447,142.549938013028,220.60750562449016,283.020738414992,171.05593701602464,76.89437565063194,76.89437565063194,205.07219434762027,27.538132322853226,43.988361016604514,109.09113505781215,81.30594997446897,32.6542654018708,39.06443304926272,54.50413082288628,14.972610804138302,16.21547235096452,16.755014503409452,21.6620273076463,23.465238702599887,23.910910610270474,8.283194301428413,8.965705991504661,9.59911839235591,2785.185518636712,668.0105463384713,2168.248799907325,25087.44346073327,21013.199478551003,4559.387910877903,3355.915628147217,4074.2439821822286,165.71030600236668,74.12370174710858
2039-10-01,1176885.1945000007,1964747.4035000005,684937.0379999998,1081348.2060000002,648428.3435000002,2068614.3464999993,492598.7745000001,4247602.3489999985,386902.4475,3446308.208999998,1454955.4825000009,15.982449480664263,835.2892764375858,65.70899746520146,121.46005313617619,65.97735271778065,16.970798110549197,42.05507668576435,90.49528718184712,148.07438876853817,232.0459976230949,289.748130608781,179.72433856456792,76.81165300955215,76.81165300955215,214.7253538463978,28.092903340583263,46.13199946360894,114.40735844092485,83.59635539965404,33.07925243797018,39.910999244327435,56.074996773827465,14.996686621782818,16.243522896587915,16.790376525761992,21.676378401659655,23.480980506402314,23.921944766074425,8.316994847472918,9.006065282714516,9.658808285475986,2770.3893289715215,667.617508831441,2170.9792285008198,26785.35122912096,22673.575188183084,4532.793897755058,3340.513568244278,4111.776040937837,165.71030600236668,73.66435314552193
2040-10-01,1242164.3155000007,2063067.2535000003,722065.7054999998,1139110.9460000002,684709.4515000002,2172478.695999999,519096.59400000016,4432942.8149999995,407943.93200000003,3591824.374499998,1522851.0920000006,15.89997276917878,852.1941210814268,64.93035771426358,122.69922436092706,65.53216776270628,16.923414549394955,42.04006299896819,91.17435985977296,149.13046122357855,242.39035256345383,293.1506101788563,191.3686097688272,76.09719820063519,76.09719820063519,227.9785895912481,28.401094465692445,46.26319887969849,114.7327329459793,85.46371469025354,33.845412884909614,41.15038389841237,58.03208354790157,15.056605111924856,16.30142152614878,16.84223405941285,21.73647566357186,23.514422977984914,23.933822849643157,8.376734573009598,9.088420077607266,9.750645270700105,2795.031212268118,670.3492046540521,2221.924299824198,28233.706691091425,23978.028443317562,4508.123489867603,3427.677837486346,4255.678247773823,165.71030600236668,72.94608664622784
2041-10-01,1228057.2705000008,2024591.0435000001,716495.0119999999,1127441.6895,676308.2040000001,2120113.967499999,511528.06800000014,4298965.238499999,402754.47400000005,3482020.5889999988,1490807.8030000005,14.997705715488104,823.9655392848852,59.112001479987455,116.47619707674906,61.68011288044495,14.0055172559906,38.43778227632395,86.04066388079954,141.24559688267328,232.66909767541568,281.093781907722,185.4356193356699,71.24405293139804,71.24405293139804,220.48520212349308,26.57487533478284,43.027968504431946,106.7093614183373,82.00577590115694,33.28590096052979,40.557700290316106,57.31833679662749,15.10064757552549,16.343574263723813,16.883309402682038,21.8330811412846,23.6075859899408,24.023947507679065,8.368214025697538,9.079562540829514,9.742671297024563,2731.5273271391547,668.9413671639212,2208.399309076411,27824.036730013777,23640.565610254605,4557.098350234151,3463.208830723015,4183.471119759129,169.86642599977668,73.08273766506146
2042-10-01,1204232.6660000007,1995256.4985,700967.8514999999,1100304.0975000001,663704.6035000002,2095271.922999999,502636.0165000001,4258258.852499999,395819.4935,3449151.0524999993,1471220.8395000005,14.998189277372205,808.6630862223835,58.772291894521246,116.14643544638702,61.31045261470531,13.949287119589567,37.93389324279083,84.35261732441087,140.0751325346886,232.73414700937997,277.8673968729012,185.19844534191913,69.84593651580595,69.84593651580595,219.5833596551448,26.382210708093027,42.51613801930854,105.44002174987232,81.24218059934083,32.9071408091353,40.151456565264574,56.70314716666858,15.13125442373926,16.371641387972996,16.920355978358945,21.885182511560437,23.674895576844623,24.110385862537044,8.377326352579502,9.068387197926667,9.730326091422748,2661.272650314726,656.8483097904493,2169.456891283024,27634.60418227349,23545.392441436245,4573.31973890345,3394.549968365734,4089.2117408372023,195.46694256442242,73.33250199215026
2043-10-01,1182633.5810000007,1980831.0495000002,690745.4829999999,1084264.1145000001,652909.4590000003,2110434.5269999993,495336.1660000001,4333256.766999999,390730.8180000001,3508826.5154999993,1473265.1805000005,15.574407874091857,812.9267683328038,64.0272767603352,118.28614426137281,63.72217517862087,11.926981086410485,40.71893412412494,86.18480456061309,141.19327450998722,237.53651864106482,281.26495042312115,190.69827571687136,69.57267017272567,69.57267017272567,224.15725572852784,27.634081532638753,43.61391554432653,108.16250975375601,82.03824002446053,32.96267038776023,40.048810350100275,56.12389539267218,15.120912894777371,16.349703547557354,16.903183164910846,21.915160653481898,23.699264428537575,24.140236958558717,8.326665150652769,9.00014266449859,9.666129368406148,2623.1035762629117,650.3503906103526,2146.5173497677038,27598.629911091564,23485.003023125195,4570.464064855053,3395.639484321913,4113.62688796632,195.46694256442242,73.36565744474044
