datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
2048-10-01,543556.0217956568,794315.2641208722,330145.0708214427,538653.4435821683,282845.88921264885,908979.7908869215,201737.2241093536,1580989.2257944806,173424.42790182974,1273289.7621132385,565122.0440804452,13.48210515369685,231.59018517080239,49.19203235284661,64.90198323397489,46.99069550260654,26.980956089296367,31.923559651485306,48.40229476379551,73.52828103190873,112.18138811540598,141.14264856989462,103.23746409251933,61.217180245580714,61.217180245580714,101.70652059583024,14.786122850357305,30.46639379971964,75.55665668461454,45.10263176633443,7.278718731046796,10.384694127007915,15.029474477881807,0.7396130465629879,0.7188996445954392,0.6985013398003608,0.9122375268878787,0.8673876876603291,0.8291019775053222,0.6232737021611712,0.6221016436669395,0.6183228247703852,545.4727306060995,76.18820480619468,362.30908591130526,11920.421712099585,11274.134551781264,697.2194562784526,630.47247545109,885.520745225278,393.47022424986915,4.522219473915451
2049-10-01,545210.7601174118,794925.6504673833,331249.7333239213,542266.773616943,283105.10992794315,910486.4914190851,201677.96913657727,1578060.6189966009,173353.6013264901,1271566.263826639,565057.5388688868,13.494858634492184,230.2728290805374,49.147357553372444,65.08053058910787,47.146605470694176,26.960211112023167,31.942271571307963,48.44803362729829,73.6637909674266,113.01671645693452,141.64294103560536,104.05674499226102,61.161757350883455,61.161757350883455,102.60685917594988,14.819995325146513,30.50974826693141,75.66417578747304,45.235888902089656,7.282363718588515,10.404448851113509,15.042220981366865,0.7368445915585761,0.7178840035458858,0.6968045759700096,0.9122653825145101,0.8696050769954906,0.831917089020618,0.6134172434737625,0.6125038482931076,0.6073901148174581,546.4006614786076,76.82669454659805,370.62516131906256,11933.478187329056,11292.671936572604,700.1861655408073,628.3316186589196,884.6482934219321,394.1790249757228,4.522165791808135
2050-10-01,545253.2957302566,793118.9345124958,331702.3111180499,543090.433679669,283029.8038369328,905584.7892168055,201600.09349066118,1576927.3286160368,173624.40576849828,1270745.2238083384,563485.7544782773,13.547570558887784,230.0913879428544,49.56893246762502,65.84976122632342,47.655018651963786,26.96235925196095,32.31787135164049,48.94373135147001,74.03577427343978,114.25409586809955,144.4610433287668,105.73560790354382,61.74245017426964,61.74245017426964,103.92781853594046,14.872260524934081,30.76283167398246,76.29182263516323,45.898315789478026,7.273585086803212,10.337449593585157,14.97230845270323,0.7383674799326692,0.7190199498922341,0.6985509591525423,0.9128353700276597,0.8699997803306972,0.833675429624075,0.6157379132171661,0.6143945523112284,0.609017611897288,546.4539951135075,77.74695008022192,371.91145313752736,11895.199188130906,11261.27519554639,701.6051512194512,630.3782996417696,877.3610450925429,394.1790249757228,4.503355573845479
2051-10-01,547319.652457675,804903.0031515898,333099.14395971334,545381.5279032955,285421.9060135791,922441.5193683631,204224.85723720436,1602752.691106207,175599.77424860687,1291185.170702762,572998.3736529725,13.651948270987422,232.01822814099424,49.80377655955556,66.48459759349124,47.959707456619704,26.94255020021307,32.577495811533325,49.692519037796814,75.20618037845037,116.08952699942124,145.77450203232738,107.71103601029208,62.357339435425146,62.357339435425146,105.99638759742152,15.064970672876697,31.063952760902573,77.03860291841367,46.57807622135982,7.434667092783339,10.562467472831731,15.246114347048296,0.7389825265362977,0.7210716757011741,0.6997760162655973,0.9132599187373235,0.8723856931579256,0.8337929174302473,0.6162244218579762,0.6157069737060433,0.6106878878725096,571.7154219468575,79.7094295870529,394.25514021425556,12097.069496673883,11423.308760449567,730.8946502092964,640.0225992481583,921.307775579677,404.6838860165506,4.726480936988433
2052-10-01,541071.6662034497,801072.6302350037,329909.34559075756,535114.9862029547,282866.876053321,915863.2746737378,203181.13328688193,1577511.549825625,175149.26834544647,1267954.663663121,569901.1958623951,13.687732936778747,223.3762850984953,49.73546206448232,67.18556211024439,48.43648806118575,27.040973700290202,32.825543348530765,50.13578024049214,75.58441221206252,115.77933201362981,146.9316539745613,107.15975285708711,62.75577708271838,62.75577708271838,105.70906382601207,15.142052249281154,31.339542790361175,77.72206619485887,46.821327108985216,7.196753261793561,10.406238944014776,15.074628305428366,0.75402425303129,0.7433098977575547,0.7248576939529608,0.933089263035334,0.9003103346854017,0.8637832074923932,0.6241272467267244,0.6303283729937804,0.6282743857007048,572.3312417937021,82.6731006437627,393.99367604960975,11997.652473025955,11346.917398258516,736.6898851604043,645.8202964731329,916.9770286775012,423.4136621837296,4.675880213515756
2053-10-01,541869.2419477938,806250.8179391116,328963.389159242,531775.5236740949,283879.55631007405,921166.2972575161,204199.17182810718,1579717.6838004952,175775.5885956017,1270715.4674407146,572219.6527335003,13.791342048956391,220.18758016949897,49.69062210143971,66.98730984766695,48.43438340678988,27.077849865440456,32.827892152216066,50.24554730935662,75.71720762014981,115.42861834222377,147.32166793809273,107.17779342231299,62.58558426698477,62.58558426698477,105.43495745658691,15.219954770830928,31.349961401705293,77.74790434186569,46.6954699413526,7.1964398981644555,10.434426347917572,15.15696271364624,0.7718877528338633,0.7692760798199093,0.7563818472997745,0.9506422517398535,0.9214108946041997,0.8899732155960942,0.6411971187795784,0.6613726714816867,0.6645721186310888,571.6322576467385,82.70706788795414,393.72038395536754,12178.779350561437,11516.867246382642,736.7554860042803,647.9705217464655,916.8091589601232,423.4136621837296,4.747409075200194
2054-10-01,538844.3070014716,805775.0473649402,326231.51122572186,526446.1795798852,283200.01192934165,922587.6039811008,204068.8163595042,1579531.4429335652,175401.0781414864,1269470.6817336406,572152.500972151,13.138885037503098,218.14912589130375,48.78097912254955,66.32863208256303,47.94421199759105,27.058553524333547,32.39447040577238,49.724274866214685,75.10740209013272,115.34687620984428,146.65372450530222,107.0535974369369,62.1609066810796,62.1609066810796,105.41279505149305,14.578597485982137,30.988189769685157,76.85071071642032,46.44751295277547,7.166079589270942,10.439805896319818,15.135947221222263,0.7613724850658042,0.7618291811376875,0.7523748672251271,0.9375673749430027,0.9139082888273149,0.8854036587765018,0.6342618970241054,0.654368779913968,0.6615578365596868,572.3739777215852,82.16695566415001,393.7208077576828,12178.832197058302,11510.660287742718,727.9035702156676,642.9913337721719,913.3810644339512,423.4136621837296,4.752833005030896
2055-10-01,541988.8900791948,807480.9058617676,327602.7506976025,527800.1188806191,284688.5954066506,924266.3726369619,204824.86103104966,1578843.7603584824,176000.9745625387,1268866.2680030204,573090.4213254165,13.131305407283103,218.10147135885447,48.25782201368831,65.99497857821926,47.16284395155823,25.944456137203453,31.904366193340003,49.68527997254822,74.96668604835382,115.46763794266346,146.45323213857543,107.153027513625,61.91365265280689,61.91365265280689,105.62924720580642,14.441452055547717,30.69301082424902,76.11866699338405,46.356108984101894,7.162066426389126,10.43874412454429,15.143518455951272,0.7431970513463554,0.7408553472750756,0.7337347983821758,0.9236782369042603,0.8956019424056786,0.8674029697800578,0.6111177330946149,0.6313974347710637,0.6432065168741327,570.0938730392836,82.123158808028,390.473489898406,12178.512534824615,11504.96541826454,719.3404488780836,640.7519840650086,911.7337025820672,423.4136621837296,4.748988442573995
2056-10-01,557484.4119283116,837379.1039519785,335852.5006524084,539407.1917814659,294068.8996911908,950916.4072607938,212407.03873036164,1635427.5573728418,180748.28725729708,1316714.0577307655,598037.6338194845,13.206667212306922,228.43716091339365,48.961241328601126,67.40540306813214,47.984354771220254,26.025263289197614,32.39503435340226,50.62756532575463,76.52103867928412,118.32409019963565,149.9951246191831,109.46219370380993,62.58069629687742,62.58069629687742,108.48728832897655,14.768746878917671,31.202039507860313,77.38105813065211,47.339514408034965,7.502491786399311,10.934542145712733,15.920965848061261,0.7386055385376138,0.7363429439816174,0.729217612467879,0.9253511890147118,0.8992568240417704,0.8729319072423753,0.5992589447407013,0.6176569753777265,0.6288207584805247,599.0784376350828,90.83865099378404,408.9903636522568,12365.489784181735,11622.62423280671,755.7816023065751,648.8719962805355,994.93698647114,473.54926511460013,5.223840361917226
2057-10-01,569748.713603612,868801.7287027235,341617.34115053265,546775.9410398462,301915.3557904987,984787.2784863315,219369.04294819816,1686889.1559964183,184804.532827866,1356697.2349719321,624749.1834556039,13.253220982516307,233.8714026236234,49.578140737071216,68.66994191076522,48.7353959109594,26.105167235055855,32.83701720233843,51.50457966983693,78.08401694262082,121.01440127775955,152.94205828333995,111.1993525655765,63.18029032141649,63.18029032141649,111.0707752024125,15.014779278303418,31.664959987456903,78.52910092269556,48.146199678352914,7.660224873957394,11.355736247335058,16.54627315889126,0.7397222047065541,0.7402647390667869,0.7327684095578139,0.9415316645302368,0.9171831835837699,0.8912256123046094,0.5855241668754356,0.6071825563710117,0.6183952171739474,654.8079114943629,120.63812652090273,444.44811529578175,12682.268778341564,11855.835483565072,786.4913909734369,658.2574049727159,1099.767689501927,543.2279060384337,6.0556610546046725
