datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
1997-10-01,951329.4530000003,1689107.799333334,539485.05,840712.6953333335,530573.1853333334,1861943.1853333332,412017.293,3764883.4593333327,307368.63966666657,3058485.419333333,1308151.5556666667,21.599054674496692,832.7919335936167,98.60595141351304,145.32568819050437,93.35617496633783,29.87406614756758,62.61481331190889,103.78240244358211,160.42930604212856,258.8067684884576,302.92112610106,218.96765549367714,96.79788483870415,96.79788483870415,237.04714191108224,36.46338820764942,61.54196878959479,152.62408309656027,94.08284235053837,31.527898006098763,38.266814231254315,51.99456277819869,14.449142965732054,15.642054099141916,16.15579217885743,21.106755752796897,22.821975892526616,23.290506665926628,7.791530170558502,8.462132308115894,9.021077675609808,2776.314502910013,685.2513875479933,2225.031637091013,21343.38543823811,17325.23604112945,4673.68095631139,3319.654790366868,4018.149397108652,258.40895447186625,75.8164710239366
1998-10-01,963525.212666667,1731429.3530000004,544813.1383333334,848323.9313333334,538195.2846666666,1921622.3189999997,419230.38800000004,3897237.449666666,313161.3426666666,3170090.1706666667,1341843.8343333334,20.6714172784964,830.6336448244036,95.97271209800975,145.4504160799616,94.66952106392691,28.87730995136047,63.37621689889313,106.44753583766668,165.78049955412627,265.69679976200763,304.51717565692127,221.54211865516305,99.04917052275844,99.04917052275844,239.99228739945545,36.18315273426892,62.63381407545462,155.33185944368142,95.28955051754045,32.07212390022485,38.90112686614763,52.73293912805557,14.458084060165119,15.655728528933075,16.173220947267957,21.105602325733837,22.830880004162356,23.304322189971277,7.8105657873785255,8.48057705635318,9.042119684828316,2751.5042856763,679.9826509570131,2207.1777448571625,22143.92017756729,18146.201297623942,4714.895603826564,3357.9745120359557,3997.718879943338,258.40895447186625,75.74087559709785
1999-10-01,967151.2780000003,1736322.9610000004,546937.5700000001,850384.4833333335,539973.7833333333,1929038.0819999997,420218.5223333333,3914317.8079999993,313730.43299999996,3184247.1123333336,1346678.258666667,20.72934458368895,828.2846283753611,96.09241175007456,145.25013544754844,94.38934782368304,29.052380082699937,63.12934606493669,105.45563553168387,165.522523163016,267.4261743942827,303.6087644261962,222.31903206975443,98.51635590475628,98.51635590475628,240.53056264947955,36.15965366001389,62.46539730467097,154.9141858396461,95.28458699005407,32.22435485046267,39.08570881642642,52.960549745753525,14.488688838438753,15.68277581955378,16.19877221790469,21.130543581208162,22.85364299166021,23.32486464801406,7.846834093417112,8.511908653062351,9.072679763779014,2759.7523870913897,684.985335900427,2204.429156419317,22207.69726749433,18182.967770479907,4705.205956988267,3353.9360002562094,4024.7294970144167,230.03138252364775,75.68701552274192
2000-10-01,957106.2976666669,1714957.8156666672,540837.2426666667,840912.688,533623.8583333333,1902959.7776666663,414994.4693333333,3869454.3306666664,309844.66166666656,3148554.6913333335,1330044.3416666666,20.440939109934458,815.6400100992958,95.50199626369961,143.47046784528808,93.76608937947614,29.125065935665198,62.53454515401964,103.70071138279118,163.94795321953134,264.68874592682397,301.97424925845473,220.16626855181727,98.49288556753957,98.49288556753957,237.5942802637449,35.8286845103056,61.830874249400594,153.3405686454954,94.77045043184904,31.958503999874104,38.729395028120024,52.42630811753702,14.482676967113383,15.678255729633527,16.192690938568102,21.124542667157055,22.849927008961796,23.320050036509446,7.840811262323064,8.506584453372263,9.06533181903699,2725.8389585371683,684.3312826490342,2176.899851747697,21980.567601655584,17998.394807471777,4745.019728947974,3371.45222694441,3982.1727941837985,249.52911633609412,75.90072836446735
2001-10-01,969579.1253333335,1743604.496333334,546927.4930000001,845052.939,541347.4723333333,1941810.541333333,421378.3436666667,3959827.457,315694.20033333334,3223552.922,1350246.882,20.491780203505527,828.5904737734079,96.72923873624603,144.42594831785541,94.447507649994,28.386593274538196,62.694846275971805,104.9507367276104,164.76521840577976,270.5087839836809,306.96785110037143,226.24534337816573,99.6282478522052,99.6282478522052,243.86311751710085,36.14661718994718,62.088630016635776,153.979802929646,95.99059281112045,32.329703524998386,39.17886463812485,53.03941478951606,14.513941917480922,15.71211907702011,16.227770904310994,21.162960367830248,22.89212122562276,23.365311514162112,7.864923460966173,8.532116934190006,9.0902302745196,2708.83771948972,683.8723709174301,2167.7476132236593,22473.1742324382,18486.09073132807,4732.07073945128,3363.0624077286684,3987.08350111012,249.52911633609412,75.79266734377127
2002-10-01,971085.2470000002,1736635.1136666671,547452.0170000002,844772.8120000002,541751.664,1923721.1116666666,421192.4286666667,3929175.9539999994,316015.3843333333,3200729.878,1341657.1766666665,19.43980486068095,818.044644935495,93.22876294767778,138.13343783039912,90.88798073098181,28.266018847582366,60.544392429898224,100.49018693105745,159.49449692006698,267.73748517558744,296.2319360509971,223.1529397841008,96.16129168180522,96.16129168180522,241.8641486885599,35.02337162589033,59.74226005506485,148.16080549088645,93.8474222142966,32.27884677209861,39.05434836276386,52.947427766731316,14.55582593688979,15.747584830953178,16.26326405525503,21.205416077725292,22.930205244451965,23.402568136215283,7.906235789377022,8.564964423073835,9.1239599544404,2690.25935885529,678.0135723925628,2160.6092217409087,22451.34708076068,18490.911040579198,4759.392645915719,3389.66790929877,3960.4360401814683,261.8056069557879,75.79400006468441
2003-10-01,977001.9450000002,1750014.424,550335.5863333335,848608.6073333335,544476.9453333332,1959437.4993333332,422975.948,4004031.325333333,317778.13399999996,3265713.8366666664,1355692.3150000002,19.66688142813693,822.1459036416085,92.11444048475802,139.61298781396218,92.45388363823712,28.440786882333207,61.41401227948216,101.4185529928774,160.835813272428,275.1901237835524,302.6732211882762,229.12268741040924,97.47360258937843,97.47360258937843,247.20319239407735,35.26262075064413,60.55876533963191,150.18573836752188,95.4301205157664,32.55280499654569,39.41554319899689,53.18875035186559,14.560006990461263,15.750317649203774,16.264873617572032,21.204188169395763,22.93224130423094,23.402321073410057,7.915825805951657,8.56839399603235,9.127426139853863,2682.165030686087,673.8998924272884,2157.119653826516,22798.15365955482,18846.53134198853,4744.208030973407,3373.5497518587053,3951.622317566274,261.8056069557879,75.75223517901044
2004-10-01,960067.0016666668,1711406.5476666668,539728.2790000002,837954.1656666669,533276.4563333333,1913361.785,413524.38366666663,3901743.8043333334,310012.2193333333,3182732.4856666666,1327119.0683333336,17.08173073818883,789.5535350002733,82.06174740662114,129.64646274097603,85.60863983414156,26.54858412999825,57.02413640688975,93.80399310319939,150.87749639232817,267.60974021243277,284.4252551624752,223.71764933089057,89.79426016488992,89.79426016488992,240.45768918882587,32.77692187571931,56.230080938230884,139.45060092201598,90.41897347827499,32.07647013412917,38.89434751407815,52.491949553508285,14.646135301809688,15.835174269354388,16.35005581007181,21.31621008619021,23.037589251085972,23.50013568638655,7.976060510178526,8.632759294033267,9.19997591242977,2660.5227527886314,670.440236125434,2142.7849276244256,22511.087001023872,18590.360199037914,4789.095770795832,3412.4123366672497,3920.7268019859453,261.8056069557879,75.89572926236501
2005-10-01,1006166.7030000002,1784943.6403333335,564974.9066666667,874876.9506666668,559351.8973333334,1990753.6323333334,432973.3636666666,4026607.082333333,325630.833,3281318.586333333,1380625.7883333336,17.714221932197795,793.8545247946985,84.56498958981787,133.08891918535764,88.96214197537134,26.90503332043052,59.143268648557815,98.0008510286243,156.52452272991337,277.78897154103623,295.9559704439427,232.75899009696892,93.16119161791373,93.16119161791373,250.78488298170635,33.89334737537013,58.35532956084982,144.72121736064554,93.6563979018588,32.711185682961684,39.869819547373496,53.91582400306085,14.65360778119064,15.844147426005684,16.357501400317332,21.30758255590264,23.029888098246815,23.489370446903315,7.999633001500049,8.65840676053306,9.225632326948668,2656.945939646568,677.543828165319,2141.5163858252986,23416.492946343213,19403.8733276671,4720.462470935944,3445.1665999282154,4012.6196186760985,233.64708659464472,75.37035660723267
2006-10-01,989820.7730000002,1768092.0423333338,553731.873,854603.7466666668,551484.1150000001,1969358.0603333334,428530.1866666666,3996373.966999999,321436.427,3258260.5496666664,1369394.2760000003,18.50634887540284,788.5651537874149,84.99291742239956,134.63491553516266,89.15364601879365,26.477486311417508,59.10449973663001,98.3847058333165,156.91600575113134,277.0104638964177,296.1755340641747,231.17892165920972,92.44925285725208,92.44925285725208,248.77618718062897,34.069186656128416,58.35174950783389,144.71233875117554,93.17671710383364,32.62961562809488,39.65383347072763,53.628863204648844,14.63937901639543,15.83581820267661,16.34905893347045,21.28419260007283,23.01866526633784,23.480596016772058,7.994565421445743,8.652971144055961,9.217521823056837,2656.632557562662,681.9276901851613,2138.7978765632347,22992.101751247512,18973.777337932905,4726.941925382386,3449.805328118569,4018.324413314587,233.64708659464472,75.50255040084356
