datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
2060-10-01,482232.6862844745,807516.034379517,283201.23271626426,460356.4709039757,264103.6226311724,985655.9534107281,198282.7907896201,1944673.3619361627,164785.47590918187,1552003.3781252848,603493.271147249,6.67244455116816,240.82054566005283,19.971737943728158,44.97890920402424,25.53786430186954,7.3149474791180324,17.650915128826107,33.73745689137894,51.48841370285501,84.82691501557983,118.89193647635385,68.22197780630503,29.95401351028745,29.95401351028745,76.80038590623734,9.802276708587385,17.448547045688944,43.27239652967404,29.169599124008165,8.35227194346842,11.099038964884112,14.824138885843096,0.8343665254843361,0.8330657362869532,0.8451887343248049,0.9943099680869587,0.990442794601352,0.967332941664575,0.7132690668251557,0.7112772533931959,0.7534476832182481,553.7403073855284,85.25278177439742,394.2849558227654,12942.625785315662,12011.742389525998,684.3856607120914,725.6519923904712,1066.8584154523348,627.7053728894929,6.888126477201494
2061-10-01,481079.8519336073,807091.454310179,282627.5665049631,459170.76113990694,263048.1199881845,985778.6389000486,197372.0957287769,1945105.4973180706,164334.48792527287,1552323.473548524,603587.9467705251,6.326543365827902,242.22978942937496,18.413822518154365,43.65069657472492,25.500770013670284,7.296361253805428,17.481832009207388,33.443923945230495,51.44743715951807,83.73662186472501,119.77572702395672,60.966140799254504,29.83620761494153,29.83620761494153,71.07991897400424,9.544905068080917,17.406543956591364,43.168228886872484,28.937102136985448,8.354203315824192,11.098819332250006,14.82578117915457,0.7760757034322784,0.7792084939092002,0.7953015955519305,0.8959755575518557,0.8991494442626262,0.8866009257804562,0.69672941692108,0.6937836807809293,0.7328838082421677,551.9056728389354,86.23370067449827,389.6137760449386,12948.742151375864,12013.229800617702,682.2369641894669,730.3750653753032,1066.4335037503974,635.0431102915762,6.882684823298447
2062-10-01,564043.7157044824,899083.6206072655,339350.0438141147,560720.8697808158,306499.95081481937,1056679.1012988945,227100.83773392971,2015770.5478922303,193108.72772299472,1606863.8393941254,651709.2927514233,6.377459158958192,241.73251285507726,18.553810965082526,43.91297083656495,25.692356914956367,7.3128282501988435,17.602876116751787,33.57410590674509,51.34931429511129,83.94142054294458,118.99058610401222,60.971465240986596,29.789572210493652,29.789572210493652,72.80295531052434,9.628180234783494,17.522252802577995,43.45518682587419,28.707141465504783,8.683756821145334,12.069750479436033,16.770325246857904,0.775207499953912,0.7753194598828433,0.7883434479578563,0.879688491965413,0.8818077265972687,0.8672961639368535,0.7132887273043681,0.7049403127710263,0.7399310137090296,535.8037788100274,86.13862612088748,383.9347413773094,13758.794771740058,12860.1950604744,673.8647372693848,729.9645368515354,1068.153364869778,634.8831652922867,6.930776512553544
2063-10-01,559011.3700876252,886171.8781345711,336320.6427622245,554739.9580107911,303650.7013493602,1044075.0983163628,224286.49572598937,1996301.7173010476,191506.97409526052,1592080.484571861,641948.6792547958,6.394524832393057,242.58378922220857,18.467931192167374,44.29843055396843,25.794015891281692,6.997129251746493,17.712373177364295,33.78936953854462,51.622401195249964,84.09272237068329,119.45567889476625,61.62659472551878,29.872225976887524,29.872225976887524,73.29424939932102,9.686227615408452,17.63777056075107,43.74167086320348,28.833306469991324,8.562193229690129,11.87131662372615,16.47246731829348,0.741079190589339,0.7394074706904605,0.7479278264464768,0.8566986674317407,0.8554675203045274,0.8385510866953699,0.6677820860642234,0.6583064028429109,0.6861703495547826,558.8092637927768,86.88088412218502,390.1970486936284,13708.142279794798,12820.069966862053,654.579010978611,716.1008551976109,1056.9726220810805,656.3865492854744,6.88756819942012
2064-10-01,557657.7443307469,888300.9938853089,334891.91120702884,551323.0308309834,303549.12104883726,1046990.3542051107,224602.3546553637,1999096.8034217376,191971.97366946217,1594116.3971430524,643480.4656653893,6.425624080855483,241.80316863233492,18.574837506884048,44.81881535655084,26.04609540448451,6.998235383655692,17.878969877399122,34.121952093752085,52.060576186441786,85.06300532605408,120.13989550072198,62.84995120735213,30.120308187912524,30.120308187912524,74.29947421191137,9.72800319440828,17.78988160037749,44.11890623800695,29.189298098536888,8.566346892190872,11.890200938388492,16.489246508823058,0.8172557159940324,0.8231577305908746,0.8374708294238264,0.9490455262782891,0.9605260742212115,0.9477585004771005,0.7232308257107612,0.7176083839145332,0.7532991224392315,556.1083761865902,92.55055774018471,391.45053568341507,13731.001144917544,12853.651679461103,660.3513090355635,744.7351122040019,1062.7360940496574,703.9372491653078,6.889274539857137
2065-10-01,563743.0047050267,895804.1424613164,338550.91640179814,557434.6416676418,306367.04817390355,1057443.8497031033,226229.90990513004,2011941.2220525392,193553.63589179105,1603935.273428712,649599.8339080502,6.028178573794515,244.3163703460969,17.824437412722233,41.391705755399656,25.021869298550452,6.792456167392808,16.555716221517162,33.09197839492239,50.77594325044601,83.31068266012669,118.93675156115029,60.63557630466219,29.434238738874544,29.434238738874544,73.5399531470926,9.614172220206386,17.08748425551075,42.376960752242255,28.58059784898649,8.521745048421673,11.914848686313988,16.550077420417693,0.8169834782617523,0.8214172634623003,0.8326759480090857,0.9471299119362095,0.959094090467654,0.9436401480861427,0.7264809474380939,0.7155376311916863,0.7478418204144661,539.4312596574869,89.78438125430844,392.99655360501885,13891.475804310638,12994.946989184778,661.1720076762005,747.6810918382755,1070.8695039204229,699.2601727578899,6.95116569414845
2066-10-01,550642.4102639133,828348.0019396225,333585.1892201142,554829.4531511951,295741.59137830976,946308.5335457235,214315.42589785645,1750217.767983745,184936.6184843979,1390010.7697353307,591701.4791130589,5.128960751693394,205.67157437249293,16.153950863765907,32.44256901442979,21.336380213887455,6.814671269239448,13.741914708272136,26.591124895340744,42.987787056505546,73.04488059266008,97.68376935904035,52.54171009044861,26.06180797043075,26.06180797043075,63.94184480729261,7.678814892464391,14.426250815545368,35.77710206891316,23.508197847467397,7.918255644086976,11.044037083398806,15.65863035100839,0.8530430098341261,0.854135437884201,0.8653056316247005,0.9970623734049031,1.0020021864582314,0.9855504228740763,0.747737775577523,0.7371218081618492,0.7705470070189309,510.50123339734927,86.30807546592119,375.3209031240606,12272.873161614922,11413.219703019135,642.8614919385765,770.7070338635167,1032.8832889122796,697.817526693131,6.6693295564138735
2067-10-01,546890.8406416959,818726.0392565065,332156.14380726387,552992.9989044535,293544.52553212707,936524.2249341144,212232.15714354196,1734339.4862579592,183638.7434528419,1377732.911474231,585473.0826910491,5.130213711537288,202.1583634935362,16.153542986360463,32.04681229729787,21.257558201289932,6.814671269239448,13.677159334037231,26.19089899564767,42.36451723054097,73.14146136565212,96.8034375012616,52.97577795340315,25.949605066644434,25.949605066644434,64.4302774914899,7.584730438190219,14.28859189868319,35.43570794994396,23.44841181994293,7.752485760939601,10.851677690142772,15.393509690689761,0.8580197468480805,0.8594430232763446,0.8683593493506432,0.9978278653636619,1.003223305761162,0.9841002228786615,0.7589455765033347,0.7473530290893835,0.7786022633525049,515.592853769959,86.13047148932085,378.67142193120367,12187.740438210285,11333.977213950784,624.9826101519814,780.1812589272892,1028.03064651544,700.8552344414688,6.63989042313463
2068-10-01,567444.2878487881,846024.5936767154,345950.51464611356,576255.8627439118,303649.9891824388,954964.1220137334,220001.92092141023,1753769.0650213289,190366.42948107354,1391381.7670238053,602972.7540453408,5.153076433990572,202.30651442357401,16.084487881839465,32.01303052459745,21.13165551863173,6.710172144052761,13.630986558651475,26.16085759910269,42.222803250671994,73.75688531597864,96.63731875724619,53.30532749893613,24.88365921322564,24.88365921322564,64.38832897860792,7.58598086372034,14.224193726806412,35.27600048385944,23.18938993596561,7.832043518060904,11.059852596830158,15.866894590023808,0.868818090732269,0.8681601856844071,0.8771672270433544,1.000282091508136,1.0053067352582712,0.9871145631782359,0.7808456681108071,0.7686332866112404,0.7967267443283205,512.8521323052544,85.93837368528736,374.4789678155245,12328.40999907057,11462.09616926983,627.0244197547785,782.9555747522396,1036.532814940708,700.8552344414688,6.69145710592843
2069-10-01,566123.3403751398,846116.907047014,344406.4804533786,573531.267778228,303419.2934387195,956121.2790611587,219995.34933684883,1759272.885223588,190244.6761109757,1396562.963231584,603244.4405408329,5.187829555612863,203.20807069482314,16.2075284522627,32.507737660904816,21.411459875430687,6.717364415159531,13.78980822959537,26.49401650371463,42.90350562760151,73.64964323131456,98.07215426171685,53.14187004007753,25.115672706972664,25.115672706972664,64.30734003826576,7.6907799847793274,14.425214504271187,35.77453201098194,23.351928481406997,7.862970271251551,11.061272410020937,15.866099809246158,0.8602801345326536,0.8427373948078093,0.854654214434072,0.9919903317693204,0.9721547291008745,0.9612470786822261,0.7724142193986561,0.7521479604630005,0.7784166155473535,487.88092870936975,83.29699240901115,358.77073120756097,12352.520970368601,11485.700026197064,603.7155471005802,784.8815067604163,1031.9981500166855,698.8217475844754,6.6804089872773895
