datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
2020-10-01,895471.1392499994,1557056.5852499993,513587.50249999994,829175.9944999998,490596.5227499997,1674259.7967500028,381062.62824999995,3338690.4250000007,284732.2512500001,2723611.1412500003,1197572.1060000008,17.15923851233177,628.4398178656352,67.88911623051773,116.74954582120657,73.68775644303263,19.29247201379332,50.029102301422085,87.23488717374599,139.27977789182722,215.41824303104931,269.6952692218965,176.18167412241013,81.90450850024405,81.90450850024405,200.1286116834444,28.124213312787568,49.944141416457086,123.86147105708213,81.23955084079486,29.946933685246385,36.41432550725353,49.613217339936284,14.937811396408836,16.206016315427394,16.704929957200825,21.70145424320041,23.528043266169835,23.987855059504827,8.174168541730317,8.88398938182239,9.422004851622829,2689.7269642394067,682.7843519230971,2110.072751745804,19963.860613701985,16204.945224642088,4725.0537235858355,3218.6822616623417,3758.915389059895,236.74623009132665,76.01489197218116
2021-10-01,876654.2564999994,1532331.0774999992,501574.9959999999,811693.1572499999,481224.9979999997,1648838.7945000024,374426.681,3330030.3955000006,278337.88125000003,2716762.0625000005,1181297.2780000006,17.33015837706061,626.8600779458814,67.76756760099214,115.21542119128446,72.92574681361323,19.384852834436728,49.35801051735002,85.01327969853871,136.80783539441705,211.24728141073155,266.0509610507549,173.02966036828397,81.14444000300473,81.14444000300473,196.35700690207466,27.98445963490276,49.20723272613596,122.03393749045696,80.22005780889404,29.837637783344093,36.087100069944846,49.13658675378146,14.935386738994614,16.217345767635038,16.721802902212303,21.700693284915864,23.54660696461838,24.01703451319132,8.17008018523656,8.8880845879546,9.426571289950921,2685.0098767732934,682.7944360846489,2097.270348395729,19662.356484019183,15912.989927977967,4733.157511228513,3209.5790319019425,3749.366556041217,236.74623009132665,76.17414950077028
2022-10-01,888272.7897499995,1548669.2992499992,509321.69274999993,825165.2027499999,487710.0257499997,1658203.5040000023,379730.87575,3344652.0725000007,282000.96825000003,2729156.0200000005,1189891.0512500007,17.39208577358888,624.1126163034876,68.06814088980374,114.72492188209739,72.91565982368789,19.39500215096317,49.47021737556334,85.13253860578824,136.5379655196849,210.48091500207647,265.1886316280785,172.37165625813057,81.15160301642462,81.15160301642462,195.89675211429648,27.963866682200738,49.18412743421376,121.97663636080924,80.03332830073944,30.044548792570318,36.32345827681763,49.5829913651539,14.961941875318407,16.245762548733914,16.752481668843405,21.728254929672495,23.576813813605543,24.051075607873308,8.195628816080445,8.914711300692257,9.453887729288311,2691.4714403039434,687.2859187971212,2102.4896560091265,19733.081814987447,15962.62359928797,4713.915079381432,3200.776284644732,3770.4582156994793,207.4719959261186,76.18350511077848
2023-10-01,880981.6224999996,1536705.683999999,504784.20374999987,819617.2269999998,483618.5172499997,1644321.6637500024,376850.2645,3302805.292250001,278941.00450000004,2696147.74225,1179892.8822500005,17.33633987073391,615.1259714384933,66.93428435432814,112.74518355099576,71.62616531645328,19.33076103234398,48.758043184257794,83.81034801850866,134.49237051985563,207.8749552716277,260.80965748428423,170.11226351180434,79.36237284745145,79.36237284745145,193.88969744429818,27.634016036938174,48.478712089214135,120.22720633473595,78.89479003959597,29.88505157688034,36.191837951063995,49.42971679619628,14.988879032576069,16.276614325330538,16.783238157383536,21.75810329104609,23.608850699501556,24.081523014362,8.219654772128855,8.944377967064915,9.484953303576553,2688.6145791120207,689.8482231642777,2107.213332563105,19700.67352733088,15949.0429484562,4712.717998673505,3167.0100049690077,3751.630578874682,192.5333530751906,76.21886369360726
2024-10-01,891041.7632499995,1564641.2872499991,509079.11099999986,826969.7509999999,490989.4839999997,1679256.3172500026,383114.44025,3377653.0645000003,284082.73225,2753139.624000001,1203844.3320000006,17.291702198406604,616.0018556889652,66.21820969656136,111.31509182252566,71.0637502444349,19.230930211181352,48.37165824574684,82.55141786453127,132.73940338773795,204.52506001006253,257.776235487289,167.13426619737527,78.59052695378756,78.59052695378756,191.23080905255193,27.4580027596108,48.066177304044295,119.20412007710763,77.89238994527246,30.223562378517254,36.6764952567972,50.07636520318066,15.060483484204036,16.344458846648116,16.852428568122477,21.825773153783487,23.67059385226367,24.142581919486663,8.295193813266279,9.018323858135796,9.562275220685159,2714.456612297261,687.2528530603406,2132.672746290211,20137.2714389001,16333.440401187094,4680.627898199007,3201.019701342668,3803.8310377130088,174.3425906105246,75.89705882695331
2025-10-01,938144.0304999994,1631853.266749999,538214.4827499999,876443.3249999998,515418.3749999997,1756254.0367500025,400821.8195,3508926.00675,300697.56775000005,2854751.695750001,1252122.5995000005,17.961848073800745,628.7424630989486,71.81415278731373,117.83544596935242,76.78439048669796,22.519208313169692,52.19246845045852,88.67082462191868,140.50242492090058,213.6425659583775,272.0757582980552,174.0466854179559,83.91828305782309,83.91828305782309,198.07243362120374,28.7768419968829,51.90301685457145,128.71948175643564,82.25530025140465,30.62711835746296,37.43072347074442,51.16205917676816,15.057549922599108,16.34253213406248,16.85563644580089,21.821506031919796,23.672535632687136,24.154269591232953,8.293593813470446,9.012528653253707,9.557003303133708,2737.411442110668,684.994228796806,2147.7734555258926,21080.880274300976,17226.761933940223,4605.653744813267,3180.3971268535347,3854.1183403607524,174.3425906105246,75.5947949963513
2026-10-01,922055.6087499994,1595920.5672499991,529956.6097499998,863811.9819999998,505381.3344999997,1723412.3820000025,391957.14625,3463483.4015,294280.7705,2820828.755500001,1227881.1492500002,17.60038641997702,619.6902199257936,70.83146988146339,114.40924671161933,74.58530278356795,21.87661651895894,50.588637656378864,86.06836980130045,136.69515916317,207.6579405619429,264.6937601779171,169.681714841552,80.21416046954786,80.21416046954786,193.66786303884572,28.321937318972147,50.41499999797291,125.02919986944653,79.68913042861911,30.46999132610701,37.11972192989185,50.55100462971747,15.111184167700063,16.395106107523443,16.903855281719764,21.89118959503301,23.740344533775016,24.217390825493148,8.331178743087236,9.049867693467927,9.590319741767606,2747.493175882562,683.0984806770068,2153.5674078134007,20869.4698748803,17049.557888240004,4660.7208850851985,3214.408862383766,3819.9119866402966,176.84321876733264,75.72444897485391
2027-10-01,950183.3237499995,1641069.0412499993,547577.4299999998,890045.7054999998,521715.6224999997,1769254.8415000024,404095.45725,3519342.35175,305318.14275,2861254.0365000004,1257960.0830000003,15.730750496794645,615.1061403173583,65.38120827364837,109.80460736020252,70.27624127784661,19.829869194192582,47.395535877394146,83.12530492168153,132.69688386375898,206.58166455258817,258.71521518943393,168.26954882731974,76.31064612041295,76.31064612041295,194.00577172196856,26.8036483094574,47.80170766340624,118.54823489241544,77.73323697615459,30.619397972625638,37.64972855884453,51.41047572785616,15.172461150041006,16.452083564820096,16.95815651155562,21.95875380065477,23.801883466919257,24.274563640172424,8.386168497352191,9.102283677462227,9.641749386278104,2720.362420856134,679.987977303448,2138.4951021583634,21384.498730926774,17557.91502983657,4682.729873107144,3240.0834732119624,3826.583701090201,176.84321876733264,75.65970511499975
2028-10-01,931914.2929999994,1593264.4792499994,537899.5269999998,876180.8559999997,510197.07849999965,1698991.4530000023,394565.1995,3355564.9990000003,297667.8197500001,2728175.8100000005,1218778.2775000003,15.355945707150246,588.2839112383339,62.243899378354385,105.56839505176303,67.44731527627172,19.396584952950835,45.65242285983836,80.53362891460505,127.62950159985034,199.05256319440963,248.24940268974746,164.27042492264735,73.2542885939563,73.2542885939563,189.61906287528845,25.580738522890414,46.21057587416688,114.60222812056284,75.03872776123328,29.976283129938015,36.90927876642434,50.604287945832446,15.223199505775147,16.497300689958287,17.000527743493684,22.03245243115,23.866701959900105,24.333210215139953,8.413946579536734,9.127899430443309,9.667845277641945,2663.356418122887,676.3282995978376,2100.7297330519586,20438.906806718333,16690.652155794196,4729.845183588444,3255.552783135664,3748.2546509241342,216.53337764737716,76.08207191799548
2029-10-01,954498.7279999994,1634730.4069999994,550193.1704999998,896134.4872499997,523993.74524999957,1742115.1702500023,405711.27449999994,3454605.9892499996,306044.58350000007,2805688.627000001,1249840.2440000004,15.468215568080884,603.441922150749,62.965319912305404,108.00952180085399,67.905235150018,19.352897280401102,46.0326358579535,82.21028098770485,129.81663450780923,204.0531535863362,252.4051328020323,168.78458524853278,74.02311049336546,74.02311049336546,194.55248823812934,25.966393422109356,46.74761922098809,115.93409564655526,76.33183340484331,30.381224401542607,37.41329630826991,51.37709680377882,15.241127589361104,16.51947226512406,17.02304794848846,22.041250375681045,23.87704990385928,24.342421175123153,8.441004797697813,9.161894635858465,9.703674729999442,2686.4136398600476,678.7463193565877,2117.4992289835604,20914.20752582122,17100.102089959422,4686.400567477014,3282.1993958077155,3814.1054358617976,203.50035615095572,75.7298443420414
