datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
2036-10-01,983081.4163333338,1651682.2949999997,563932.9676666664,910436.103333333,535703.7046666666,1746194.365,407357.63133333315,3441887.135,305556.1326666668,2827218.811,1242165.2119999996,12.980580543723411,608.5693526244297,57.620674181166706,104.74853352350097,59.81091043213426,16.216642008235382,40.52696683975433,75.88675888968065,128.4957001346498,213.4127424658602,245.76225871649012,177.94682118565723,70.91157849156711,70.91157849156711,203.41448436411505,24.084442946773777,41.91437251130055,103.94764423066067,74.54866902150732,30.6715224472113,37.38204486272913,51.90929807019303,15.235317686886392,16.526297508196603,17.01635637444984,21.91549091646319,23.760359402182658,24.218396593647558,8.55514446012759,9.292235608909504,9.814316156503,2622.034334474362,666.9492410435843,2075.467628502343,21543.80025116856,17903.51383253354,4840.843334313244,3206.9866564852828,3640.2864186350166,239.33946573864614,75.97204283429829
2037-10-01,907813.2193333338,1566039.0499999998,517135.2536666664,829177.195333333,498183.8249999999,1655527.6243333335,382663.08166666643,3301016.8126666667,284762.18366666685,2714812.3043333334,1185129.0939999996,12.261933394483727,590.4089512966437,55.17111241146531,99.58133414500571,57.492174722843586,16.078575857306326,38.640390701369355,71.67241909214043,122.03725391296216,205.01258597566593,229.43435049456204,167.53683228445576,66.6164069472803,66.6164069472803,191.62823215691787,23.099098263344825,39.803257355933326,98.71207864883222,70.74255130663707,30.046780436719768,36.39057806978405,50.39083093632094,15.252835114416266,16.5534435741013,17.04286378912742,21.95606679359252,23.819344978328523,24.281196628042473,8.549603434276552,9.287542166138119,9.80453095521946,2591.1228235518142,665.5944501391631,2044.7445904758633,20222.999229081175,16657.144428129217,4853.694978396574,3158.2093029726034,3565.854800951952,239.33946573864614,76.43195143160109
2038-10-01,928597.3503333336,1600598.0543333332,529094.5126666664,851620.5103333329,510001.1759999999,1691661.9366666668,391980.5656666664,3371994.6199999996,292321.7796666669,2774215.467666666,1207382.8499999992,12.508271299408397,598.7388709674584,55.31065119993418,99.40916522728445,57.60964227888689,16.042227913445885,38.665340482534624,72.38766929974531,122.50485206599375,206.02560595966304,230.32193129263712,167.2571939449134,67.26851107428456,67.26851107428456,192.59086603467642,23.294190770712436,39.903706680074684,98.96119296221367,71.07691654745697,30.395644304857704,36.8064512859564,51.03967117063586,15.29897712374421,16.597973255698967,17.085268354938577,21.99746405595238,23.859510277565573,24.320593888847718,8.600490192571138,9.336436230657249,9.849942827957353,2614.2251385239606,666.8062033914836,2053.484422662194,20613.634399645925,17023.426350694393,4804.647960523377,3142.720746299305,3590.208048951526,199.49766106577454,76.18113466683097
2039-10-01,964964.9943333337,1646242.3703333333,551817.223333333,892909.4293333329,528950.3383333333,1734564.7933333332,405293.67866666644,3427644.960333333,302384.12900000013,2817441.306999999,1237277.2309999992,12.297334863067233,603.9113963409577,53.72213838381079,98.76002987897695,56.49511355694845,15.125297088508006,37.81322243363237,71.61904036989225,121.63002371898423,205.20489195697246,228.96578115538284,167.65658827541645,66.5054819522646,66.5054819522646,194.1593588367078,22.939319301836964,39.241352782927656,97.31855525559827,70.9033830183366,30.676936756480252,37.40813040557969,52.04773204848813,15.368383323032463,16.667445850322135,17.150950539625757,22.056587430426752,23.915022360478147,24.367206594356176,8.680179218595624,9.419869338114648,9.934694493223995,2664.053207111604,670.3395371917624,2093.337318248551,21065.233548921875,17411.687003500243,4781.112359122256,3196.8469330133084,3653.546545421624,190.28535130967964,75.8451787015575
2040-10-01,973859.511666667,1646972.0823333333,562317.2979999998,911310.3766666662,530992.4269999999,1736987.8943333332,405457.17966666643,3435990.0629999996,304062.01800000016,2823327.094999999,1241089.3379999993,10.718320228302332,599.0935298678686,47.449569455018185,91.82675339978715,50.91611809912068,11.20778929884162,33.27526077335175,64.68275075879001,113.0615926956195,200.74349833716403,212.94789157567956,163.49305033384954,57.23443534558676,57.23443534558676,191.00511679565128,21.008006058856626,34.961831298307715,86.70534172789488,65.77903617855918,30.66021512687053,37.27040782857979,51.77963921166365,15.437601131507696,16.725023474000807,17.197765606322605,22.121560035369946,23.965846108383023,24.402935360000615,8.753642231371431,9.484200844337781,9.992595862331875,2650.675595542838,670.0570774685983,2089.5350193657723,21094.803289274776,17423.88262054031,4813.156124241945,3229.598953415667,3670.9206687344576,190.28535130967964,75.87210593540307
2041-10-01,910615.002666667,1538969.9496666666,525980.5063333331,852746.6093333329,494870.2569999999,1600651.1376666666,377746.19533333305,3171969.3379999995,281575.08633333346,2609514.2813333324,1160349.7919999992,9.059616229143632,566.7397747805561,43.16657562689685,80.97601840020518,43.68835186691082,10.008632651974136,27.52475414795009,56.16096841437382,100.00762595018266,187.65956690340636,193.2807649883501,150.805411055828,48.41072011361688,48.41072011361688,177.8691196872548,18.785204303071055,29.907734047024146,74.17118095620191,59.621950151076625,29.553386827105705,35.8577909777932,49.91626131877344,15.549779094332246,16.84661701681059,17.317090636048096,22.28538680662542,24.134617410602328,24.562970754709696,8.814171384241591,9.558616629269245,10.071210531404185,2567.402359376035,662.3175567349151,2031.5675620614531,19629.316093325284,16091.719692572926,4902.298096752464,3233.7591043700345,3537.596400752352,214.49850937458783,76.57979070153421
2042-10-01,924658.7383333336,1560985.5686666665,533954.0103333332,863048.5663333329,503015.1979999999,1614859.4626666668,383895.110333333,3184302.0466666664,286082.84600000014,2617115.191333332,1172987.3936666658,9.24169659962261,566.5811419567776,44.490412156010244,82.65161017767574,45.166229506770364,10.769411645549132,28.713591590224326,57.81710536840594,101.71352542906017,192.45366370781178,196.58914575152158,154.4313371253228,50.76329729175764,50.76329729175764,180.87304100539606,19.00825650774335,30.977075216966792,76.82314703249206,61.27023304692291,29.605668295847426,36.113045418037785,50.49475995275001,15.580211972966605,16.881821125758627,17.34900296458094,22.309344798230903,24.15892973817453,24.580560709800082,8.851079146379416,9.6047125201599,10.117445235021332,2516.3620009448914,660.1257629476578,1993.9726731729706,19821.05363657071,16294.084205552359,4876.645408171323,3222.0611552281794,3526.9694310183445,214.49850937458783,76.45554547394266
2043-10-01,907894.8743333337,1527685.8096666664,526190.2376666665,849953.0423333329,492712.4266666666,1575820.3643333332,374972.8393333331,3095698.3596666665,279162.3203333335,2546885.9616666655,1151589.1236666657,9.17408503079036,550.6641434348297,43.67712530682404,81.1567589422968,44.589741448249626,10.783389284798346,28.180066748051395,56.087029046943975,99.2088204230192,187.3535954466759,193.58414926256836,149.50254545833843,50.86817094554488,50.86817094554488,175.72552921073768,18.57296837102997,30.37255824550242,75.32394489218875,60.122855742574835,29.251465346124807,35.69228625915308,49.84298153528685,15.60558217739412,16.918136239103042,17.386697731259506,22.340474273359213,24.20588956811272,24.62973678135659,8.870690078372808,9.630382920612373,10.143658699323236,2456.863087875571,660.2213235330871,1960.8911713880536,19205.4926771809,15747.10932812877,4943.127344548507,3205.263897956617,3458.383349052125,242.0350494630534,76.81018096848999
2044-10-01,935258.1440000004,1565989.9336666663,540443.7603333333,870469.2033333329,505244.7849999999,1608364.917,384916.98399999976,3151894.536333333,287822.67366666684,2593337.8356666653,1173601.6793333325,8.732880464912576,550.5659877160655,44.493133522318935,82.53559812360459,44.01265006189876,10.376514395058772,28.290639370176883,55.939486600870644,100.5748531821718,180.2852276058023,201.14920520111926,142.45058475086554,54.62007319842148,54.62007319842148,169.79655294172986,18.557799933771676,30.57712770812184,75.83127711635964,61.11707147716496,29.605672563281484,36.164849753948474,50.78359872761198,15.699258888472768,17.014827563226007,17.48557170284042,22.444480665640015,24.31392153065114,24.74026646261024,8.954037110343117,9.715733606098748,10.23087696426523,2424.954562819171,657.8117199841697,1948.2173365411707,20077.780973830868,16633.326913112647,4978.95835975176,3242.098894453882,3444.454060718218,242.0350494630534,76.77931256763523
2045-10-01,966546.3280000004,1614446.525333333,557292.7056666666,895535.8386666663,522534.8223333332,1656096.6829999997,397830.67166666646,3239803.4776666663,297272.7786666668,2663218.1053333324,1208678.2646666658,8.818032905913235,558.2692884746426,44.60947676824444,83.09440488281787,44.29312146180042,10.672604796834532,28.49751264992348,56.25619270711467,101.47624055546034,182.1953997185886,202.91212364982394,144.77820705431319,55.100497648130336,55.100497648130336,172.8015339889916,18.716134915975342,30.81501942373168,76.42124858007466,61.945695324390776,30.281801564516858,37.01529465061493,51.99830306604896,15.758923337825477,17.070614202950246,17.545599496797617,22.47723979915092,24.336736752149516,24.768794536851257,9.040606870962002,9.804491670056393,10.32240447422578,2434.4979661198154,662.2993616455548,1959.0914048939962,20549.795915071176,17049.14530765194,4940.029545580542,3290.6929402399705,3500.6506074192334,234.43254854812727,76.38428681885031
