datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
2065-10-01,664196.4416032154,1029561.091562095,385843.0544348509,651994.5229984415,360215.91155771463,1168608.2346928504,265761.5052072589,2090147.0123248994,219310.3708203607,1673471.109008679,727666.5092902577,12.260863342262843,280.2610148602135,50.41745532519674,68.6592783932403,46.06720671567235,25.52877711774258,32.122371048230576,56.71878475119476,87.11925115105745,145.89006302451332,187.55512646610183,119.9338282825273,58.72152138428979,58.72152138428979,132.97512524537527,16.373891115369293,32.42135701603492,80.404965731781,54.460233684588616,9.071887216338592,13.223214032494196,18.90531680680285,0.7804635486133837,0.8196035915968708,0.8411935956461615,1.0027782034057584,1.028714941155419,1.0143376689737276,0.6944186273270597,0.7343202202849023,0.7904793695158602,841.9737163022166,135.25089388473643,534.4639697507386,16244.322920233473,15219.040277977798,841.8663816757086,784.5454894415838,1292.0578290365893,615.8956639631331,8.53749117684653
2066-10-01,730675.8751267499,1076287.9437288693,428007.64102406905,724548.0733599279,392247.6051721075,1197619.5847668408,283749.1597741462,2102088.938539034,236691.67740301328,1679323.5279618436,748091.071093122,12.263151513820377,277.39251575514896,50.51269880472369,68.94814655584254,46.16185489091738,25.5562912316401,32.18341759806692,56.703252971884666,87.18504818635468,145.18660301708303,187.31083154537063,119.93963918021502,58.76739289221181,58.76739289221181,134.10471213849195,16.371574723372703,32.46859742928163,80.52212195346408,54.34946320190028,9.106974642532665,13.663898210459687,19.865848667177616,0.7220473670935237,0.7668384951766928,0.7868355482036391,0.983114301831929,1.0119795156484357,0.9937937571324793,0.6071576763604617,0.6474460347535006,0.7006461119836446,820.544855076686,135.49270466483256,524.189491746759,16395.086103141486,15395.67071837425,822.8071711436136,797.0566962087469,1267.2978518574714,599.0550179326381,8.567518289987026
2067-10-01,732018.9939875618,1086439.083464823,427650.06686667935,725439.6612249122,393588.23051031,1215445.7162581857,285616.6952593329,2197235.0222539455,237481.20191719753,1759491.7495102272,758081.4222965065,12.287512234315196,279.234327657854,50.55319472911339,68.90805448220978,46.141763840743316,25.556331388601443,32.17827774017188,56.66136817043414,87.0701375435774,146.30043946641024,187.17512400692002,120.81711030050167,58.71874463114598,58.71874463114598,135.0670770436242,16.34672755891303,32.45496352291929,80.4883098659303,54.39870112828639,9.60037886813422,13.973447773503606,20.215037900267625,0.747385342733466,0.7867549097876908,0.8050834916203692,0.997866023641242,1.0255015213538679,1.0078999822723202,0.6440231050842046,0.673435551867808,0.7216376083391121,818.6419464533853,135.5920110161015,518.0296982248279,16797.864878460776,15795.89426233724,814.0080306071197,804.85888027639,1269.080249337994,603.6380962925172,8.716923032557837
2068-10-01,746884.3087023423,1110562.9268731524,438058.20546323183,745564.6925676905,400957.0708041007,1235165.4114379666,291941.6467867825,2216477.1452871272,242864.7372641684,1775470.3830282576,770897.4619588292,12.2395882622571,279.6045551883477,50.394613171545416,68.44441612897705,45.859880106866086,25.501777264009387,31.998653692696966,56.71527233823336,87.58309164726799,146.99176714062062,189.5612260075472,122.90877833867383,58.6303258674005,58.6303258674005,137.66030180622013,16.250932995346272,32.32808480866508,80.17365065419028,54.85053963466976,9.872523495060303,14.341855281084792,20.783718043656602,0.746910498743701,0.7862972605527455,0.8047284130997209,0.9973978515084098,1.0281404357393942,1.0111830512321691,0.6494843908798349,0.6773682187707605,0.7194414248971454,818.6803960160494,136.2699453944981,519.0147234722722,16949.48247101522,15935.36333199366,819.0356180875984,796.249213723279,1277.9162006791696,607.6692007097039,8.831231511665777
2069-10-01,744910.4436461846,1107125.4568531062,436654.1848240572,744336.0246793285,399914.94609959726,1231283.579865693,291117.98912023514,2205609.814422959,241743.83415622593,1766899.7694405776,768181.2519799763,12.250075746564843,279.14944902888857,50.39503856566181,68.34990513857761,46.01522140394556,25.520327010855848,32.06329437737446,56.88797791753256,87.70723060379876,147.05892114490842,189.58690850673753,122.9064818242444,58.6786591516492,58.6786591516492,137.68898507381147,16.251926453702662,32.391698740333936,80.33141321695962,54.83949098130419,9.881863455939989,14.322878214194896,20.734956602352817,0.6912859380649862,0.7121187951433235,0.7235154202847074,0.9440024625908547,0.9527193015739843,0.9287076464617118,0.6036130912649513,0.6170103858854623,0.651823549031655,819.1647709035815,135.84467608003612,521.9706372406943,16840.549752164283,15817.547030162998,819.635305178778,789.7680569336545,1307.0290695203335,607.6692007097039,8.89782545624273
2070-10-01,672969.0306428388,1009235.0270004509,393896.91248987365,681877.3502826724,363146.0776595581,1118398.528065024,265403.1160182754,2030321.8039258672,219071.86249600453,1622470.739515962,703667.7072277021,13.171097286818545,260.4434074524188,55.514197553306865,64.72192685050281,46.78091254153064,26.10013282774753,32.56626763328616,54.46238822308573,86.26949861726881,136.40196753301484,182.0707361699143,118.40632111688004,58.539161220580276,58.539161220580276,129.516915273807,17.509508286551146,32.47715138104864,80.54333576090747,52.96201611071906,9.289937361691715,13.323596475290485,19.180337627372392,0.6847935050823621,0.703988298547697,0.7174480502271808,0.9249791254780874,0.9348258186505525,0.9132784954439948,0.6036143945539983,0.6162838233600281,0.6515651865546094,810.3118111050492,134.0351728215744,508.2082558829756,15222.33488583228,14240.003758484649,803.9808060745962,792.160902716008,1269.9012500082022,607.6692007097039,8.733274533222133
2071-10-01,666149.4838852902,1009994.074120122,388685.1805270448,671746.0751316658,360045.139876766,1126113.6349304093,263685.8427418334,2049846.2521187337,217844.45445918388,1636994.3776765305,707994.3536870333,12.994765669875859,260.6107989736725,54.86104708656219,65.28069717312711,46.973975539025545,25.89529494675387,32.75098766966957,54.81930756997194,87.03298646082452,136.72918049191392,183.5272258536977,118.45751738449238,58.80712561150541,58.80712561150541,129.59986353919427,17.494683702906677,32.68501632732032,81.05884083338051,53.3374516287753,9.317809317275497,13.367800281485273,19.17167067156169,0.7057791339822147,0.7180610937760531,0.7332142571144893,0.9449933584998658,0.9425333256326073,0.9212169482788927,0.6195491418743279,0.6352761197297319,0.6735582803680087,822.0526088942911,133.01624589841805,522.5999973794821,15397.965896292835,14379.021193959763,805.2527788120839,804.7340345563771,1293.9134095054885,606.8073739710845,8.804175914693069
2072-10-01,677082.9639638581,1051440.5648969903,393177.7869870764,670768.6644455313,367676.13902607857,1191879.0797367052,270397.94002809376,2148683.5220486224,224429.92154601138,1713288.3348909023,744487.0884544054,12.971815834556798,266.9825834465886,55.834392794547945,65.35947495943408,46.86962429047812,25.87171642872086,32.6095860413035,55.08008851146491,87.6124273287118,136.33267794204087,185.59204867599965,117.54150943652999,58.95840529359329,58.95840529359329,129.2122086149496,17.49617085506996,32.593893581587885,80.83285638876731,53.42708739781476,9.690924754367687,14.20569562832632,20.098349891861805,0.7439092370693301,0.7558865255843269,0.7820519231736881,0.9694183591421476,0.9657825692563087,0.9455664442402526,0.6693274512769674,0.6867527688609228,0.7499056058951576,822.1156422593593,133.17309359084325,518.0996719922492,16048.54964696971,15011.771290968612,802.9187608604784,797.2316871775118,1309.6317231128128,612.3982347281408,8.90706688167341
2073-10-01,627697.1736118603,976182.2135719676,366992.7391795206,623040.3776456683,341821.1012493153,1113476.3321200088,251127.73359902136,2053743.768191457,208363.46027420246,1641234.1914647555,696543.1821175638,9.538418744151363,246.508767182176,44.03919956107959,49.12226092449491,35.55535141852254,24.91513852438539,27.12929784319841,41.90992419072596,71.30360744877204,102.52196421598582,133.4762834136359,91.04163953953906,48.241457928471846,48.241457928471846,100.84709508792525,14.730642687319463,26.32777396640637,65.29287910752207,42.059575315417725,9.529683529008254,13.726807226731088,19.131382040199792,0.7171266647746596,0.7307223287129915,0.7581530233264038,0.9337033722902306,0.9276199528676886,0.9089432299038611,0.6558247708664237,0.67663655438973,0.7402396616344815,808.6827953444553,131.44946977568708,503.8595083794213,14687.894802662395,13716.257730501053,721.6065964614496,802.3966924704328,1257.947297747353,622.1914387374171,8.599465665440247
2074-10-01,624772.8433569035,974421.8631461655,365571.6992402014,622918.0813521729,340327.2114948139,1113173.1009966251,250368.41985394305,2055012.8962640825,207604.4178331734,1642290.6629701606,696223.1214061513,9.562010058433012,245.99740831158218,44.22037680743033,49.158925106292365,35.83167503693624,24.933798631121178,27.283805443366518,42.112091748610396,71.74409583211468,102.66684868829174,133.65452072853887,91.1568127262208,48.410105967528615,48.410105967528615,100.77341343634964,14.789913517334524,26.488747441222387,65.69209332093679,42.21458421943383,9.534484975479142,13.715237153192655,19.073839181436696,0.7443761893291376,0.7662046052991155,0.7852126876289056,0.9646158038806155,0.9731123348011366,0.9474684738378745,0.6740657488234418,0.696380636056917,0.7526938403557105,789.2066499548674,132.54061141577185,483.6081304230384,14680.36433003392,13705.219731244104,718.9806713015362,809.0225064219978,1255.475171125748,629.0911609823851,8.60111293577681
