datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
1989-10-01,1000137.7889999999,1709289.4665000006,560394.7525,893805.4399999998,549613.9745000001,1828893.7089999993,422607.41849999997,3653082.4294999973,318707.5815,2978780.623500001,1307219.3584999996,18.24939064910534,772.506573386456,90.08748708899319,134.81308233601013,90.13822198762168,34.133488275421286,58.22333613464499,92.62544014041234,149.09755049515576,236.9946135217408,299.33654275361175,198.38013846250269,100.56077907882242,100.56077907882242,217.31920146530584,31.983218314945837,57.45399748383966,142.48591391529362,91.56893531309314,32.266009335429565,38.64757975386884,52.76278276855879,14.29768522315897,15.487790762945485,15.980466946268223,20.94328956951741,22.659662287539287,23.115706998828077,7.65208087456588,8.31591925478925,8.845226901356138,3000.3242587618342,714.1546382484099,2292.425676284089,22279.05160374965,18040.86752029316,4379.495558479186,3237.084934261672,4238.18408345649,78.37030443469402,73.97450133625577
1990-10-01,1002943.2454999998,1698045.3500000008,564804.789,905608.6894999997,548363.0565000002,1806021.8649999995,419679.87,3628522.1469999976,317899.181,2958196.421000001,1295805.4704999994,18.62267283971358,767.2640180385953,91.61992812666169,135.61517274530206,90.52464112455414,33.25891841135107,58.4520210499165,93.26456480341909,149.98855186964866,236.6848356194251,303.0592098739313,199.445343968736,100.66568591800373,100.66568591800373,217.37806727977608,32.26859103923397,57.53041702048249,142.67543436956973,92.20013352012975,31.938114773362077,38.25434129618348,52.445477771222784,14.306374947725155,15.520475695957964,16.009606672397517,20.962422454013286,22.711041738441832,23.157760425609823,7.6503274508127745,8.32990966647087,8.861452928712216,2969.93799096458,706.689412535297,2259.688699382018,21935.91378223748,17775.151823366912,4402.236716697925,3254.2765742298106,4160.761958870566,121.42898768331784,74.01688774384021
1991-10-01,1005450.9104999996,1693668.4400000009,568600.486,916766.8509999998,551308.7735000002,1792172.1769999997,421242.6465,3586126.680499997,318339.4085,2921053.3470000015,1291813.2759999994,19.0237179413544,758.8404021871017,94.73736933438587,138.64377114962355,93.03865753680968,36.01919713401248,60.901536051400456,94.03930934021596,152.49215969945132,237.27740374087657,304.6228573423275,202.6421568673406,104.01090450312181,104.01090450312181,219.0528536705474,32.523891259639356,59.26914917945736,146.9874897213951,93.59294842173932,31.611179183584046,37.97791089184326,52.28463668356052,14.233158419133105,15.44143334569328,15.92874260295768,20.859165622571986,22.599058130724284,23.054082825248212,7.607151222450563,8.283808571367897,8.803402383196765,2991.267775098887,705.176681076581,2252.1499199018954,21373.650417910765,17226.60992583543,4340.612128052304,3185.9443179303657,4147.0404920753335,121.42898768331784,74.18566902130416
1992-10-01,968844.4249999996,1619550.8405000009,549791.7285,880950.7219999998,532087.7615000003,1693266.1989999998,405798.40750000003,3428616.952499997,305865.513,2794242.6875000014,1237084.2119999996,20.124387778344218,734.0450683740812,98.01579275292735,138.23993701418917,92.02082059430025,36.879087554497815,61.09821410223857,91.81585317233619,150.02445155167078,228.93430650089886,299.8055740594597,199.47351153766922,105.71125801712688,105.71125801712688,213.4463838107318,32.668569600329086,58.927326628307334,146.1397699469529,92.82803938802525,30.67970720569237,36.66729433370061,50.67189250887252,14.183821431984848,15.420501154058448,15.916606301894168,20.826364251012283,22.598588269693707,23.0612074847081,7.5412786206734,8.242414050805195,8.77200512426808,2978.360178630858,706.5741860356436,2243.781561442785,20049.224871474078,15977.463470652327,4403.030069684972,3198.3198089095054,4071.761400821751,124.63519801329258,74.74797773953594
1993-10-01,937032.6414999996,1589192.7695000009,530785.8319999999,844026.1564999999,516563.45450000017,1668332.528,395363.10750000004,3388655.5454999967,296565.2765,2761796.7435000013,1220307.7634999997,19.011954898624385,719.6129473487655,90.99569139335097,131.88173275340225,85.24264815906231,31.945345066171132,56.29038807867953,85.15986560180544,141.94644862028497,221.0208572807641,287.48328945242156,190.6240225790753,97.25123051224509,97.25123051224509,205.04228366332768,30.889805046365712,54.44142505720337,135.0147339902958,87.69211668331062,30.397667454732204,36.3172835591226,50.08051288360159,14.216907049014964,15.456647045270884,15.961943971172014,20.874625895223815,22.640614297281704,23.11403488077432,7.5591882098995145,8.272679804216256,8.80985306977095,2972.257722822925,703.4736178192177,2240.226317292299,19748.472095657868,15723.016757124915,4473.3020221575725,3229.412647552656,4025.455338532947,124.63519801329258,74.89410760229354
1994-10-01,946463.2094999995,1605174.245000001,538091.4155,862279.808,521394.33450000023,1678472.2419999999,399554.67600000004,3372832.043999997,299088.61799999996,2745956.9540000013,1231838.9499999995,19.94645213451226,709.4500366036542,92.96085033558663,138.54722703799126,88.75775096805909,34.47891638392225,59.17803337448892,87.84758592974002,145.51008252888988,224.57074919814303,294.5299797637197,194.69174032548983,100.93742510402858,100.93742510402858,207.50764254469019,31.344053735481776,56.63033925489282,140.44324087910172,90.10816902838278,30.338213827129515,36.4128347672662,50.40188107029486,14.15858375874601,15.400237455785938,15.899272055249549,20.793439593613574,22.56406772148722,23.032071865714414,7.523727937132098,8.236407201404187,8.766472248701835,2941.2129487435827,701.6821113009864,2214.402963468956,19245.84685568136,15216.91036699298,4440.273356748321,3187.2402411235835,4028.9364886883764,124.63519801329258,75.13817677226794
1995-10-01,943398.1044999994,1608956.322000001,537086.422,861545.9334999999,520327.4400000003,1679230.052,399795.30650000006,3346831.2639999962,298328.9555,2724080.0625000014,1234882.7014999995,18.95703682521246,698.7596862696906,87.1853775864602,135.24631304069547,84.46126599792463,31.57702425474106,56.27619324725792,84.58448752318448,141.65723399933478,226.0115169997327,288.0454006544861,193.91283464417677,97.26762179826338,97.26762179826338,208.143419979803,30.16951813564534,54.08651593758881,134.13455898171426,88.2310152401445,30.497625811830765,36.63992703087013,50.62396123027771,14.207949197910192,15.418155485995166,15.910697602054611,20.83160626146028,22.567249414819663,23.037377877315638,7.584292143771158,8.269061573838945,8.784017329781706,2979.1454538496273,702.4381764671258,2261.1808033651546,19230.3192129969,15206.919051649948,4439.781019967443,3159.3687208254514,4023.4001613469472,124.63519801329258,75.17526172886805
1996-10-01,895486.8009999994,1533657.499500001,509167.7005000001,816942.6005,493578.3770000003,1599718.9884999997,379418.7665,3205394.3429999966,282146.444,2612310.5665000016,1181223.4559999995,16.785845083225006,668.5315591341134,79.19599686336919,126.07004570158998,77.93291810255059,29.674944745983304,52.26076174372687,78.27112591839462,131.82192563906517,213.73724572275574,270.1002401926423,180.41580978457853,88.39461090970647,88.39461090970647,195.4628311007403,27.81958937397406,49.968332010158946,123.92146260543237,82.1234425354031,29.918334699796095,35.801587679935196,49.32028162683916,14.268880703338386,15.476957540119503,15.971246233774957,20.902554206782355,22.64185763234645,23.114673762858935,7.635207213324955,8.312057464781795,8.827818698766979,2904.223570452465,689.756512136317,2233.428599939506,18525.823259021046,14668.248248440359,4620.59842069773,3193.84864482198,3857.575010580685,202.9810212443302,75.9146060182924
1997-10-01,888459.1664999994,1528131.654500001,505370.78600000014,810377.8389999999,490468.70550000033,1604744.0765,377410.61350000004,3254359.1384999966,279572.3995,2655352.7925000014,1179718.9444999995,17.222235480610383,672.5055138543165,80.52773113526786,125.0139593797331,78.25056733822905,30.13592966624659,52.588593229618866,78.55157794028166,133.0065873579824,216.2880577341087,270.2529991852424,182.62894813601898,88.75887934672623,88.75887934672623,196.22354044643825,28.520129768550913,50.30986820625362,124.76847232463433,83.06116523966912,30.102341825371433,35.82579819834362,49.151608314363855,14.27932316952921,15.488540416024474,15.978739385250261,20.909015847774747,22.658937086663933,23.12994362486409,7.649630500394915,8.318143766996695,8.82753513717439,2858.8483824524656,685.2224656911551,2201.6356205005877,18286.26350198743,14458.941212114532,4632.853090257657,3175.2693857646295,3827.322289872894,205.2430617730666,76.0576256231342
1998-10-01,900284.7829999992,1537418.901500001,512822.6220000001,813494.649,496585.61300000036,1612025.5505,381030.086,3226595.3099999973,283079.30000000005,2628183.9120000014,1184921.8424999996,19.11711901777222,658.94305901122,84.07485438792749,128.1565470733525,81.19176078808553,31.2106557790275,54.943911036097916,82.99205596731187,137.24320386259936,223.85479623535693,275.73530344842266,190.6305866756076,94.5629766613175,94.5629766613175,202.27933511025256,29.12097588963482,52.5799249447723,130.39821316220178,86.24815023911341,29.623431955532237,35.67325463151327,49.135174769368426,14.332837553992487,15.557389730973759,16.051764042725065,20.987014481424815,22.749994616080738,23.218675131943332,7.67866063762641,8.364784862622313,8.884852945308845,2874.75128746059,687.299863710468,2221.337160750966,18484.30192784187,14637.436326898238,4616.258544143731,3166.242294043782,3846.8656009436213,205.2430617730666,75.97620931792186
