datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
2050-10-01,1022279.859333334,1809333.3670000003,576306.9786666671,870185.5426666666,565778.7083333334,1973753.369333334,432713.45866666693,3819830.047,326464.5130000001,3108427.990333334,1387599.509,11.324927928706227,618.8399480092245,56.69205500497253,95.37607371460868,57.759396282465396,13.850915386911453,36.488699483086926,67.31711943674723,110.39633277131321,212.27873866094222,230.94300319556683,167.30585650385555,58.93479530406963,58.93479530406963,203.8487514938532,22.908932391629587,37.028710765115754,91.83120316375465,69.29656392813432,32.99665701526147,40.41650510058169,54.99061283543899,15.673985753610998,16.95557741948833,17.324490742782814,22.24664269558698,23.954377780031315,24.412528804598722,9.101328826210164,9.956777057170694,10.236452669887749,2544.364300726525,645.6210999811035,2061.7083406061242,24616.712529014298,20821.347443003204,4833.502462221864,3581.4045069402,3795.365086011089,294.2915628220595,74.39624380440317
2051-10-01,1002097.7830000006,1793642.8460000006,562001.973333334,851392.5773333332,555467.8393333333,1969429.6336666674,427064.0533333336,3854113.841,320756.9333333334,3135109.4960000007,1378785.919,12.07605033817766,628.1312271424498,57.90796416350896,95.65260285951078,57.464373492175376,12.755017102764876,35.34411707461854,66.93042604124005,109.30098118934045,210.18765062955578,225.66256338696547,164.38845129397473,55.408540709288644,55.408540709288644,200.77879766057796,23.167411578043904,36.250570378669316,89.90141492406207,67.63800540650331,33.045462555527045,40.350989029830025,54.74607795066686,15.709644159183021,16.99110476604192,17.3612155386907,22.287869051956655,23.99045336518123,24.449290825330433,9.131419280706996,9.991756167272724,10.273140242483178,2549.5976202468864,644.8133922203233,2064.243957991602,24724.46328979899,20923.140806342646,4861.8479406437145,3612.8241154479256,3801.3224834563375,294.2915628220595,74.3684126756946
2052-10-01,991731.8403333339,1779480.1060000008,554949.9790000006,837303.7006666665,549755.0653333332,1956690.5446666672,422942.8716666669,3845960.929666667,317043.30733333336,3129302.550000001,1368718.395,12.538301478944154,631.3332036946554,59.62699059364386,97.59682933205185,58.592475769741,12.788072810215203,36.09252162057263,68.23416580629056,110.26472274215931,208.35551274444168,228.00029677787103,162.83861206156044,55.84513523827454,55.84513523827454,199.1654059411039,23.683338266386645,36.92983034019709,91.58597961855213,67.70821104796899,33.06576432906193,40.23750457426406,54.520552829243385,15.72727201445562,17.005501569257678,17.37178996828111,22.308365854047164,24.004724596662708,24.46464698898241,9.146178184369836,10.006278542905909,10.278932937788332,2546.764323780354,644.1788169429168,2052.8847960751464,24646.82674706618,20836.50354803221,4848.198897883732,3602.3413412137907,3810.3231990339627,274.8080730102995,74.33534122051688
2053-10-01,982848.0040000007,1742433.7323333337,552741.0480000007,835709.9173333332,542687.168,1905871.3616666673,415588.9000000002,3724980.353,312407.5283333333,3032467.6460000006,1337791.9833333334,11.026847464115649,609.9412596428966,53.35306375644357,91.24121613621264,54.00203901535703,10.963530027391743,33.19925510551949,63.24516663982663,103.92655693114824,200.69066301371464,216.4506121430266,157.53184060217552,51.531812633658525,51.531812633658525,194.0703606195755,21.87569362443857,34.05379719496665,84.45341738612925,64.65737341335334,32.51583419846441,39.62215183960374,53.76604531791527,15.766336096584665,17.04964046382947,17.419752452371952,22.35494537558843,24.052243174914203,24.51513999116276,9.177726830227408,10.047037756052825,10.324364906818428,2535.08349391279,638.3654459534064,2038.2346503982856,23999.282675549817,20260.190886004475,4897.764883448262,3614.9739262526905,3739.0917895453335,298.93568981209415,74.67984210115155
2054-10-01,991781.3870000006,1758740.8833333338,555912.0910000007,840493.4956666665,548701.1843333333,1919565.7970000007,420127.8396666668,3750267.6180000002,315631.54933333327,3050715.886000001,1350797.7910000002,10.528942440760458,601.3085317142451,51.942143183934064,87.07603898003863,51.27994319874448,11.143183874563714,31.75105784709032,59.73440861339215,101.20486931726471,200.37286203484067,210.29545325248097,157.26412114560299,50.35592497124126,50.35592497124126,194.09440620246,21.24420542756055,32.53647946390463,80.69046933130282,63.760283064803716,32.6443103593162,39.76249436545395,54.043686920621916,15.789659840911902,17.073992517519102,17.449028249923035,22.36813441681104,24.072070572556814,24.538687021398292,9.211185277151001,10.075914467404955,10.35936947220183,2514.7870575232464,635.923571915832,2023.873612079266,23996.419426700402,20278.238304265375,4915.868999638647,3630.989744881258,3718.181122435018,303.773483680078,74.72948648224924
2055-10-01,1009515.8950000007,1806440.1816666673,563604.3096666672,851330.9029999998,559734.9766666666,1981363.4820000005,430528.14300000016,3894254.6226666667,323455.9203333333,3166184.6146666678,1390756.3913333334,10.290159861802014,612.8128784171253,50.56797349800556,85.73238406441094,50.45327766210544,10.87700188390241,30.822675948597354,58.704436843689194,99.85749662093025,200.59818500593576,209.04456495794702,155.87656725374364,49.35287546580591,49.35287546580591,193.80017905986904,21.119616997027897,31.89530146558646,79.10034787585522,63.27452472524346,33.26825749657881,40.461877967882906,54.879273238301685,15.838116631153719,17.122243684015096,17.500236370029278,22.396356916684848,24.10403029631846,24.574319022327234,9.279876358771691,10.140457074667312,10.426153717374728,2512.4840651010763,632.7990672570612,2033.8336990214812,24770.902437250257,20979.89915510801,4883.264580859438,3675.8006821913395,3791.003282142242,303.773483680078,74.35267070556921
2056-10-01,1003827.1146666673,1804462.529666667,561748.020333334,852047.5829999999,556350.7516666666,1997015.875666667,428511.92533333343,3944595.178000001,321935.082,3205151.6153333345,1395007.985,10.232945248854806,613.9747333284344,49.161561629688066,84.69964255435937,49.665925098761264,11.65156720001993,30.625883220502065,57.52524690702355,98.3907348920948,195.21786897786336,206.48650264849027,150.64519016365182,49.30239597159784,49.30239597159784,188.82040000371623,21.023649149106607,31.676916725505993,78.55875367215009,62.44164859923706,33.49139495987094,40.66263842216396,54.87626976497656,15.883040832487621,17.159095281152197,17.53586513684687,22.433546871655913,24.133062259623305,24.60546422797739,9.332534806454479,10.185128306219793,10.466266045203254,2502.017511562622,629.5451479435325,2025.9988456910946,24972.584010720442,21166.687688474998,4891.929277550345,3707.538650625756,3805.8963222454468,306.5806058866784,74.18453775721652
2057-10-01,1045868.5766666675,1864006.0050000004,584185.0346666672,883131.0173333331,579884.7393333332,2057361.5110000004,445415.32766666677,4036933.5493333344,334949.1049999999,3277296.121000001,1436152.9296666668,10.491631078803085,627.7274288732611,50.27113137979352,86.35958750101788,50.875527037267275,12.236480315999575,31.31072035428791,58.64948399989309,100.88854211723029,199.58128241902315,211.51961978010436,154.66339937862833,50.71013305731478,50.71013305731478,193.96374136276128,21.592944945171038,32.529555686313245,80.67329823408802,63.94659234241082,33.89047196799998,41.44042525862733,56.1125635654943,15.952282980826899,17.221141205642713,17.59174565516941,22.5050107343524,24.198059103738853,24.661142539540304,9.39955523467758,10.24422330876109,10.52234877069963,2522.7243040717394,631.9181904625614,2047.400983042244,25631.19948103626,21738.840853892812,4873.357342670831,3764.749652719395,3892.358627143447,279.91577853909547,73.75110625993324
2058-10-01,1038132.6326666675,1835665.5923333338,580731.7400000006,882588.9813333332,573649.9423333332,2018835.6500000006,439412.70700000017,3959002.1100000013,330405.75966666656,3213630.199666668,1413241.6313333332,10.105916928609465,614.6840243215331,48.36998158531513,84.66148793198666,50.05614894582406,12.151040135877539,30.70950848963902,57.26589035841165,98.87915493330433,197.2929537496798,207.82565992164876,152.47131268905272,50.043554053901794,50.043554053901794,192.43572048474354,21.101478629026754,31.891343679688404,79.0905324061334,63.15939736368268,33.39924646894861,40.914135500690115,55.45965024335272,15.99991037808543,17.264100566827935,17.635384468153372,22.564488362054355,24.248206135714515,24.715600986696188,9.435332404120974,10.27999499936748,10.555167949230821,2501.706975371026,629.8017222083482,2025.7905782664377,25224.118056475687,21367.091018986273,4892.176660062451,3710.982899172686,3857.0270374894185,267.03969023063576,74.23290911144322
2059-10-01,1021482.5260000008,1812828.0010000004,572723.1846666672,868342.1829999998,565626.3589999998,1987638.9203333338,433365.1686666668,3873733.2433333346,326277.03066666663,3145885.5553333345,1397231.2336666666,9.153180111755272,601.4463765635957,46.687625909021115,81.8264819227172,48.48955291585821,11.093715986538951,29.562020735928577,55.152991861260105,95.96617494884764,191.97738268526155,202.67381891723562,147.2595790847865,48.597181503844496,48.597181503844496,187.428566621883,20.16977730133939,30.71631954972679,76.17647267133825,61.32119302004264,32.99250290797723,40.5009643977702,54.939047964990635,16.038670889274595,17.31377178654554,17.676981719640757,22.612036818581657,24.312020431361468,24.77219930690054,9.46530496893911,10.31552314056452,10.581764137348241,2478.0530834391925,630.5743562264871,1997.3689690808483,24589.080936990806,20772.032673833997,4897.943600213443,3647.7353621171046,3817.0482631568175,243.77092750765593,74.54118734841697
2060-10-01,1005749.7486666675,1797833.687666667,564418.9446666673,858172.8983333332,556804.8929999998,1975903.132333334,427740.43366666685,3876623.6850000015,321287.1786666667,3148024.219333335,1391089.0313333333,9.20994084706565,601.3095761139174,46.46043414239544,81.4304399118133,48.3560442300745,11.058688587902124,29.427272798299366,54.3686512115494,94.94245078561586,190.6456437200496,198.87296052323555,145.08637552699693,48.29459429598798,48.29459429598798,184.84081130556672,20.08908292696329,30.441291803063134,75.49440385077091,60.74320295077033,33.01403103904244,40.4512479677506,54.73498574244002,16.062131621319153,17.32994667199924,17.69779998339575,22.636627682828493,24.327645092436935,24.795162776723746,9.487635562226409,10.332248254386421,10.600437198004379,2487.617813758426,633.4693646367207,1996.8666526185364,24364.532910894395,20546.914589174088,4914.855735399669,3641.9704649046557,3817.618321720316,237.43597173170852,74.65115481643015
2061-10-01,1006053.5476666674,1794322.4960000003,567984.738333334,864519.2286666665,556941.6723333332,1975645.2686666672,426588.78033333353,3907127.266666668,320751.4953333333,3174152.810333335,1390802.1863333331,9.796360982954903,614.2934173487118,47.8532186439805,83.37621268046482,49.0319515169995,11.09333547635824,29.713176924380775,56.039571237047944,96.86964826355589,191.0066352372375,201.82284365102893,147.4444029646757,48.96491275730317,48.96491275730317,186.0451841622122,20.78498822949283,31.076031311189137,77.06855789181091,61.61454584686446,33.027563694697484,40.405446527321,54.64939863628694,16.054077826822,17.322954633595177,17.683840024326063,22.617895496670055,24.31212106052618,24.780603302079978,9.490260158269667,10.333788208959989,10.587076751098325,2499.270403111482,635.6113806298109,2005.308652438524,24599.26586459167,20751.41297713211,4903.854301193421,3635.57198344035,3847.852887459568,229.83676624914378,74.53415654616563
2062-10-01,1035949.9450000008,1841900.204666667,585487.134333334,896809.1826666666,573302.0123333333,2030374.6723333339,438857.35433333355,4011945.850666668,329997.76166666666,3256969.057666668,1426669.9386666664,10.56178472248835,623.7916875843923,49.15597484810658,85.51667027761384,51.10951223600618,12.010003035907927,31.15693585939464,57.835310976087115,99.70233142685474,194.19029079003627,206.6090300831924,150.96286969857118,51.20320778545842,51.20320778545842,189.35442162234423,21.392552001642926,32.35654457109643,80.24423085398656,63.17868755443723,33.616084038812694,41.146686323786255,55.65445837425432,16.06933627375656,17.33636787516884,17.69537929284149,22.612205085667387,24.307659871752595,24.778869057485146,9.526467464704377,10.365075880345586,10.611889536558511,2556.946614980368,646.0122409583597,2040.8586888423351,25290.71411787885,21330.59064138185,4843.634696349997,3669.089035340112,3960.12347649701,172.12014750627074,73.84321122692104
2063-10-01,1022693.2180000008,1824092.1530000002,578060.356333334,884698.8206666666,566487.2283333333,2001479.342666667,434533.29633333354,3902055.590666668,326844.4496666667,3167762.438333335,1412417.4459999995,9.450199248983632,605.0088218368782,43.394452157044306,81.9364896569934,47.66297576268419,11.064068796167685,28.954511496395245,55.27626964685525,95.98501322416321,188.6603368450389,201.73818785515058,146.39077778735302,48.88487516009376,48.88487516009376,184.6932536206954,19.74393493701859,30.396707734230436,75.38383564822924,61.368278676607844,33.15857233164283,40.810172913401445,55.25698118257052,16.073238901289844,17.35568990079796,17.71294462045123,22.60767993756268,24.32747726963599,24.798450332581822,9.538797869369459,10.383902534260647,10.627438917116054,2556.9205859948675,648.8775752247417,2042.8121525999923,24631.097558049132,20704.31888656891,4838.222483541192,3655.8478405203446,3926.7786714802237,182.7989151841351,74.0468014981637
