datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
1951-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-01,1031478.635,1787702.448,586779.785,947840.0959999999,572972.62,1890573.560000001,444427.51900000015,3688016.518,332393.84900000005,2978370.5899999994,1348395.511,28.868712448486313,684.3401652176867,121.19717516025321,170.515465127203,117.17284438295265,43.86722365285944,77.00787553582919,116.65852806998255,191.70202886772677,275.0802808564851,363.77247832443413,245.87512998017792,134.81317297009633,134.81317297009633,258.81799798106965,40.836464207142,74.61782394207152,185.0522034887293,115.9190902728109,31.47895663865999,38.999281551699106,53.95323686987822,14.050045492690137,15.278604891286335,15.765461037161732,20.698151910676266,22.454846704174493,22.89526940276018,7.401939091328812,8.10236308528528,8.635652667327095,3234.4037586387576,759.8080505111901,2439.061988468867,21840.458029110123,17459.215486729707,4229.558932014608,3360.4380293035706,4381.242542380419,1.0820623298706777,73.8871186041991
1961-10-01,1013840.2550000001,1768627.584,575079.544,903890.2779999999,564519.47,1889509.6600000008,435854.9280000002,3699455.932000001,324818.25600000005,2994539.735999999,1344773.56,26.604098488142437,670.7029225433696,111.26230192896237,163.04832624351292,109.06677165099636,40.11518155599085,73.14833060602824,113.47933115398419,185.6682008346359,262.25264399120164,352.1575133745065,226.09910945163,123.68144027442104,123.68144027442104,243.7626722956566,38.51478036538069,70.13538607713039,173.93575772186884,109.04754594495357,31.473707835789305,38.731896250270225,53.262868240302396,14.12639246900016,15.348035755997136,15.8376825533477,20.787351304724957,22.529498924237096,22.9741700375313,7.465433658531813,8.166572591519673,8.701195060666855,3208.2094772195387,760.3655415637493,2407.58100299522,21511.682972415423,17146.547901366877,4234.234963626406,3363.321603378265,4365.13507104855,1.0820623298706777,74.06378665302172
1962-10-01,1110472.832,1944714.041,632108.6209999999,985988.5009999999,620023.9149999998,2082127.3950000007,480235.22500000027,4002432.299000001,363522.738,3231491.1169999996,1469055.5800000005,34.62475027629877,736.8379414948379,137.00454917903227,193.01499188936808,130.34478816361894,44.90294285961818,88.89234403621865,134.31683848969928,214.86579281378027,314.01999426590163,403.18925909859666,274.7436872283952,145.7712813286581,145.7712813286581,286.75658692753933,45.10063609673242,84.1423936638333,208.67313625426544,125.59279020824984,32.892668352277795,41.142447631223845,56.83584058506567,14.039485623433103,15.256563155302748,15.757709950516524,20.653038977212635,22.38294550543747,22.842622083154872,7.425932289114385,8.130180811018722,8.67279780140422,3214.01809744163,759.2648653109496,2433.9442575948815,23458.638927840766,18943.1714268715,4113.7946702285735,3270.29628988302,4515.467500969264,1.0820623298706777,73.17363170354433
1963-10-01,980611.3629999997,1731206.2100000002,553584.3859999999,870738.8100000002,544385.9899999999,1841773.3300000008,424415.44200000016,3638918.4930000016,314681.25800000003,2953209.4299999997,1323501.2690000006,31.431439148680134,701.388037192631,124.4317894576391,175.17320199935355,117.03496295770643,41.30555634706671,79.2155303164141,122.02060091160179,192.53544348981492,277.1237304990675,366.48100460079746,238.9173459615407,129.9015998566342,129.9015998566342,251.85699900297027,42.18038715575467,75.61761579274992,187.53168722470514,111.59562472623807,32.19324773243152,39.14611596997342,53.482226580398034,14.037097884899518,15.249052888730938,15.74137896076176,20.637845550766002,22.360110144590898,22.803482078969086,7.436350232284246,8.137995644231129,8.679275822453732,3225.730814724693,757.1760955057043,2432.692446594459,21093.628113761468,16715.95530854759,4436.887711794985,3490.65845337387,4377.672805213886,20.549459184986425,74.19553772207483
