datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
1999-10-01,982891.2920000004,1732609.8374999992,543410.275,826835.6040000002,553337.248,1901597.0680000011,428596.23499999975,3927727.059499999,317205.1055,3196472.420499998,1329563.9615000007,20.43980233295374,774.1301058014176,95.2961530771386,149.5278863181884,97.64538198781088,28.960019971885185,66.11178262811997,106.64529227928934,166.98544076131725,263.93899852407435,317.10322417599446,213.8750538413955,105.78539603920194,105.78539603920194,237.1152364070511,34.70427903765039,63.43314564895112,157.3142009958752,96.73446480135172,32.90218708140811,39.299532601723605,53.06937232436928,14.220580454332055,15.438193356526288,15.93323251045707,20.7861432477179,22.534030783707905,22.999341741805654,7.655017653350958,8.34235592184518,8.867123277936917,2922.7604596769697,734.7468266030121,2243.237686786023,23016.04483230535,18760.21845079201,4468.0721363651755,3228.583443009037,4255.826381513323,28.053384235430666,73.97180443244865
2000-10-01,968942.5195000004,1688027.4464999991,538844.9034999999,825017.6050000001,543532.7495,1835335.3710000007,420532.3214999997,3803862.405,312245.395,3100055.212499998,1291279.7590000003,20.232637949588206,746.6265505350503,92.34774344964222,143.93467673667243,95.33557372847397,28.80409942409936,64.86484153541979,102.3347319290713,162.84651478252687,258.69128065103666,309.3989253641211,212.41661405963174,104.41713443959591,104.41713443959591,233.95023231597605,33.87009303911568,62.04730056294608,153.87730514969775,94.97909387649617,32.20367970768936,38.3654096945648,51.99440738373556,14.21959415362519,15.441019385735526,15.936203743276304,20.785448731555547,22.55614585344998,23.02176229191688,7.653739570651917,8.325892909882166,8.850645195713621,2911.789305731559,732.9731659803842,2233.118405458183,22274.495630265366,18095.353380014836,4536.019933406462,3248.4401213146657,4179.142250250511,55.94597219457726,74.43536448302173
2001-10-01,996365.5905000003,1746989.6809999992,555946.723,849337.615,559096.188,1875892.738000001,433991.1214999996,3811004.9869999997,324274.2635,3102925.066499998,1330751.7415000005,21.28947634551036,744.9217408011762,97.71502983980635,149.77498499745946,98.67866667017293,32.13483642700773,67.2359895416663,105.34598143283404,170.20230521399367,268.41377514925034,326.680660243236,220.2451760099495,110.98022085484754,110.98022085484754,242.39225562696396,35.009862341189496,64.5570765253021,160.1015498202391,100.19263113361394,31.88744702688312,38.546053941678416,52.847427086747494,14.238774290965475,15.472413221867996,15.96637908704454,20.80809941618005,22.58667598565223,23.048765037114123,7.669449159311512,8.358150444137987,8.883993139590682,2939.005687969195,733.3083121896339,2251.3398361380214,22931.701771293046,18710.559169286946,4532.079166888479,3253.0077943067217,4221.142602006088,55.94597219457726,74.18048595023616
2002-10-01,1051570.0825000003,1842289.9769999993,588460.4574999999,893823.1810000001,592420.3865,1982431.5685000014,458296.6759999996,3994927.5614999994,344990.48400000005,3251644.818499998,1400117.5910000005,24.34279275056459,769.2337713906587,101.68367490819708,157.9673345858242,104.32765992074545,30.862952846976263,71.27670873163677,111.09488137954182,179.95666114344675,281.4235341988619,349.39396926945767,234.10153018776413,117.3443756798948,117.3443756798948,257.11654879360793,36.90288398359396,68.16162685154819,169.0408343622379,106.62268470229637,32.69183237309747,39.73689626105821,54.6049833684012,14.219682509503992,15.461246782595225,15.953883197495156,20.769070646040277,22.56024173773391,23.022495174625597,7.670294365606689,8.362251815346628,8.885271220961888,2964.1612522454957,734.7133720186596,2273.634837704215,24104.740249519014,19853.154828394327,4450.25326163352,3176.099435080833,4251.585421124679,55.94597219457726,73.85700870209725
2003-10-01,1038404.2895000005,1828615.0629999992,580311.6449999999,887092.4084999999,586251.9615,1977419.9670000013,454732.60749999963,3998972.09,341022.04750000004,3260435.498999998,1389245.4575000003,23.75800039930906,760.4930913016358,98.21530474387696,153.5125545420242,102.30142766194093,29.698131812990376,69.79940135962173,108.73160126561285,176.57516108066056,276.94763252494045,341.9204541546995,232.45887047358124,115.71580864510187,115.71580864510187,254.90248180186055,36.20725953880146,66.9332028332606,165.99434284256674,104.7187496265802,32.83001606536372,39.78002983164179,54.40758849328019,14.230744666698788,15.460875880039335,15.951975409335088,20.77032474719486,22.553140642424886,23.01339680896698,7.691164584667045,8.368611105533697,8.890554007125477,2987.4972629193835,733.8845077445486,2287.7003334290716,24139.342383093834,19890.395391154543,4418.2140367214,3140.8974656314936,4248.9469919392795,55.94597219457726,73.90483078762864
2004-10-01,1014528.1075000005,1797244.0489999992,568942.3709999999,871009.7344999999,573140.5705,1971753.396000001,444575.35599999956,4044729.5364999995,332983.373,3296903.261999998,1370630.8570000003,22.802685300350593,763.5395664152824,96.59667043645982,148.50647668781545,98.8214097980533,28.006198943575612,67.28674651230682,104.26480681613202,171.07584739630158,269.4107723630677,331.3711967162554,222.0188403953751,111.1775838583696,111.1775838583696,246.49004875293295,35.840804142446856,64.76171415558909,160.60905076146872,101.02661200309376,32.987020254751606,39.68344676928812,53.783774645079156,14.245701514879244,15.499838207550681,15.990656913791415,20.77575625220225,22.595879000974765,23.06005845275295,7.715646776128759,8.40379740637173,8.9212553775288,2984.201519699955,726.4371862449655,2282.6549600652515,24318.926509402096,20097.063134184635,4471.822547906204,3194.116308688598,4221.863375217443,61.002230952785496,73.93529952146534
2005-10-01,1002802.0560000006,1788266.4649999992,564140.1564999999,863353.3279999997,566961.577,1967188.320000001,440564.2384999996,4059925.8569999994,330046.9770000001,3306875.701499998,1365753.7960000006,22.085820938960122,763.9321952714939,94.50808006612482,146.58975887293883,96.35552895453802,26.89110990736567,65.79326982256315,103.51580412116782,168.41862276962982,267.50523111509216,327.5892228471406,218.51074594153488,108.76653732546526,108.76653732546526,245.38809778571908,35.305945359375556,63.52010302130575,157.5298550700879,99.4329131737206,33.07922379928199,39.754374813047505,53.78533953863342,14.32223507521978,15.569973137246857,16.060282255117208,20.87300557008792,22.67487215500409,23.138206398875525,7.771464585677906,8.465074119757142,8.98235811638459,2975.495365380123,717.9188573249286,2257.9858108224153,24398.386008392958,20189.866161911275,4504.016524104686,3209.654513587433,4208.519846481659,61.002230952785496,73.81777371977213
2006-10-01,1038018.2945000005,1873603.3214999991,583651.4365,893754.7404999997,589177.53,2064376.8805000011,460049.1549999996,4215179.171499999,346153.64400000003,3430500.9464999987,1431004.0850000004,20.9379634176807,778.5084926549004,91.11338962862013,147.01047260384235,96.16532891196651,26.3262427464695,65.05948211637093,103.07742056085651,168.55713917183763,276.12605336890726,329.8179331384446,225.54136522941764,109.11393321619903,109.11393321619903,253.20895559225147,34.42238253078255,63.062007982366325,156.39377927790594,100.86797394942622,34.09167728009067,41.14555633976458,55.74116043323719,14.360844665337842,15.5828827263903,16.071115818154322,20.88411652913279,22.648702292126256,23.11634612798342,7.8375728037404215,8.517063160889204,9.025885514466724,2992.4075340467016,722.8564065029802,2275.455835326665,25549.971446766413,21272.186462436242,4481.552976367127,3293.5172471225706,4277.784984330149,61.002230952785496,73.26437537098639
2007-10-01,1044636.3325000005,1877351.2354999993,586091.1185,896362.6689999998,591430.4095,2061258.1605000007,461062.2789999995,4172202.0649999985,348404.496,3393196.903999999,1433974.9620000005,20.809408776607995,764.2769806705583,89.01237314859637,147.3218700880641,96.36931113841123,25.79767990661913,65.02844523697996,104.58082359688417,169.80380304879847,278.20565428692345,330.3034824127432,229.386080910247,109.65558487501869,109.65558487501869,256.3580744107,33.86405781403747,63.11198095924588,156.51771243145657,101.28308255412338,33.701564661258786,40.98326847854113,55.68374900983757,14.432697124404232,15.659058271856233,16.145428661492407,20.973153413922702,22.74122824925204,23.199201322920754,7.892240837381264,8.576888296724096,9.091656004480317,2970.956433462499,724.4970110198441,2274.868106413626,25570.069974104426,21297.663249704172,4485.479708418464,3321.5002096757257,4272.406724400234,91.90770754943762,73.13661726284187
2008-10-01,1063756.5195000006,1906108.8554999991,596115.9475,910830.9649999999,601127.2189999999,2099047.418500001,467771.1509999995,4220292.612999998,353334.25800000003,3431796.2294999994,1456981.6745000004,21.448716981736784,756.7475944031197,92.57534984361791,151.01314153188835,101.65926858023764,30.649877215094154,68.80824933434499,108.62543325014803,176.49808776641055,280.3190801843649,340.6682977550062,232.23932331905172,114.90127099402916,114.90127099402916,259.47766753769633,34.82852981663864,66.67096199089887,165.34398577779578,105.01235000346969,33.883229229957465,41.36483742900549,56.11407014384143,14.467964930896262,15.703701421811866,16.190089618939876,21.03341505244036,22.810574822376232,23.258036937464826,7.9025148098954645,8.596828023257796,9.122142305959489,2965.53573899841,723.4825266176671,2274.3737937397664,25735.053086239168,21416.803435769492,4423.075758696098,3272.2603813375945,4318.249650469661,91.90770754943762,73.09613319129156
