datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
2005-10-01,381644.26336488704,562772.452622422,228216.10959858188,396439.9206523425,205230.84290572582,647861.5536984678,150974.71728192514,1293634.516665166,125682.93793827982,1033030.0090773464,402271.89852557145,16.04712156742679,192.32812104377913,66.18215099213366,71.7660990172264,50.975358646971976,44.492013340913054,42.21485575434562,49.54047009894817,81.0655697939677,94.43823705675514,126.71389688039604,79.50902482310894,68.72944578049044,68.72944578049044,81.97625674369542,16.802802230935683,36.484927352769226,90.48261946649536,45.56759871696191,6.393877618593552,7.549087632330831,10.549770676805354,0.8571565871383854,0.7393014036361026,0.7436102366388218,1.0547080832172526,0.9007552522261968,0.9081162792727501,0.6911795661683632,0.6140295550512618,0.6137280985847174,593.5857570477971,72.16267866607284,358.229429137885,8417.339615557521,7792.959392916623,621.285748248259,752.78949463797,954.3898529796994,416.3329916566532,4.518887829986651
2006-10-01,365149.4198152953,525233.4167356254,217991.80693924264,384531.3067182789,195243.9754676165,598895.8610016925,142444.70973085042,1209263.5668894625,119187.48061887501,969843.4572108861,375361.51765451266,15.646436297509078,183.0958323057897,65.02227491466934,70.1933454973257,50.971149012125046,44.481274115798385,42.20614188539134,48.77794270968087,80.59025495359043,92.31124284305399,125.26095895444837,78.06878659006537,68.69463679058225,68.69463679058225,78.9512987692805,16.58204829872117,36.42388342960719,90.33123051570645,45.10152140211006,6.2613414983845,7.202939426174213,10.045257673177383,0.8580607358873343,0.7474127755969564,0.749970945153593,1.0539882334246893,0.9075555613937873,0.9140029265856825,0.6942596503747882,0.6205911718137845,0.6177344292511595,593.4338339712887,72.05527150009263,355.1798506180565,7780.525534029524,7200.1746881436875,620.8856122068975,750.3568074136778,934.1751286886409,416.3329916566532,4.3771849485553505
2007-10-01,365857.290023064,525669.8217078279,218728.7484748759,387120.83538822015,194982.10438488662,603128.5236042025,141987.48046033052,1213817.5048802083,118790.9629226319,975018.2296892564,377886.8715886149,15.82422079197756,179.71918884368637,65.79991062725723,69.49017581169436,50.394175123580794,44.50695588586553,42.07870078378849,48.46773485393947,79.50093924478202,89.17094097660834,124.0470336830368,75.30355126411045,67.22570061479175,67.22570061479175,75.18116224447267,16.37490186660035,36.00905587369701,89.30245827096522,44.614608570947325,6.20912018850742,7.222008858953567,10.061173883467776,0.8643506758841193,0.7527705361173701,0.7548284926739547,1.059910471781584,0.9125178055218802,0.9193273476623293,0.6999631719961756,0.6261408631229862,0.6219371868304302,591.4953476427658,72.32816561716282,354.4340759449837,7785.215924397153,7206.819821212682,625.8375358100674,744.8967769565015,928.711473575171,416.3329916566532,4.312523977494361
2008-10-01,365471.0170795041,530573.2809922238,217834.87332400604,383269.5121387075,195619.25537206576,612849.7145606964,143084.27598654322,1225558.4533856097,119774.87305594663,984720.0327956348,381717.9912435086,15.764909374800933,181.98873127706625,61.91274350760754,68.22975615790811,50.986077735926656,44.05020045392735,42.05274467960341,47.38690899537979,75.80788896636822,89.6282158011127,117.74099494227521,77.29591348428512,66.88204419496755,66.88204419496755,76.93650512606747,16.249964871377497,35.834607781725374,88.86982682964144,43.42231944224257,6.21137677560249,7.2561356437563935,10.120208047753621,0.8548978196970128,0.7294670119677596,0.7266875464276382,1.0243589954432386,0.870607702315489,0.8789804870679875,0.7197694362987948,0.6241849160397976,0.6099919998644231,578.2359866105309,71.19976259699044,348.3911969120648,7900.606693155403,7325.397573448814,582.8349435425918,739.1174697889293,902.1712629509154,418.651733478701,4.324855793405902
2009-10-01,407204.9168235421,569546.6637705284,244969.94737289916,423490.73010888597,219216.652794486,647543.9466052211,157432.31800193002,1262273.8034507362,131506.69528180957,1011422.4366851954,397378.0136646586,11.452179022336393,177.90434810575522,48.05272347093658,50.91894338549202,37.32532441093706,34.628473471482046,30.555270703313536,35.01631570426758,50.190851537896854,75.23206332177318,85.94245497629785,70.58169860238593,45.00720503639363,45.00720503639363,73.22810696490076,12.210720056652843,25.272861752733792,62.67669756672737,28.879662558423348,6.480941648016079,7.881430366343999,11.156368417661307,0.660234524904274,0.5842740623105436,0.5551734568655559,0.7771286035109871,0.6895971948896255,0.6850929926317083,0.5864522267373531,0.5242721150357071,0.47337414452200705,558.3445217557963,69.3551456358969,333.08790638072094,8612.479749267788,7967.444155490977,553.2233665108881,738.4417977173099,927.8972620460917,418.651733478701,4.602740268262395
2010-10-01,402459.6571056156,566612.3371776965,243597.74399411134,422066.7607089231,216590.88362888485,642505.2510100104,156501.32031151166,1257492.1525586166,130868.32067961725,1004899.7510239962,395148.5437309737,16.151853433267473,182.71577535982573,58.647092348628576,65.44456700330939,47.232525830063665,41.034653790735895,38.32932280546456,44.99272131213838,62.15268792829363,83.44794593183384,104.80528065532489,76.87690617958161,52.471040459500294,52.471040459500294,77.94878432066136,16.067167260970894,32.133312118484895,79.69061539564902,35.30374656000857,6.213276531899686,7.620590531947466,10.87502394760998,0.6136174327103587,0.5518747469123149,0.5251124414707444,0.7381601506116436,0.674896196224148,0.6689277910681867,0.53408522841939,0.4665936993631896,0.4233640167627803,573.0937656472205,69.62453628462363,336.90080243452024,8545.963685696113,7855.520515074607,603.8299584944646,739.9915159941477,962.6321793012524,418.651733478701,4.606113375063518
2011-10-01,382142.3624854717,526861.8693674108,234040.57703855934,406342.17797217885,204598.73767923744,611945.0659663184,146482.63882066446,1234296.38490684,123490.33841095708,989250.4029185988,369937.4070326845,17.933182445899373,181.48833014350583,64.39143316441076,67.52667835089724,50.53643177625775,50.87732582897246,40.085787229794846,46.61624760559685,66.37413351856796,81.35043637613238,106.75612586855951,76.13541518801223,58.12557140533706,58.12557140533706,76.26565007048247,18.56864834525987,35.45711634962847,87.93364964888279,37.61766794039488,6.219211649555714,7.251810535214796,10.058145199422423,0.5621628486625183,0.5258747501512243,0.5058520663947519,0.6751096479626536,0.6517560374299433,0.6547731641641528,0.49783755033169275,0.4400977442583194,0.4003370438198763,586.5119395678608,69.26861975043906,349.8577942704654,8199.079358153433,7565.313639905873,570.1563322608308,731.5094232042322,924.8893395601528,418.89076324423235,4.0834552054894875
2012-10-01,393185.69620748307,550900.8896628823,238269.73521895884,413272.19390482444,210712.0007684007,627645.6625889419,152283.96773032035,1230544.265184574,128584.80880370039,986001.2865123636,384391.9580625715,18.002163712684386,179.17643462631844,64.03557511697026,67.76381994945315,50.640540783007886,50.90856541673104,40.15650849475582,46.992908628401565,66.96585189573325,83.18427384662762,109.19177333378471,77.63135907169148,58.52894541415213,58.52894541415213,78.24085824861747,18.504619312491155,35.59314324246881,88.2709963458421,38.2576706103744,6.225464987403811,7.3548033320964095,10.308591191715532,0.5730378615274294,0.5257224587174409,0.5046472268208643,0.6878991144703374,0.6512405542861067,0.6525867879394726,0.5056650425700502,0.44063168038383693,0.40012968726238696,591.6687768805298,64.00933329730377,350.1546551151973,8374.693131698356,7708.575043949973,572.246475508259,730.2261600595155,919.7287445410875,418.89076324423235,4.162765642234588
2013-10-01,384711.39992104145,542569.8493228264,233980.35347852143,404383.2878815112,206626.64810973522,620384.3299939586,149339.19230490984,1215952.9574406098,126886.12869565799,975449.7725742921,379083.42615966685,18.146396725748122,177.6830048241597,64.53661623210296,68.76515558719392,51.60732180514314,51.08389182375478,40.76748442372857,48.20799967016403,68.21328314856355,84.33554961916424,112.48106703699885,78.91520787099851,59.386282724253164,59.386282724253164,79.42117692524582,18.684289226392597,36.14624357636046,89.64268518265172,39.017699658539385,6.133199670283616,7.250182955451957,10.062774994750457,0.576877404910466,0.5275440586428444,0.51014827503924,0.6991667818075863,0.6595394446441691,0.6635272281538462,0.4996665226909525,0.4361581525530198,0.39944073426016163,600.184966147996,67.36510856748411,356.000848373415,8272.03348580205,7629.325214212265,584.6599530303132,696.7017970277698,897.6807139826639,417.2741528932545,4.130478836345239
2014-10-01,382228.26102292055,561241.3098219838,226640.05038821584,380002.7784760048,208492.313366441,640142.896475363,153286.3889624099,1251042.3262264905,130009.05357712702,1004071.3995747293,391894.18700921134,18.153666562060547,184.89453729443082,64.31377415500886,68.39343502292142,51.356613572375416,51.00500515250362,40.66625254580578,48.303652360059466,68.1127800524829,84.71666280748212,113.44200126157487,79.51291297249223,58.576955734673135,58.576955734673135,80.10344368461591,18.73070099836094,36.04018571310225,89.37966173092822,39.13838794462645,6.333529763605425,7.501314584004374,10.35834146862067,0.5767335549306744,0.5176576983571368,0.49052681852887264,0.6975857378131048,0.6391559504797043,0.6311767953968304,0.49935991744900565,0.43476585786586536,0.39698199973389625,619.2404402589893,75.76937909312566,374.0840732669461,8555.651926406257,7853.626980364175,663.8193420725204,669.5935294840625,953.2697233116243,457.4920380909998,4.529441802149191
