datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
1982-10-01,571178.7288132474,871871.2657333184,356161.61073570215,588800.777584221,303736.35936185176,986000.2068942325,232636.43926376064,2009096.2585225024,194851.900416016,1625450.1755267305,617956.4734338247,18.90235048467776,322.09576105126916,73.33686546957534,96.99824164201775,66.07417034924966,26.8788788936345,44.15766727492563,71.11568176373984,97.98221101270695,156.72752046599354,201.8143238269232,124.66100843068118,85.6870560244605,85.6870560244605,129.80619108013136,23.958146214520983,40.03062582959769,99.27595308290515,64.34500276486831,8.267625085948215,10.476675066835984,15.495761344441878,0.6211076195151749,0.6062791451594016,0.61041290662558,0.8244494438618712,0.8623720423991782,0.8052703749462329,0.5153007670378533,0.4795518600748598,0.49886450702509216,408.3761388938787,37.003354328924196,342.59608359200246,11420.863086622316,10699.495353320799,831.7447665539132,650.881512393255,849.6964290291212,128.76842985212207,4.762240081019104
1983-10-01,560169.2125364899,865047.9596023692,351163.9689881427,586921.5478616116,298047.2159758383,985414.533837093,229029.64679173453,2002916.7118857775,190770.15157411082,1621939.1321247972,615974.7299217944,18.64497818003848,327.7156525634433,72.43057590980354,89.5066407067921,58.777138960046514,26.72462442881174,39.80698634939176,66.58692504309764,92.07435126689444,155.63536407246136,192.55317590803602,122.64380552590698,81.45567509130443,81.45567509130443,127.23388967320223,23.533991708163153,36.57062699719745,90.69515615662179,62.26160397454566,8.279992950181642,10.572124588210576,15.541964985712058,0.6133201353890554,0.5846662635463769,0.5933001191127255,0.7945003822162352,0.8197245136019619,0.779076888115648,0.5255571839557834,0.47888229759367706,0.4939663269282995,411.6632376562549,37.49283071941636,335.7726256713259,11491.235897126235,10772.197262528742,830.0521035121297,636.451044276961,821.7479465191118,128.76842985212207,4.790835074506223
1984-10-01,559555.2141462507,864740.9710572186,350097.2774300948,583713.6751942011,298081.653810214,987560.641594206,228925.21299744063,2016554.1090018677,190682.2520482217,1634186.737367365,616812.6732428757,21.924631670821594,328.3048289229757,78.1206255943614,94.83422451172929,60.567323537169756,32.534850898954765,43.25175844669555,68.65470168614728,95.26659675202316,160.80363469694444,197.9419910950186,132.45901171696886,83.03246702820003,83.03246702820003,133.11620391840296,25.956772349480694,39.826148190462,98.7688489089105,64.85176948448967,8.394507196238223,10.60942661036045,15.520573949440559,0.6044118161348009,0.5845707449764034,0.5876843723957832,0.7921014522687395,0.8197995986688158,0.775333719728659,0.505837282413039,0.47575672639073513,0.4891178832299473,414.48555287543667,37.44258413295886,335.4968546496508,11541.026314856883,10821.331560411507,882.2857878995844,653.0417149756391,814.1348170152697,128.76842985212207,4.783741924212294
1985-10-01,514884.46167474496,822891.1999957104,294167.8485047961,492430.32350614853,284622.66452356207,979648.6084489377,215119.57639398988,1910819.3256562531,177145.5897984202,1554346.3434987857,593551.983597548,20.69675232703085,286.09836682891284,64.96904409454243,69.61905678358092,46.883286952071494,32.644977597089714,37.251097584760664,60.12333355218323,79.6571110028241,147.5859513813193,160.3885406185189,132.77381790410251,56.81156824779679,56.81156824779679,137.6629214983739,22.62613319582076,34.70786963601136,86.0755169781234,50.16338599563185,8.294250675856699,10.97425257162461,15.268017013799989,0.5294158633250525,0.5091288457265115,0.5320336518002713,0.6212381458817554,0.6545408394696347,0.6709375214225417,0.5077748211071774,0.47516710151119995,0.4807338946121229,421.3315472171657,37.55743546709277,343.83603868115716,12972.744070589852,12294.202252140087,822.4131723910878,623.4181102951837,808.6470071250756,128.76842985212207,4.84620861419723
1986-10-01,515499.10779304366,817870.406471322,294340.4754998442,491984.5386328933,285012.89044355485,964562.997567213,214718.33562738224,1870963.7416378406,177177.51557894272,1520163.3746110061,585962.5919893042,20.712315358511255,286.01779226222567,64.80762234509295,67.91594630493339,46.54776323385866,32.34315947808262,37.26465135931087,59.51766581568737,78.42098608667202,145.91903031808172,158.16572205490957,132.23863923798694,56.34147930514118,56.34147930514118,137.02002356786863,22.41330838697371,34.53200620985459,85.63937587531825,49.4277374870363,8.138026213331173,10.86725341826144,15.244784428357944,0.5701290561036676,0.531163251771698,0.5457588787300546,0.6691916864792703,0.6616884452373067,0.6731050385185563,0.5282416584124918,0.4844193952397952,0.490333989270259,420.09014221247327,37.67346345917839,335.2650937765417,12862.596498108393,12190.8934895748,815.6191990007088,621.7876441767783,817.4987642150721,119.89589170418567,4.844727832214191
1987-10-01,520218.0964083336,829549.3888024895,296264.55286322266,492843.87096580083,288015.458672658,978197.5282686572,217860.56456360326,1907202.3329690674,180245.6379045637,1550805.6699125492,593346.9222405419,21.240335190895955,294.8204187249932,64.83796479057138,71.87307276896419,48.18876216819603,29.001672626147776,38.42389548558704,62.30946229187239,82.46580142420885,150.9077976117286,164.97672963070684,139.0446493431707,59.23363728101994,59.23363728101994,142.68628554882213,23.32178378833689,35.679684816061716,88.48561879071617,51.917422997613386,8.189809745543652,10.901531519772517,15.349887459362469,0.5642939024361142,0.5193768905578396,0.5306949897388148,0.6576754709611107,0.6533088521179365,0.660646902405485,0.5309260708614588,0.4723925232259868,0.47948876248673883,435.78026068752683,37.35621496162527,346.55303380696563,13242.831094193254,12559.555540164898,814.2905444002762,624.4377850238855,827.6827621199608,119.89589170418567,5.089665037869263
1988-10-01,524316.3006021724,844536.2667164152,297968.5597648636,492815.15636371356,291087.10192594124,1001228.179171539,220373.78067030085,1968889.8485691042,182416.85021847204,1603297.1443375568,606614.1125081729,21.455532539087134,310.321991159051,65.08310062836432,71.86361708557162,48.18566497120811,29.069397930516143,38.49569930039535,62.282893779363484,82.60179829139967,152.2631386978749,166.33516655925828,139.32446564988987,59.25760552193688,59.25760552193688,143.58572725198027,23.661195496317923,35.68322565277033,88.49440006063243,52.07895322067531,8.523553753978286,11.15774341302612,15.655436463452435,0.5440268427730435,0.5084663148551735,0.5209168816114326,0.6434285556235249,0.6490692335543,0.6561363991965983,0.5093187766877278,0.4580377632881687,0.46774135170718306,481.7664575914428,36.78264583911813,367.07568834228846,13597.171144216365,12876.320981342857,818.7317714864585,644.6631380712918,849.1914895442317,119.89589170418567,5.295382093219439
1989-10-01,523110.5311484357,848460.9008992019,296871.1834206739,491775.8391484421,290454.2978512252,1015923.5538790929,220127.04024227732,2004568.9233250539,181849.54191988442,1629672.255016988,612654.6831907055,21.58769936043305,317.7449347419766,66.38972410563163,71.92300422934268,46.39527375469738,28.500500103766875,35.75459484466262,60.438642052919434,79.23152130536955,151.14241946440572,164.69852275207478,135.67174501639076,55.81513812766461,55.81513812766461,141.45042965171845,24.14012767942322,33.88080816616584,84.02440470928693,50.199213241309245,8.661672894644086,11.356669069096663,15.77931018686961,0.5672382539090824,0.5202443932858591,0.5272941918642662,0.6728309871325464,0.663583616932586,0.6684069815869084,0.5135117298481193,0.4438986097149581,0.456060384481833,578.9881776692522,36.58388686870851,407.20339997204934,13874.182572241813,13119.785905604027,751.4180658029784,617.8912467413346,876.9172567778853,119.89589170418567,5.438631507305942
1990-10-01,534818.6765911692,876128.1566124243,303447.32652027067,501625.1311375747,299330.06423901056,1050159.7529981155,226926.00867833325,2075197.415585545,187615.7585982131,1684998.6273907674,639009.5554189968,21.593539758925747,330.5112342805253,68.75745352823165,74.94689610136918,47.74515028248708,28.86051755321171,36.94089729397266,61.81187531849313,81.39540767631726,155.19976518958396,170.01390195005015,140.54107332514468,57.27986981799884,57.27986981799884,145.88827022856427,24.719988494166152,34.765574507839865,86.21862511293735,52.022092853922445,8.896419824952233,11.602024396152114,16.041650640372644,0.6142031583023806,0.5897582356438279,0.5898152612536012,0.7929752827189498,0.7900786467624972,0.7601839615679895,0.5000585148725496,0.4529219009985615,0.4767351639626097,645.0430167045621,45.36425576852388,446.1690352578774,14292.700727472653,13446.325669190444,823.5401021514418,616.8760460668245,1001.4436789258609,164.59733716553313,6.009421421285338
1991-10-01,572643.796666744,943490.7718906609,326204.385210393,532530.7996275676,320227.7605122875,1129464.8975313888,244619.96785468704,2203025.361177146,202696.0355739948,1785346.9135435794,687760.1784655354,22.881879198297476,336.2542566923875,79.15151431263097,85.64984178358964,62.746461878126745,44.702977119528306,49.2888095434687,71.9297684445941,102.09022554380624,167.79407570592343,192.771397320418,153.1463003164996,77.61058896335325,77.61058896335325,157.5992044178285,27.616534764235617,45.994054239613696,114.06525564135798,63.61113194434922,9.336406662267352,12.358502350728246,17.093059121446508,0.642661125395373,0.6271906850129879,0.633198195647057,0.8401660790739689,0.8328582383855764,0.8104221446171691,0.5046531100005192,0.48141655074378525,0.5092981755959708,641.4864857997558,46.085697441685625,444.4145755404052,14329.499953909593,13464.507596459764,888.5346943220292,654.3863598945366,1015.7067599144815,164.59733716553313,6.038821792555463
