datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
1951-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-01,919106.0859999999,1739183.8139999998,526605.19,812397.9299999999,511205.81899999996,1945833.0319999997,406314.02999999997,4063479.4640000006,303591.5340000001,3317920.310000001,1368907.995,29.1378975021887,985.9827538578404,139.64653477390786,191.74646453981342,131.1099506466316,57.63261213693729,81.90934593416183,127.03908190599877,199.25475553905667,288.80968831226454,375.9092110061179,226.63143665261214,142.73760405290037,142.73760405290037,247.88455502148017,47.48990769195935,81.37897375960607,201.81985381348417,119.5846987434494,33.47221380642478,39.42844058791904,52.53698500341172,13.743585817923053,14.991170002783955,15.508026226121762,20.126140306558057,21.948746683253297,22.442667134186316,7.361031325593201,8.033593311523266,8.573385327180215,3282.900106224885,745.6432985669985,2545.375739504959,23176.47905483364,18622.923339242152,4106.0647618303365,3138.0760968310633,4553.555715591475,35.16362879998724,73.83430743987188
1961-10-01,952071.1259999998,1746673.759,548993.394,874580.1270000001,526016.758,1999195.3609999996,411824.055,4165190.263000001,308651.28800000006,3410763.1240000003,1383797.49,27.142068190463608,1000.098248226398,130.30259263642938,184.6437027475543,126.58556699639853,43.48632615912178,83.52326144266178,124.53167519733984,188.37580633413125,285.1816857610613,349.80437722590744,230.48677985894983,129.98463232804897,129.98463232804897,250.30701671007455,46.28009722880743,78.22457118552225,193.99693625876483,111.00826518720594,34.34509815269611,40.37153916896311,53.19117595430409,13.79726069811009,15.05096209155966,15.548343792100733,20.20136205567882,22.01038116689713,22.486543793287968,7.393159336838723,8.09154300838148,8.610143789463311,3251.747590934278,747.7778436235259,2515.1414659626707,23891.06067826744,19291.856431009954,4149.836788669962,3204.8004414678767,4599.204247257475,35.16362879998724,73.58859011474411
1962-10-01,969413.2759999996,1781217.0440000005,550204.7300000001,870011.207,541945.1760000001,2002277.2079999999,424075.65099999995,4201654.464000001,315366.65200000006,3446349.4909999995,1393337.2460000005,24.685764060301327,1006.9289741282761,129.98396221647616,184.94667786757617,120.17555835819947,47.01262197337466,77.03545035566745,121.68458555033415,188.33508774434281,287.7741411855399,368.55255278684564,229.7551788725736,136.27473641885717,136.27473641885717,252.98709085854657,45.08956423222641,74.54988976820891,184.88372812735028,115.89461918011912,34.49957858367476,40.37363630929356,53.86220721735619,13.765785357343233,15.026337436165955,15.53122324761488,20.15982781177916,21.974389389372575,22.47169174736654,7.371742901045884,8.078285472834462,8.59075474686416,3248.2195423527482,747.4983572837282,2505.7962630704596,24051.888104510297,19437.04043951727,4090.7666847122214,3146.309421365074,4614.847664993014,35.16362879998724,73.44114452642111
1963-10-01,960005.5789999997,1708799.7680000004,544856.6240000001,852498.882,535813.435,1901109.9579999999,413804.30799999996,3938520.110000001,308287.44700000004,3231238.243,1330487.9510000004,21.77884891441813,949.7755172765586,124.73209467615534,175.39149701329637,117.58474175292902,49.93057682669919,77.32196475533227,117.91091574089835,185.009431474209,270.8209336057202,356.64376274432897,226.11621506324076,138.9536668509191,138.9536668509191,244.36523885364926,42.57905167244101,73.7195307773104,182.82443751501089,114.76949705344525,32.99542239887298,38.96437417382568,52.159074104513294,13.836961236651025,15.094375474099582,15.582840062959272,20.348333701146107,22.13366783532351,22.608436635589964,7.32558878223154,8.055083107782902,8.557243496813845,3175.2896313846286,748.0431457511538,2455.9096286510676,22790.55239640294,18325.12475265131,4248.165639028604,3202.8765897272324,4465.427643751622,102.11088275022412,74.32372723761775
