datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
2032-10-01,594890.4519716379,927056.3982339036,351706.40619018365,601578.6350963967,325780.27652075596,970399.5199601135,244825.61077486534,1581484.4243292476,201402.0755372635,1254259.9854195628,625652.0972205851,14.63889379638479,212.84882228021024,46.95138717930927,56.42429683447128,38.28684628336136,25.771059218558214,26.043427486675775,47.21410660053666,72.92002075106248,99.05842854268174,144.83004942637558,90.4051543719882,42.36961607190596,42.36961607190596,95.69199788641265,14.984233128262241,26.625160807329443,66.03039946320465,37.37475599100792,7.808004485573583,11.830749720487546,18.037783992998015,0.5183676387502989,0.5752838119989658,0.5437887438768969,0.7456361265225508,0.8682234414680551,0.8355705565245942,0.4434986579144809,0.4326080551355033,0.43084414776013896,581.3105420355183,74.34782489245394,445.48889474510577,12975.582479850535,12063.396838927041,746.3941747190762,718.1586612160313,1116.5402839664036,218.1644902557951,5.984850106300959
2033-10-01,593332.9845991936,926336.4337145544,350363.6444350743,598823.943543134,325136.7632759072,970219.5460228623,244608.70408024633,1577822.4937686129,201214.34344320316,1251417.403037678,624934.8924845638,14.55920359784848,212.37567443544987,46.19561369672994,55.39961583595975,37.76354508642231,25.69477061234121,25.542345409546265,46.798928299816346,72.13018161905102,98.6074117293696,142.68561315552654,90.06265538192253,41.800141565503615,41.800141565503615,95.51230179850448,14.779672561459952,26.221254929087344,65.0287129022594,36.9835830181932,7.753277891431226,11.802594661128728,18.005957671140273,0.5228613223903247,0.577192173707887,0.5388571971596237,0.7584138687496588,0.8675074100447564,0.8201601132726667,0.4428535886090088,0.4336473486368912,0.4323711570089436,582.5324653571622,74.5479805026777,440.9633819063623,13011.874345961,12114.16770448471,745.1330027674579,680.0367953701793,1102.7751477800623,218.1644902557951,5.975428180169009
2034-10-01,604066.8644433882,944652.0809375335,353218.04923517443,595717.8890405041,332386.83965793654,971470.9569830317,250670.39271682766,1531803.2858033406,205724.3858794029,1212651.7393667765,632563.8559688622,14.394060671503254,201.85360714092872,45.33006422588551,54.18931587653554,36.994763465994836,25.698264966664514,25.066654809652235,46.010999859304384,71.08154531665488,97.66173665039402,141.9510523064012,90.05767053989466,41.82868834528795,41.82868834528795,95.5972168269053,14.323328454939405,25.76649680833626,63.90091277528514,36.88813067827513,7.524409320467824,11.85403401272967,18.361896959147927,0.5260531997295069,0.5806803805973928,0.5383970881877751,0.7613555428453785,0.8684389772355472,0.8121398987470833,0.44553910796560714,0.4383203997588361,0.43717778998994355,485.65653541704745,74.17086260882306,421.38453523298904,12912.998673966707,12059.412713366086,742.9176427079524,660.4782937462824,1058.9855400603126,217.51466467330624,5.859215355424765
2035-10-01,600619.4219278274,940477.2601925423,351923.1674094985,596240.0580831541,330553.9073272822,966298.7416158142,249575.96868645662,1520904.2495211898,204392.48494203354,1203880.928951437,629656.5928361358,14.36253308390857,200.5901747806928,46.2481973002672,53.77450371711372,37.066524349478186,25.54338318696135,25.104984040214887,45.985477602000415,70.74593780343739,98.39137136781497,141.41930347035915,90.9697075840097,42.02592074160063,42.02592074160063,95.84234215090413,14.418337622658818,25.778493062858807,63.9306634289186,36.56400145982906,7.527969431360845,11.841513761857271,18.340790352057258,0.5161431121952641,0.5711896763020281,0.5329609502453316,0.75886465597465,0.8689289791166159,0.8236870119023842,0.4295481088653509,0.4158942267837119,0.41422597265867744,445.39133067467463,73.58919475651571,416.7113549433428,12774.321010703185,11954.250775324525,739.9250991215735,636.7553814734888,1020.0592289408772,218.16477672921883,5.787377652664653
2036-10-01,610517.6920339885,962566.0285728533,358124.84784735,607240.0518919149,335727.7864731967,1004469.756214259,253457.48945955312,1604357.1773466626,207415.01778629795,1272400.446701224,655019.0157913367,14.119847686762082,213.38072437758012,46.52239262109916,55.45143394503331,37.6796194501598,25.58193663958855,25.566776866733036,46.815851193971014,72.39416991599623,100.67393800264144,145.19311446935336,92.52462988435238,42.9087215518462,42.9087215518462,97.5588262025761,14.508796623156973,26.25277003972934,65.10687029158574,37.604084563810275,7.84007880502889,12.170293135454443,18.507749340914422,0.5045517146660555,0.5635859287113236,0.5263263213308654,0.7674366138379615,0.877402355430192,0.8306932009950112,0.3954159932033303,0.3794727356169135,0.3788411514720162,479.84660123022724,73.69950997198936,448.29852082007596,13047.614165989717,12163.937877355213,817.6524228941622,625.7946671036063,1083.1167522058004,292.5292653299851,6.099934141329464
2037-10-01,610475.5989499498,964768.3623459655,357737.322801365,605862.5195161982,335845.92298706755,1004609.3815580053,253711.6945142522,1586351.489938566,207678.71869761538,1259631.2686486093,655614.4954002867,14.22990519011507,210.57624312348972,47.402132604812955,56.285301788593,38.110992494383154,25.44861618987413,25.918008039993765,47.11428557100102,73.01479207357724,102.82375287561536,146.12644483346062,94.24894970190445,43.041647749373546,43.041647749373546,99.22135633095682,14.730881384040053,26.478875744702982,65.66761244402409,37.993507759343,7.620995094290135,11.998302945032613,18.4463795278292,0.5524752519543771,0.5922579621369094,0.5522336083474829,0.7864729870020031,0.8729981729036541,0.8232673217072136,0.4591657030380991,0.4426560418165699,0.43866349508823255,502.50477203187467,73.62609765455008,454.11885397075207,13057.00731746512,12175.035774853768,818.6763998277205,608.0591064104359,1079.2139591175749,292.5292653299851,6.068757098800568
2038-10-01,610978.292759649,972793.7355245125,357133.63901269436,603914.9517409811,337031.69891313405,1020426.9187657323,255403.2383654084,1620712.5578486563,209244.5570991222,1285873.0468762065,663382.8036608521,11.703687646448385,210.61832352512494,38.874908494670635,53.35377080889002,36.18928792214176,25.017918540479442,24.597911129253006,46.51383464879048,72.21792414956207,101.0566731675497,138.79811309724127,93.07447023342314,43.29837731690708,43.29837731690708,98.29669958862117,12.375682374839284,25.550748115313738,63.365855653815984,37.13691682674602,7.663066916065539,12.103671875411761,18.542176903628302,0.5463251163990742,0.5868289010514403,0.5518444441276973,0.7883933729159232,0.8724140540474553,0.8258275211433396,0.4399103797840796,0.43088222545402627,0.4341033088882697,541.5240288208457,74.09885956643788,459.5369034905865,13245.102899506332,12340.324871807128,833.5775392854595,608.720033883621,1098.502600170127,291.85085033361383,6.410007071534037
2039-10-01,611769.7136512494,974785.3181768054,357205.1969322943,603057.4360077997,337572.93397757475,1020121.8974472006,255941.6134812549,1616628.9984175714,209518.33664600394,1282600.203369396,663941.3658116676,11.82709943022897,211.3430600346943,38.607410752343846,52.96761206454084,34.8592428264403,18.62025182362757,22.3705281914614,44.552774164994936,68.7833878431981,101.89058643503823,136.181275977075,91.9704450941815,36.92302272306316,36.92302272306316,98.04313429386063,12.253859338476333,23.26723454186196,57.70274187511063,33.903841287394066,7.6114256639243125,12.1001660651084,18.6030093930452,0.5465604569744305,0.5882291748435508,0.5525808846472381,0.7954503946161159,0.885784845512086,0.8375601650259176,0.4274648691943089,0.41497435913256464,0.42077236115968897,551.6502178321009,73.35127647204875,459.6282732772425,13244.121880912182,12318.784357700973,810.9048729179801,629.805312579506,1110.3820945049572,291.85085033361383,6.421162398279027
2040-10-01,607220.604914915,971574.6208655967,353881.9275577056,595839.2099614958,335705.52373368817,1018929.8207096942,254838.61825776438,1616916.151819244,208252.7126615043,1283022.3124581876,661267.9260202325,11.670482535104814,211.24387075960888,38.323815672575016,52.79062213706595,34.60764375025221,18.501895425317617,22.188734498135943,43.817900689516705,68.53287429356975,101.90006625876862,135.44690217877667,92.0396474890619,36.85030754619653,36.85030754619653,98.28894782002448,12.079986685782554,22.992380094423023,57.02110287185381,33.957216609233846,7.5973350940791,12.104703254864729,18.61160484999017,0.5203363183055436,0.5750450958747291,0.5435927125127764,0.7703781745095005,0.8779201298567633,0.8360632625761238,0.40512346980623537,0.39622615456827043,0.40533348413002546,560.5477879244805,73.30460309032111,469.4160347733656,13257.131696721475,12337.028261558322,810.5850471806523,609.0655639134538,1111.8946141618926,287.45370762434555,6.400504566450907
2041-10-01,573080.2925390374,889287.3386813053,343032.7714794028,590168.5310629266,314045.49058908416,919050.6132184874,237849.89121353216,1451162.0743617266,193662.89962466224,1149606.861823896,608034.4239774244,11.677921956108367,193.8526098525642,39.115004126728316,51.34439199961366,34.21179370725889,18.529069335305238,21.201460612208763,40.84393468210491,64.76053415823574,96.30505399766952,111.4490366072614,81.91397781373509,36.24044158744928,36.24044158744928,87.23717808956896,11.836288840061043,21.889154958071547,54.285104797207545,31.24886805209058,6.670742914208655,10.876029749202482,16.92906360384939,0.5452547393349114,0.5918976701017485,0.5556720012589379,0.787604715647043,0.887395186149247,0.8403337236196691,0.4246705882378756,0.3981297774202336,0.3942982357452184,567.5845330112566,73.8323308338062,474.3073060258699,10806.275282511971,9799.811465162478,836.3067617387424,586.3793586680786,1117.2210993785502,287.45370762434555,6.175030091187364
