datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
2049-10-01,625173.3840000004,1164655.0380000002,353886.60600000015,525183.4465000005,343660.0564999996,1275048.7859999998,268303.85349999985,2854874.589000001,195260.9855,2344196.0179999964,936105.4634999994,2.9706104780522384,455.88814497036327,23.02786100326536,36.78918100299193,19.72441103112815,4.6010255505435165,12.354669796588126,21.495816373097703,45.87477513698762,92.48767118704377,96.68941349414905,61.55078812425087,22.774749463272748,22.774749463272748,82.42270284822558,10.488595061561869,13.053888139171985,32.373643135340714,28.561446250389565,28.824934531168008,32.9111627179244,43.51592452537032,16.450352885291895,17.795218617548667,18.42405600357368,23.070234206218426,24.983539545115033,25.6447505197117,9.830471547159856,10.606897689207946,11.203361485612502,2163.588656672115,558.720763968877,1729.147895515945,14818.210899386628,11887.152903204444,5397.798306404126,3285.836585626597,2931.05799618219,565.2887815106695,80.08623266224447
2050-10-01,596513.4935000004,1124528.083,337577.2110000002,503494.51750000054,329204.2379999996,1226838.4944999998,258075.7434999998,2761120.3770000013,185894.92849999998,2273273.4474999965,905832.4259999996,2.0076912975610393,443.70141857205033,16.121885516052036,32.517431586810446,15.594050803553927,1.8370803103906952,8.702239596552277,16.969053384483402,37.78758203607795,82.30714792933097,82.80403104795144,51.77607731932467,16.673386519378504,16.673386519378504,74.5727892746339,8.7951476239147,9.892292549994327,24.53288585751081,24.079807674352303,28.602569707693192,32.49549082131763,42.90435578505959,16.521352885775265,17.85762478269125,18.482062856030648,23.129891741706086,25.031750501610134,25.691303940144326,9.912814012247015,10.683499056140157,11.272821758946519,2110.7079534531445,549.8305843709264,1707.1061746087403,14071.213970684088,11266.959703653727,5445.297197966744,3224.513285315135,2804.2542670303646,580.602381103117,80.75518823327725
2051-10-01,606244.5955000004,1144657.2395,340918.2035000002,506535.95850000053,335231.6329999996,1258113.5969999996,263026.08099999983,2784029.919000001,189793.56049999996,2291560.2709999965,922667.8154999996,1.931439929630828,439.88738497255116,15.440970227444987,31.55225398715628,15.199143710864112,1.8187565397855454,8.556283320268388,15.993759703889461,36.90168722281965,80.68921066908365,81.63931385445241,49.63891475326995,15.989081886232242,15.989081886232242,72.6011840400611,8.574558603750415,9.586608547610696,23.774789544599148,23.444153761353355,28.35484340953276,32.43457598971882,42.77398035489199,16.631930754486202,17.967803062372532,18.603437171249496,23.23728382018131,25.140540120159585,25.820571699545617,10.02657767226011,10.795065995025485,11.386302633015067,2078.6162622481197,543.7440132390881,1706.7588559397623,14242.139299606377,11453.130488346409,5453.176880593014,3228.917274254732,2789.0088112599747,600.2518258131038,80.79201086518995
2052-10-01,546063.1550000005,1066577.53,304594.5580000001,452255.0785000006,301721.4144999996,1176941.1914999995,239687.44549999977,2661587.1060000015,169821.77849999996,2198689.9899999965,870961.8394999995,2.466101590750934,428.33270047786635,15.960529118654009,31.917567699825025,16.183836883854575,2.593441494912164,9.128540855236098,16.961503555007354,36.353566575235526,77.11327361250139,78.36501937059582,45.68406140078204,15.058058633552367,15.058058633552367,67.77320597418607,8.815195704317826,10.214948888849325,25.333073613055937,22.179224838092885,28.1720807614804,31.8620025603965,41.75473575936311,16.65366773847173,18.003997583055035,18.64550155156865,23.252524914078148,25.177693546552025,25.870626491858342,10.054810550774816,10.830301612313097,11.420376605837527,2083.087095297048,535.354239849005,1684.1645127593897,13181.613542960982,10486.844787957367,5424.629808975736,3114.5048110904363,2694.768755003623,600.2518258131038,81.21590224862203
2053-10-01,552439.9410000005,1083615.364,307379.37700000015,454824.2575000006,304823.8249999996,1199065.6449999996,243100.3779999998,2684063.999500002,172133.90899999993,2218254.6809999966,883026.8764999995,2.612428988476288,427.1795443133574,17.18107573331235,31.60640058504792,16.32829989342758,2.5924853305571185,9.343284682331175,17.277956975250085,36.79858166416207,78.80135713152251,81.13420969679007,46.14628603879912,15.265536704750437,15.265536704750437,68.9528964352795,9.130803690607785,10.368180789715431,25.71308874507388,22.415528562920617,28.143206762572838,31.945734878778957,41.95447304768315,16.737726642694973,18.093466072336152,18.740591277036906,23.354808479521004,25.27954833375149,25.978823750193612,10.120644798043909,10.907383802849415,11.502358796820054,2162.7088584002013,539.2965387351906,1725.9802617873563,13439.600236092712,10723.35288558261,5428.059404171588,3115.837337925425,2716.2473505101148,600.2518258131038,80.93509912320954
2054-10-01,560029.5665000005,1094262.2665000001,312702.48450000014,466236.50700000057,306132.3894999996,1203852.2304999998,243283.3434999998,2658391.0785000017,172309.05999999994,2196709.617999996,888406.2719999995,2.620141318209792,419.2126662532385,17.375074345249182,31.915606132014886,16.254078021026018,2.670181217874515,10.015081965885292,18.60173496604851,37.54904188570087,85.33715703277934,81.5524479963199,50.959045054620546,16.79720523602458,16.79720523602458,74.10694009955856,9.134410625619825,10.822133797586002,26.838892169428316,23.429468501842454,28.18963141308228,32.093568134235255,42.29843707758236,16.775906780377323,18.133851002130715,18.785515935508492,23.385474230841044,25.311257924820122,26.01858950211068,10.166339317082642,10.956444074595856,11.552442357188024,2177.1545197440505,539.2628832634562,1735.9965395295887,13486.672630762496,10775.093124996854,5443.787650487351,3127.156129267272,2711.579505765657,616.2384618994087,80.98181875348415
2055-10-01,624836.6850000005,1193721.7040000001,348603.7605000001,519557.1860000007,342400.6979999995,1318443.5064999997,269236.0439999998,2840605.023500002,195817.0139999999,2340831.658999996,957366.7089999996,3.4920866457668054,436.635593835508,18.949071525307186,33.106317897616876,17.264582109336615,2.5749407780335103,10.39484972526981,20.197826450396164,41.7984051656298,92.05075280469917,88.12139888768438,51.43677991583811,17.133318657301526,17.133318657301526,76.75446763660153,10.222538546211208,11.508019148334167,28.539887803851247,24.94656128790205,28.99296005502087,33.40913000542854,44.11772739069535,16.83996006009248,18.198687067593745,18.857900499655464,23.439022045410884,25.360253829664437,26.079928297775204,10.240898059128288,11.037120302961375,11.635872685162854,2169.7849455703686,528.8896721837555,1738.6501212642652,15040.438126101446,12308.415569671904,5425.2632169585795,3151.502567309352,2732.022556429564,620.1418492775814,80.6900312849323
2056-10-01,626187.8185000005,1203188.7995000002,348734.4785000001,520280.35900000064,343116.6904999995,1335911.3284999998,270052.06999999983,2883314.132000002,196488.7804999999,2377090.5699999956,970651.5479999997,3.4542893865479165,439.1915871079497,18.63230851489024,32.518389120679885,16.901547872519696,2.445759959841564,10.158871646035724,20.09302508411545,41.20019147781182,91.80712675206807,87.10944548332638,51.00755663666895,16.623354267631143,16.623354267631143,76.26086900893708,10.155809419891716,11.31429363666773,28.059448551097876,24.6337909211989,29.064090007466064,33.57136724553375,44.193595486054086,16.973673073156213,18.327024051545546,19.00119090959929,23.569438486439946,25.480431917891803,26.225584459279453,10.377907648550321,11.17361619128948,11.77679734317705,2189.944746020439,528.7523358178563,1745.5616708632976,15278.933289817724,12508.820305172327,5401.50200822776,3141.1479935775915,2770.112984645418,571.6968473299672,80.05622050508714
2057-10-01,579352.6690000007,1149052.9835,319576.8615000001,472356.8065000007,317463.6539999995,1287073.603,252679.0934999998,2798828.553000002,181727.8364999999,2310954.650499996,936120.5194999997,3.0054962412277297,416.75610111029243,13.803823542199869,27.0503946522718,14.371753390616789,2.029692850015071,8.471183991948738,17.63383468068012,34.87812430369105,81.30446391893535,74.55072223490905,39.99331703898913,11.906937773078738,11.906937773078738,65.97649370451248,9.026049312711587,9.778676447398038,24.251117866379264,20.41725711919789,28.807107993883836,33.21828820219754,43.48186392192662,17.105288825987113,18.443619939160804,19.12077310331359,23.691731641176034,25.58813191770107,26.341895416770036,10.5188460058871,11.299107972597707,11.899650767822092,2126.568168872851,513.3170079763615,1700.0068239946916,14894.137975087851,12220.840171602244,5469.03109107524,3171.8456428843465,2673.2978034856287,655.8278490470926,80.47933367209123
2058-10-01,564968.3050000007,1109653.9100000001,311650.3470000001,462949.17500000075,309005.27099999954,1248462.957,244872.8044999998,2706908.624500002,177153.59499999988,2236842.4624999957,903961.3914999996,2.9991441862386368,399.8754778134503,13.800468746955412,27.15420835572387,14.387578046450098,2.0321133979299026,8.553245634627064,17.706519613145545,34.724654439540615,77.07550224126723,73.98282771153666,37.86108004061399,11.869170652596363,11.869170652596363,62.9078498738872,8.831676087814966,9.794665504713576,24.2907707282555,19.875795815735174,28.197590236011717,32.55647100295619,42.4900010231289,17.244839514266367,18.568676105593298,19.249434058465052,23.837938491087474,25.715040133067067,26.47720911539495,10.651740527071773,11.42231208135808,12.021658988622482,2005.308188806226,484.9226993044981,1622.682593901459,14529.711172482155,11984.728981418402,5529.747200006694,3198.929213066429,2544.982191063773,781.7540336478494,81.28276193682106
