datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,SHA_out,FOL_out,ORO_out,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
1952-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.341428518295288,19.422142914363317,19.53928565979004,5.459310372327936,7.340000086817248,7.717586242947085,3954.9983020283544,653.5043629386914,3107.6083280517482,2038.7396764448556,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,281.98268976709596,121.21497567596161,630.3345981607587,10.447011261143956,83.39868698775568
1992-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.341428518295288,19.422142914363317,19.53928565979004,5.459310372327936,7.340000086817248,7.717586242947085,3954.9983020283544,653.5043629386914,3107.6083280517482,2038.7396764448556,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,281.98268976709596,121.21497567596161,630.3345981607587,10.447011261143956,83.39868698775568
1993-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.341428518295288,19.422142914363317,19.53928565979004,5.459310372327936,7.340000086817248,7.717586242947085,3954.9983020283544,653.5043629386914,3107.6083280517482,2038.7396764448556,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,281.98268976709596,121.21497567596161,630.3345981607587,10.447011261143956,83.39868698775568
1994-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.341428518295288,19.422142914363317,19.53928565979004,5.459310372327936,7.340000086817248,7.717586242947085,3954.9983020283544,653.5043629386914,3107.6083280517482,1934.6586350544094,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,281.98268976709596,121.21497567596161,630.3345981607587,10.447011261143956,83.39868698775568
1995-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.341428518295288,19.422142914363317,19.53928565979004,5.459310372327936,7.340000086817248,7.717586242947085,3954.9983020283544,653.5043629386914,3107.6083280517482,1934.6586350544094,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,281.98268976709596,121.21497567596161,630.3345981607587,10.447011261143956,83.39868698775568
1996-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.341428518295288,19.422142914363317,19.53928565979004,5.459310372327936,7.340000086817248,7.717586242947085,3954.9983020283544,653.5043629386914,3107.6083280517482,1934.6586350544094,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,281.98268976709596,121.21497567596161,630.3345981607587,10.447011261143956,83.39868698775568
1997-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.341428518295288,19.422142914363317,19.53928565979004,5.459310372327936,7.340000086817248,7.717586242947085,3954.9983020283544,653.5043629386914,3107.6083280517482,1934.6586350544094,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,281.98268976709596,121.21497567596161,630.3345981607587,10.447011261143956,83.39868698775568
1998-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.341428518295288,19.422142914363317,19.53928565979004,5.459310372327936,7.340000086817248,7.717586242947085,3954.9983020283544,653.5043629386914,3107.6083280517482,1934.6586350544094,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,281.98268976709596,121.21497567596161,630.3345981607587,10.447011261143956,83.39868698775568
1999-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.341428518295288,19.422142914363317,19.53928565979004,5.459310372327936,7.340000086817248,7.717586242947085,3954.9983020283544,653.5043629386914,3107.6083280517482,1934.6586350544094,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,281.98268976709596,121.21497567596161,630.3345981607587,10.447011261143956,83.39868698775568
2000-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.341428518295288,19.422142914363317,19.53928565979004,5.459310372327936,7.340000086817248,7.717586242947085,3954.9983020283544,653.5043629386914,3107.6083280517482,1958.2960191368668,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,281.98268976709596,121.21497567596161,630.3345981607587,10.447011261143956,83.39868698775568
2001-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.341428518295288,19.422142914363317,19.53928565979004,5.459310372327936,7.340000086817248,7.717586242947085,3954.9983020283544,653.5043629386914,3107.6083280517482,1958.2960191368668,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,281.98268976709596,121.21497567596161,630.3345981607587,10.447011261143956,83.39868698775568
2002-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.341428518295288,19.422142914363317,19.53928565979004,5.459310372327936,7.340000086817248,7.717586242947085,3954.9983020283544,653.5043629386914,3107.6083280517482,1958.2960191368668,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,281.98268976709596,121.21497567596161,630.3345981607587,10.447011261143956,83.39868698775568
2003-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.184642996106827,19.131785699299403,19.03857139178685,5.459310372327936,7.340000086817248,7.717586242947085,3954.9983020283544,653.5043629386914,3107.6083280517482,2045.402923354085,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,224.90648635799417,95.59816700582653,630.3345981607587,10.447011261143956,83.39868698775568
2004-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.184642996106827,19.131785699299403,19.03857139178685,5.001785695552826,6.616071458373751,7.201785694275584,3954.9983020283544,653.5043629386914,3107.6083280517482,2045.402923354085,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,224.90648635799417,95.59816700582653,630.3345981607587,10.447011261143956,83.39868698775568
2005-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.184642996106827,19.131785699299403,19.03857139178685,5.001785695552826,6.616071458373751,7.201785694275584,3954.9983020283544,653.5043629386914,3107.6083280517482,2045.402923354085,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,224.90648635799417,95.59816700582653,630.3345981607587,10.447011261143956,83.39868698775568
2006-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.184642996106827,19.131785699299403,19.03857139178685,5.001785695552826,6.616071458373751,7.201785694275584,3954.9983020283544,653.5043629386914,3107.6083280517482,2045.402923354085,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,224.90648635799417,95.59816700582653,630.3345981607587,10.447011261143956,83.39868698775568
2007-02-01,451008.04,1079044.9200000002,291310.27,330483.5299999999,317990.55000000005,717609.1000000002,310864.11,2010503.8000000003,304590.63000000006,1438202.1000000006,906698.3499999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,13.765614747051586,20.52944647881668,29.984540942125022,10.946964263916016,12.873928649084908,13.120178495134626,17.184642996106827,19.131785699299403,19.03857139178685,5.001785695552826,6.616071458373751,7.201785694275584,3954.9983020283544,653.5043629386914,3107.6083280517482,2045.402923354085,1472.0376137673268,1101.7938013331318,9020.302287885503,8410.503941804967,224.90648635799417,95.59816700582653,630.3345981607587,10.447011261143956,83.39868698775568
2008-02-01,273023.87000000005,732143.2700000001,190251.82,226161.69999999998,201442.99999999997,717609.1000000002,171052.41,1559245.8699999999,175004.48999999993,1254964.46,552933.6699999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,10.782247231341898,14.796585439326009,20.16613917425275,10.946964263916016,12.901034486704859,13.333103344358246,17.184642996106827,19.331724133984796,19.59413794813485,5.001785695552826,6.616071458373751,7.201785694275584,3954.9983020283544,653.5043629386914,3107.6083280517482,2045.402923354085,961.5039194067538,1101.7938013331318,9020.302287885503,8410.503941804967,224.90648635799417,95.59816700582653,630.3345981607587,10.447011261143956,83.39868698775568
2009-02-01,273023.87000000005,732143.2700000001,190251.82,226161.69999999998,201442.99999999997,717609.1000000002,171052.41,1559245.8699999999,175004.48999999993,1254964.46,552933.6699999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,10.782247231341898,14.796585439326009,20.16613917425275,10.946964263916016,12.901034486704859,13.333103344358246,17.184642996106827,19.331724133984796,19.59413794813485,5.001785695552826,6.616071458373751,7.201785694275584,3954.9983020283544,653.5043629386914,3107.6083280517482,2045.402923354085,961.5039194067538,1101.7938013331318,9020.302287885503,8410.503941804967,224.90648635799417,95.59816700582653,630.3345981607587,10.447011261143956,83.83879905297682
2010-02-01,273023.87000000005,732143.2700000001,190251.82,226161.69999999998,201442.99999999997,717609.1000000002,171052.41,1559245.8699999999,175004.48999999993,1254964.46,552933.6699999999,385.811279296875,559.0842895507811,1386.529052734375,671.9351806640625,10.782247231341898,14.796585439326009,20.16613917425275,10.946964263916016,12.901034486704859,13.333103344358246,17.184642996106827,19.331724133984796,19.59413794813485,5.001785695552826,6.616071458373751,7.201785694275584,3954.9983020283544,653.5043629386914,3107.6083280517482,2045.402923354085,961.5039194067538,1101.7938013331318,9020.302287885503,8410.503941804967,224.90648635799417,95.59816700582653,630.3345981607587,10.447011261143956,83.83879905297682
