datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,SHA_out,FOL_out,ORO_out,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
1987-10-01,1085291.6245000004,1899256.8650000002,615685.7075,1028809.2840000006,599464.4614999999,2064373.7094999992,464861.2539999997,3962947.7944999994,349763.4720000001,3215954.7364999996,1447488.2225000004,136.45780305862428,249.11436443328859,617.8036123275757,317.13732719421387,32.87989284900735,41.002317766789176,56.04580131677449,14.222787560911849,15.420423479396188,15.920293762417746,20.82077136299036,22.536246641196435,22.993769748552918,7.624803770783531,8.304600304503944,8.846817778295776,2954.638619134294,707.8617466358065,2335.427230693377,6106.451912468636,2971.2570061489805,4173.14806602213,23657.327809816765,19345.5115007317,4372.426041249137,3245.6084543384964,4311.816309085067,1180.101788288132,73.84129007165924
1988-10-01,1116351.8460000004,1936898.746,632336.3005,1056888.6490000007,615301.1379999999,2088894.2364999994,476583.6704999997,3936505.276999999,359835.4170000002,3194850.0875,1466604.5215000003,137.42596864700317,257.1240613937378,637.6676595687866,325.59102592468264,32.727722036515665,41.275546760590146,56.83874301959472,14.275571123323237,15.469414573431834,15.972131431783774,20.893487802656765,22.608237050191814,23.063327284625846,7.657654454166052,8.330592085125593,8.88093558676508,2954.9604182572684,707.4305576115604,2342.1221387773903,6001.941042418085,3014.667898146032,4170.5773378931035,24098.717033064335,19764.92838893152,4324.196672235791,3195.2487716879573,4333.788644132817,1161.432289421969,73.62850940650159
1989-10-01,1107086.6705000002,1927535.5465,627459.0194999999,1048954.4350000005,610997.0909999999,2079500.6684999994,473773.1664999997,3925357.386999999,358205.01450000016,3186080.755,1462208.9495000003,138.30446519851685,259.95319881439207,644.6839208602905,326.507767868042,32.70634936103218,41.13339277081711,56.67807417635065,14.238134135773763,15.43614608177339,15.942393074912625,20.8426028676174,22.56535211608,23.031101258208388,7.633665414331259,8.306940030322888,8.85368490111101,2949.8780930865432,703.6110262254153,2349.9570861713787,6028.167671532966,3007.799674982766,4188.262377331338,23936.124265711078,19643.410346839653,4336.91413067122,3193.9670992949327,4292.713918871427,1164.2115983876806,73.7939034865491
1990-10-01,1087918.7505000003,1883733.539,618052.3975,1038961.0800000004,598927.382,2020984.8974999995,463578.81399999966,3791264.6739999987,350621.49250000017,3077290.7875000006,1427879.2260000003,127.72824869155883,242.49145603179932,601.3788007736206,313.79219245910645,32.053888580858285,40.405609489258836,55.769513581186516,14.301189615288035,15.493859778534064,15.99088074719585,20.914030265247384,22.637053487651787,23.093495776472743,7.688348976032688,8.350666058302057,8.88826572330151,2939.185757486278,699.3493615328305,2343.34007192383,5803.64461781005,2953.8046954385754,4073.836420230714,23271.766925673826,19056.24698333865,4408.954181716292,3214.670618501347,4215.519942335179,1201.937536128878,74.15881051267746
1991-10-01,1051447.9485000004,1827789.0720000002,594084.0969999998,999739.4815000003,579632.1805,1963056.2054999992,449050.40699999966,3738291.900999999,337113.2225000002,3041054.3655000003,1387242.5315,133.0402961730957,253.9221118927002,629.7268255233764,323.045357131958,31.885558599963662,39.74196516428252,54.73041473297013,14.231740844477873,15.439136419674915,15.941755062467303,20.860990648029755,22.59792780145185,23.062498508146444,7.602491052204053,8.280345020361134,8.821011626163429,2964.0861371985047,703.1716012767862,2344.1715529806092,5677.443339682478,2858.0564675258433,3927.6473107845304,22669.063676669633,18528.446353075426,4425.873269212251,3184.1300455566197,4140.617323594202,1187.3400067553025,74.46831268911981
1992-10-01,1038541.2950000003,1786508.0265000002,591471.4429999999,977559.1960000005,572994.7614999999,1885108.4269999992,442508.0549999997,3586284.743499999,331559.6745000002,2914085.3785000006,1357064.5230000003,122.17868633270264,238.71354904174805,592.0095891952515,316.11187171936035,31.14655322659351,38.87704444772168,53.92562466008186,14.22817234965989,15.427176830461374,15.930059175110713,20.85609886614116,22.590712737259373,23.054016313023844,7.600245846607147,8.26364091040984,8.806102036981507,2976.114073943711,707.3891092527692,2344.6126478567403,5506.005583891413,2817.903809762359,3802.9279355050917,21580.913568070486,17489.136780213197,4412.38595587784,3140.329789056339,4091.776787857285,1161.7517168941527,74.8852997443328
1993-10-01,1045178.1625000003,1796635.061,595112.6604999999,981005.9980000004,576353.9324999999,1883622.0714999991,445830.4604999997,3551170.723999998,334386.09750000027,2887329.799,1363396.529,126.1017198562622,244.74806518554686,606.9751913070679,323.6330966949463,30.932034745737564,38.7889645203252,54.03901296187902,14.26218810181864,15.445115189669679,15.946122873706233,20.91033722249301,22.61591959059033,23.071102615702724,7.614038998128156,8.274310772480561,8.821143132579099,2994.916712582671,707.9142568252059,2357.717203194461,5433.187776872589,2823.787905643207,3792.1675584499862,21253.508793259083,17182.77647148126,4411.2796898641445,3126.7771394826577,4070.732321777826,1161.5281811215173,74.95648131722359
1994-10-01,1024341.9790000003,1764255.4345000002,584783.0599999999,961139.4035000004,565014.3139999999,1853779.207499999,438271.8664999997,3499274.656499998,327686.76750000025,2842650.95,1342209.791,125.34467716217041,242.24366455078126,600.7642766952515,319.26794319152833,30.642028058295544,38.33300679723668,53.30036047785931,14.271028512496764,15.45098368194311,15.94571122969164,20.945152293130295,22.656755208583306,23.10811631313097,7.596904751736517,8.245212143845439,8.783306146133189,2984.256174531627,706.5622394821103,2347.356625986238,5415.332481927433,2785.713604622937,3788.8824476908762,20783.809241308063,16795.397046421163,4472.564410550367,3139.4925557594206,3988.4121948869024,1178.0086756275457,75.35192522698924
1995-10-01,940110.1740000002,1628747.6790000002,534317.3315000001,876814.7645000005,520367.42449999985,1690564.016999999,405208.74849999975,3161254.0459999978,300960.3580000003,2569828.2575,1242505.1225,107.6124083518982,213.575288772583,529.6667097091674,293.23328018188477,29.094957052161476,36.44396446179342,50.84508924289516,14.313066763847454,15.497502809583924,16.00124879994734,21.02054163741213,22.748883624192622,23.2101354354879,7.605591908190613,8.246121980205697,8.792362156463538,2884.3024493109288,695.1488553686544,2269.428117644381,5012.274224140928,2639.978250614005,3539.4025897201836,18937.28740502068,15145.622317834172,4647.986247616162,3161.8830232976643,3791.6650871865086,1269.4970828467672,76.28698865543367
1996-10-01,966458.3580000002,1630019.3215000003,550889.484,902384.2830000005,534296.2109999999,1671760.0124999988,412324.2244999998,3124268.585999998,306940.28150000033,2542024.4499999997,1234815.7759999998,109.1039776802063,217.14708518981934,538.5247648239135,297.64367446899416,28.847795245613156,36.27918613507898,50.977966797741054,14.291693476599985,15.477385687444905,15.983639208267311,21.001589580050528,22.71369320962674,23.172101185176242,7.581797387845109,8.241078144341717,8.795177224382178,2796.260402611279,693.0082004626809,2209.663142677012,4865.068699043073,2593.664816058146,3417.4064541561247,18306.488821166924,14569.229655039171,4625.04954165227,3059.0092288886976,3737.2591661277606,1206.2150666546768,76.71917384535327
