datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,SHA_out,FOL_out,ORO_out,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
2006-03-01,15601.669999999996,25441.710000000003,6140.379999999999,9287.26,6880.7,30465.359999999993,4610.679999999999,43844.090000000004,2997.0500000000006,39745.590000000004,31746.96999999999,8.413540840148926,1.088064432144165,2.698399543762207,24.748483657836914,0.5194928065175191,0.6527467036357848,0.7564033265734906,6.330322619407408,8.147096803111415,9.02048384758734,11.419032235299387,13.151612835545693,13.956774173244353,1.241612905516259,2.548709692012879,3.269999990540166,914.2955273724724,554.1059092057202,851.9597080893824,141.42148736515196,29.37190080056,39.738462577918995,466.4584304435226,400.30588283261875,0.0,0.0,66.15254761090381,0.0,46.42327165534555
2007-03-01,15601.669999999996,25441.710000000003,6140.379999999999,9287.26,6880.7,30465.359999999993,4610.679999999999,43844.090000000004,2997.0500000000006,39745.590000000004,31746.96999999999,8.413540840148926,1.088064432144165,2.698399543762207,24.748483657836914,0.5194928065175191,0.6527467036357848,0.7564033265734906,6.330322619407408,8.147096803111415,9.02048384758734,11.419032235299387,13.151612835545693,13.956774173244353,1.241612905516259,2.548709692012879,3.269999990540166,914.2955273724724,554.1059092057202,851.9597080893824,141.42148736515196,29.37190080056,39.738462577918995,466.4584304435226,400.30588283261875,0.0,0.0,66.15254761090381,0.0,46.42327165534555
2008-03-01,15601.669999999996,25441.710000000003,6140.379999999999,9287.26,6880.7,30465.359999999993,4610.679999999999,43844.090000000004,2997.0500000000006,39745.590000000004,31746.96999999999,8.413540840148926,1.088064432144165,2.698399543762207,24.748483657836914,0.5194928065175191,0.6527467036357848,0.7564033265734906,6.330322619407408,8.147096803111415,9.02048384758734,11.419032235299387,13.151612835545693,13.956774173244353,1.241612905516259,2.548709692012879,3.269999990540166,914.2955273724724,554.1059092057202,851.9597080893824,141.42148736515196,29.37190080056,39.738462577918995,466.4584304435226,400.30588283261875,0.0,0.0,66.15254761090381,0.0,46.42327165534555
2009-03-01,15601.669999999996,25441.710000000003,6140.379999999999,9287.26,6880.7,30465.359999999993,4610.679999999999,43844.090000000004,2997.0500000000006,39745.590000000004,31746.96999999999,8.413540840148926,1.088064432144165,2.698399543762207,24.748483657836914,0.5194928065175191,0.6527467036357848,0.7564033265734906,6.330322619407408,8.147096803111415,9.02048384758734,11.419032235299387,13.151612835545693,13.956774173244353,1.241612905516259,2.548709692012879,3.269999990540166,914.2955273724724,551.9689179461635,851.9597080893824,141.42148736515196,29.37190080056,39.738462577918995,466.4584304435226,400.30588283261875,0.0,0.0,66.15254761090381,0.0,46.42327165534555
2010-03-01,15601.669999999996,25441.710000000003,6140.379999999999,9287.26,6880.7,30465.359999999993,4610.679999999999,43844.090000000004,2997.0500000000006,39745.590000000004,31746.96999999999,8.413540840148926,1.088064432144165,2.698399543762207,24.748483657836914,0.5194928065175191,0.6527467036357848,0.7564033265734906,6.330322619407408,8.147096803111415,9.02048384758734,11.419032235299387,13.151612835545693,13.956774173244353,1.241612905516259,2.548709692012879,3.269999990540166,914.2955273724724,551.9689179461635,851.9597080893824,141.42148736515196,29.37190080056,39.738462577918995,466.4584304435226,400.30588283261875,0.0,0.0,66.15254761090381,0.0,46.42327165534555
2011-03-01,15601.669999999996,25441.710000000003,6140.379999999999,9287.26,6880.7,30465.359999999993,4610.679999999999,43844.090000000004,2997.0500000000006,39745.590000000004,31746.96999999999,8.413540840148926,1.088064432144165,2.698399543762207,24.748483657836914,0.5194928065175191,0.6527467036357848,0.7564033265734906,6.330322619407408,8.147096803111415,9.02048384758734,11.419032235299387,13.151612835545693,13.956774173244353,1.241612905516259,2.548709692012879,3.269999990540166,914.2955273724724,551.9689179461635,851.9597080893824,141.42148736515196,29.37190080056,39.738462577918995,466.4584304435226,400.30588283261875,0.0,0.0,66.15254761090381,0.0,46.42327165534555
2012-03-01,15601.669999999996,25441.710000000003,6140.379999999999,9287.26,6880.7,30465.359999999993,4610.679999999999,43844.090000000004,2997.0500000000006,39745.590000000004,31746.96999999999,8.413540840148926,1.088064432144165,2.698399543762207,24.748483657836914,0.5194928065175191,0.6527467036357848,0.7564033265734906,6.330322619407408,8.147096803111415,9.02048384758734,11.419032235299387,13.151612835545693,13.956774173244353,1.241612905516259,2.548709692012879,3.269999990540166,914.2955273724724,551.9689179461635,851.9597080893824,141.42148736515196,29.37190080056,39.738462577918995,466.4584304435226,400.30588283261875,0.0,0.0,66.15254761090381,0.0,46.42327165534555
2013-03-01,15601.669999999996,25441.710000000003,6140.379999999999,9287.26,6880.7,30465.359999999993,4610.679999999999,43844.090000000004,2997.0500000000006,39745.590000000004,31746.96999999999,8.413540840148926,1.088064432144165,2.698399543762207,24.748483657836914,0.5194928065175191,0.6527467036357848,0.7564033265734906,6.330322619407408,8.147096803111415,9.02048384758734,11.419032235299387,13.151612835545693,13.956774173244353,1.241612905516259,2.548709692012879,3.269999990540166,914.2955273724724,551.9689179461635,851.9597080893824,141.42148736515196,29.37190080056,39.738462577918995,466.4584304435226,400.30588283261875,0.0,0.0,66.15254761090381,0.0,46.42327165534555
2014-03-01,15601.669999999996,25441.710000000003,6140.379999999999,9287.26,6880.7,30465.359999999993,4610.679999999999,43844.090000000004,2997.0500000000006,39745.590000000004,31746.96999999999,8.413540840148926,1.088064432144165,2.698399543762207,24.748483657836914,0.5194928065175191,0.6527467036357848,0.7564033265734906,6.330322619407408,8.147096803111415,9.02048384758734,11.419032235299387,13.151612835545693,13.956774173244353,1.241612905516259,2.548709692012879,3.269999990540166,914.2955273724724,551.9689179461635,851.9597080893824,141.42148736515196,29.37190080056,39.738462577918995,466.4584304435226,400.30588283261875,0.0,0.0,66.15254761090381,0.0,46.42327165534555
2015-03-01,15601.669999999996,25441.710000000003,6140.379999999999,9287.26,6880.7,30465.359999999993,4610.679999999999,43844.090000000004,2997.0500000000006,39745.590000000004,31746.96999999999,8.413540840148926,1.088064432144165,2.698399543762207,24.748483657836914,0.5194928065175191,0.6527467036357848,0.7564033265734906,6.330322619407408,8.147096803111415,9.02048384758734,11.419032235299387,13.151612835545693,13.956774173244353,1.241612905516259,2.548709692012879,3.269999990540166,914.2955273724724,551.9689179461635,851.9597080893824,141.42148736515196,29.37190080056,39.738462577918995,466.4584304435226,400.30588283261875,0.0,0.0,66.15254761090381,0.0,41.65310640144155
2016-03-01,15601.669999999996,25441.710000000003,6140.379999999999,9287.26,6880.7,30465.359999999993,4610.679999999999,43844.090000000004,2997.0500000000006,39745.590000000004,31746.96999999999,8.413540840148926,1.088064432144165,2.698399543762207,24.748483657836914,0.5194928065175191,0.6527467036357848,0.7564033265734906,6.330322619407408,8.147096803111415,9.02048384758734,11.419032235299387,13.151612835545693,13.956774173244353,1.241612905516259,2.548709692012879,3.269999990540166,914.2955273724724,551.9689179461635,851.9597080893824,141.42148736515196,29.37190080056,39.738462577918995,466.4584304435226,400.30588283261875,0.0,0.0,66.15254761090381,0.0,41.65310640144155
