datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,SHA_out,FOL_out,ORO_out,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
1991-09-01,4885.110000000001,4603.96,3264.59,7625.9800000000005,2780.0,5905.87,1932.9099999999999,16562.69,1571.42,13936.45,3081.56,0.6308333277702332,0.0,0.0,0.0,0.9523972688184585,1.5527118046302348,1.9852091862121597,23.037166531880697,23.1491668065389,24.23916664123535,31.851999855041505,32.142666562398276,33.36466693878174,14.222333399454753,14.155666796366374,15.11366672515869,3797.3816955173047,891.3120404389252,2921.144992516933,498.9432687016045,140.350923306803,456.56712701516966,919.4904262039606,332.78830987234574,697.266368819446,697.266368819446,586.7021163316149,319.91099755408624,114.51443507414336
1992-09-01,4885.110000000001,4603.96,3264.59,7625.9800000000005,2780.0,5905.87,1932.9099999999999,21680.06,1571.42,16315.229999999998,3081.56,0.6308333277702332,0.0,0.0,0.0,0.9788195638684556,1.5527118046302348,1.9852091862121597,23.037166531880697,23.1491668065389,24.23916664123535,31.851999855041505,32.142666562398276,33.36466693878174,14.222333399454753,14.155666796366374,15.11366672515869,3797.3816955173047,891.3120404389252,2921.144992516933,498.9432687016045,140.350923306803,456.56712701516966,919.4904262039606,332.78830987234574,697.266368819446,697.266368819446,586.7021163316149,319.91099755408624,114.51443507414336
1993-09-01,4885.110000000001,4603.96,3264.59,7625.9800000000005,2780.0,5905.87,1932.9099999999999,21680.06,1571.42,16315.229999999998,3081.56,0.6308333277702332,0.0,0.0,0.0,0.9788195638684556,1.5527118046302348,1.9852091862121597,23.037166531880697,23.1491668065389,24.23916664123535,31.851999855041505,32.142666562398276,33.36466693878174,14.222333399454753,14.155666796366374,15.11366672515869,3797.3816955173047,891.3120404389252,2921.144992516933,498.9432687016045,140.350923306803,456.56712701516966,919.4904262039606,332.78830987234574,697.266368819446,697.266368819446,586.7021163316149,319.91099755408624,114.51443507414336
1994-09-01,4885.110000000001,4603.96,3264.59,7625.9800000000005,2780.0,5905.87,1932.9099999999999,21680.06,1571.42,16315.229999999998,3081.56,0.13534721732139587,0.0,0.0,0.0,0.9788195638684556,1.5527118046302348,1.9852091862121597,23.850666554768882,23.779000027974448,24.65416653951009,33.057999801635745,33.057999992370604,33.740333493550615,14.643333307902019,14.499999936421712,15.567999871571859,3473.8891225766056,862.4205858276115,2763.594867862456,498.9432687016045,133.56242477798713,456.738732404176,919.4904262039606,332.78830987234574,697.266368819446,697.266368819446,586.7021163316149,319.91099755408624,114.51443507414336
1995-09-01,4885.110000000001,4603.96,3264.59,7625.9800000000005,2780.0,5905.87,1932.9099999999999,21680.06,1571.42,16315.229999999998,3081.56,0.13534721732139587,0.0,0.0,0.0,0.9788195638684556,1.5527118046302348,1.9852091862121597,23.850666554768882,23.779000027974448,24.65416653951009,33.057999801635745,33.057999992370604,33.740333493550615,14.643333307902019,14.499999936421712,15.567999871571859,3473.8891225766056,862.4205858276115,2763.594867862456,498.9432687016045,133.56242477798713,456.738732404176,919.4904262039606,332.78830987234574,697.266368819446,697.266368819446,586.7021163316149,319.91099755408624,114.51443507414336
1996-09-01,4885.110000000001,4603.96,3264.59,7625.9800000000005,2780.0,5905.87,1932.9099999999999,21680.06,1571.42,16315.229999999998,3081.56,0.13534721732139587,0.0,0.0,0.0,0.9788195638684556,1.5527118046302348,1.9852091862121597,23.850666554768882,23.779000027974448,24.65416653951009,33.057999801635745,33.057999992370604,33.740333493550615,14.643333307902019,14.499999936421712,15.567999871571859,3473.8891225766056,862.4205858276115,2763.594867862456,498.9432687016045,133.56242477798713,456.738732404176,919.4904262039606,332.78830987234574,697.266368819446,697.266368819446,586.7021163316149,319.91099755408624,114.51443507414336
1997-09-01,4885.110000000001,4603.96,3264.59,7625.9800000000005,2780.0,5905.87,1932.9099999999999,21680.06,1571.42,16332.68,3081.56,0.13534721732139587,0.0,0.0,0.0,1.0515821111621335,1.5527118046302348,1.9852091862121597,23.850666554768882,23.779000027974448,24.65416653951009,33.057999801635745,33.057999992370604,33.740333493550615,14.643333307902019,14.499999936421712,15.567999871571859,3473.8891225766056,862.4205858276115,2763.594867862456,498.9432687016045,133.56242477798713,456.738732404176,919.4904262039606,332.78830987234574,697.266368819446,697.266368819446,586.7021163316149,216.90907364595324,91.95134917748078
1998-09-01,4885.110000000001,4603.96,3264.59,7625.9800000000005,2780.0,5905.87,1932.9099999999999,21680.06,1571.42,16332.68,3081.56,0.5006944537162781,0.0,0.0,0.0,1.0515821111621335,1.5527118046302348,1.9852091862121597,23.850666554768882,23.779000027974448,24.65416653951009,33.057999801635745,33.057999992370604,33.740333493550615,14.643333307902019,14.499999936421712,15.567999871571859,3473.8891225766056,862.4205858276115,2763.594867862456,498.9432687016045,133.56242477798713,456.738732404176,919.4904262039606,332.78830987234574,697.266368819446,697.266368819446,586.7021163316149,216.90907364595324,91.95134917748078
1999-09-01,3191.0699999999997,4421.889999999999,2170.4500000000003,3528.7400000000007,2042.99,5450.700000000001,1363.6000000000001,31649.000000000004,1349.8399999999995,26997.890000000003,2736.9900000000002,0.5006944537162781,0.0,0.0,0.0,1.5637015328975394,1.0286211738639395,1.354624710031203,23.850666554768882,23.779000027974448,24.65416653951009,33.057999801635745,33.057999992370604,33.740333493550615,14.643333307902019,14.499999936421712,15.567999871571859,3147.8424743028495,851.6934561907477,2614.8562683367277,498.2055285978291,133.56242477798713,456.738732404176,919.4354577181007,332.73489943448254,697.266368819446,697.266368819446,586.7005582836184,216.90907364595324,91.95134917748078
2000-09-01,6439.25,4499.02,4244.360000000001,9866.94,3368.8400000000006,5450.700000000001,1942.82,31649.000000000004,1401.3300000000002,26997.890000000003,2736.9900000000002,0.6523611545562744,0.0,0.0,0.0,1.5637015328975394,1.0286211738639395,1.354624710031203,23.850666554768882,23.779000027974448,24.65416653951009,33.057999801635745,33.057999992370604,33.740333493550615,14.643333307902019,14.499999936421712,15.567999871571859,3841.630712274831,886.4058730896197,2983.571545904562,498.2055285978291,140.43025785227542,456.738732404176,919.4354577181007,332.73489943448254,697.266368819446,697.266368819446,586.7005582836184,216.90907364595324,91.95134917748078
