datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,SHA_out,FOL_out,ORO_out,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
2016-10-01,672089.1449247098,1008271.0398427319,397250.3244853153,637117.0246115552,363360.2790795962,1109830.9541947432,270483.1779148563,2020206.446683384,224621.05203793847,1599189.9587590825,699073.2804231658,74.76902093037936,134.02917298728343,332.3923394233018,160.21803951162124,8.232093437429223,12.53498009572093,18.90210480134429,0.6191362375099216,0.6174466738780313,0.594000742403666,0.6569282091241914,0.7007553880913053,0.6973835541426029,0.6384178442587386,0.6285134439021539,0.6100008818375386,687.4028658744156,75.70794363116248,547.7643851688218,2622.777909457319,1187.2136242168715,1844.5071610737257,14629.084082002093,13529.262858334383,1041.353713290591,723.2490288668345,1295.3556024028085,508.8177586573584,6.727878571428601
2017-10-01,673267.6630935956,1007877.2984196063,397936.36928484787,635514.8346228497,363873.02114691737,1109198.5089461065,270641.27783936233,2027574.8968070808,224860.77718379462,1604080.136909602,698412.6062037928,75.34480669090762,135.08657433754658,335.0146952112735,160.53183149023872,8.245066374167992,12.532916785250675,18.91676040848491,0.6364823215629426,0.6338298394290799,0.6127754743351654,0.6672246953941378,0.7091558422526314,0.7080848648822851,0.6626621251435513,0.6489570293031409,0.6289009998526885,685.5917033771104,73.50929306242288,547.1197271327438,2593.3797237617587,1176.3167160039932,1819.976255145189,14576.01365814132,13485.335695888714,1041.6433130132386,719.2822678964952,1288.2118559547646,519.3848339858822,6.724836985137215
2018-10-01,658414.5592238007,991895.5646012411,388054.52045901085,617833.1878631661,357020.9143683999,1097978.9512209494,265583.4618171896,2028695.3901228656,220432.1967098414,1605598.9495209102,689751.3965008662,73.64411975161686,125.62805232344206,311.5575596382803,154.75481876840257,8.189238832232526,12.339798032926991,18.575116713075197,0.6266096121460056,0.6197838223580524,0.5988274210619398,0.6456350384428899,0.685359271228936,0.684616767980801,0.6657803792556375,0.6486103634622785,0.6309375360875827,720.0940496284737,72.23088486905758,547.3014401868061,2624.169516588301,1153.9842940344436,1825.477239762131,14519.814363981546,13437.440533977371,1003.7712663587952,733.3443047156962,1280.346020680663,501.7715542441109,6.860849215451985
2019-10-01,660414.8549420472,987473.3323518281,390617.51037404314,623860.0999827732,357124.6597043033,1093540.414165035,265038.3348661943,2027101.7170452627,219986.41590713288,1604934.8943038401,686739.9276781828,74.03771872317519,126.24605774907668,313.09021333302155,156.4297273420434,8.252824721333385,12.30202280372805,18.581320923715555,0.6238942889896404,0.6416808201722598,0.630766203295934,0.6847631074017327,0.7578529281903055,0.7800064440569922,0.6310711845245495,0.6239826846610204,0.6042823244248046,754.2245140638244,76.21987620215852,561.425876744789,2667.2954985184197,1158.5442176502863,1849.044154467826,14456.862137165484,13370.159581902222,971.2404498892199,744.0578239482014,1292.5680003785812,499.0083142267921,6.7852375441364785
2020-10-01,656900.9340822621,986346.5327413676,388400.9303021833,622073.9979839447,355418.6295104879,1098834.8710351803,263912.7016887462,2050767.6339393388,219001.8670161796,1624220.3002321078,687904.2121201887,73.79409870834253,125.66963439814099,311.66068359679946,154.97769690382674,8.474873334398918,12.413685720658936,18.594804881682524,0.6258862125223636,0.6412341390680254,0.6288134365873772,0.6811017392261461,0.7606532198719455,0.7824358197900053,0.641986410946124,0.6339056452564135,0.6115270082904698,777.4213217273973,75.73645532636134,568.4998399035493,2706.3237675010273,1159.3676037844039,1863.647187776211,14483.646540582384,13385.516552562332,968.5466896894512,762.9701402760679,1306.2221905262136,499.9817002619702,6.787867108322957
2021-10-01,656836.3041168227,988212.0122995372,387911.1475801161,620617.5518752995,355542.76760911965,1107918.0703946336,264052.83832736773,2091707.2921103903,219142.2373045342,1657875.557838924,690989.8115773426,73.41664492510262,123.93629358259369,307.36199910476006,154.5388129439773,8.744544268484981,12.544575412090827,18.637427846462817,0.5672243525033528,0.5918286334622463,0.5830913724305986,0.6254394417661804,0.7145231750637768,0.7404133208339299,0.6005280952466577,0.5949019215044384,0.5739558392450673,773.6886059262439,75.16325315539368,569.9546557511578,2754.0237751900695,1162.3272842488645,1884.6065317525038,14607.2622761107,13489.84215504293,969.5526546923819,772.3590554745122,1321.2105790740445,501.5930131757908,6.893234193037578
2022-10-01,660409.9307918544,990275.9763560672,389814.58353197895,626578.3528531991,356851.3036761776,1109605.7889053847,264334.53032408725,2085561.471342162,219569.88548173796,1652238.6355937687,692323.8757392088,72.76482321326911,123.9203735532783,307.3225175460491,154.20718597866866,8.696471512947454,12.583684715893641,18.72878238364885,0.5835265269530254,0.6171284974148047,0.599451812297452,0.650202616292683,0.7583360632534327,0.770919288304064,0.6076615080826437,0.5980503915235884,0.5738134061655239,769.2426420534305,73.05487255268409,565.4227952681218,2739.742099243431,1163.9956051825093,1881.8670230396197,14578.04552143712,13456.041827650948,948.537421068853,762.1983320694414,1320.9944969174294,480.3666362142446,6.889160198351978
2023-10-01,657454.9780173076,985188.4319721691,388896.9263352111,625493.9814380815,355130.0242637486,1107845.597111028,262826.9300731555,2095095.8130035803,218239.80929527612,1664480.1580595924,688089.0636604808,74.40564743215062,124.2138879163491,308.05043056476933,151.33049739255776,8.772544195644283,12.584217936907164,18.672878388447476,0.5973730873508614,0.6331339335329087,0.6134650873490364,0.676816463295766,0.7831261224285613,0.7880194538706223,0.6066580546510004,0.6029752704265193,0.5820060472822358,749.0339812732932,71.3270639041187,544.9726866456813,2814.901417691964,1157.9234049542129,1885.6882869882663,14791.969256603956,13674.350671595188,932.8713411682816,780.4380208071449,1306.5175074389115,480.6874206192032,6.922126625422838
2024-10-01,657307.3094437498,979881.7580338245,390002.80957639584,630669.9498271063,354397.0699286824,1101598.1781805234,262328.3700424911,2101319.96864641,218064.7748933716,1671137.9383673607,683821.0959743178,74.63539968282957,124.26567991161636,308.1788748379165,150.36716318865834,8.832949732250487,12.491732516411371,18.545812435352513,0.5948411837323989,0.6165044044410147,0.5893591160332773,0.6769013751768991,0.7750713774165118,0.7754132745739624,0.5990849758442761,0.5768130367335352,0.5466566218427316,749.0705855123135,70.16655987280967,545.349726282093,2818.8779714796824,1156.0053343343727,1886.3557161557057,14621.189558764514,13504.825859387965,935.7063409298567,775.6703243341291,1309.005869043768,480.76205536541306,6.872527908906976
2025-10-01,655957.0491422982,982902.6535022663,388782.97135721793,628999.2567631789,354436.27156707575,1104642.3635773626,262839.7851903718,2097616.3420303147,218407.24950056424,1668774.038555424,688012.2699488829,75.21336678369882,126.2621886652213,313.1302166080284,153.77494288980427,8.790927098420742,12.475131963733881,18.509372906089553,0.5995587377162378,0.6305521641627234,0.6043065407753051,0.6984237695602297,0.8109886252430624,0.8110613070828353,0.5817657103283991,0.554285232726216,0.5250631691308727,739.0136987913587,76.95818526274562,543.0868193810923,2817.579894072695,1158.6885026994203,1889.8488956135816,14622.769681745249,13502.778776172881,920.8367485992602,777.2929203376062,1315.0325932628305,481.17068317573984,6.924427205100412
