,0
0,0.03279764590912082
1,0.03624558490318741
2,0.03624558490318741
3,0.038689613404231604
4,0.02288362535992261
5,-0.05977159367245899
6,-0.04661923480736918
7,-0.030789800359606878
8,0.016988623267628733
9,0.03333668620841612
10,0.046784173419071706
11,0.043336234425004894
12,0.029917189755015894
13,0.005781863033943124
14,0.005781863033943124
15,0.046154229649161826
16,0.022026203183884152
17,-0.008603787584481104
18,-0.05364981466671692
19,-0.04082503909306745
20,-0.061651933721558416
21,-0.061651933721558416
22,-0.04851014781040097
23,-0.05118773457485992
24,-0.05118773457485992
25,-0.0206747350761588
26,-0.07370355353246938
27,-0.07199228262031898
28,-0.065598423548347
29,-0.07842319912199658
30,-0.05608277676350071
31,-0.05608277676350071
32,-0.05050012055074926
33,-0.016785618251277445
34,-0.022137982941884293
35,-0.022531422835262105
36,0.052448730821424205
37,0.06579662158756128
38,0.054576919930318435
39,0.05810020729745624
40,0.031780622774619016
41,0.031098609135430832
42,0.02607047044034272
43,0.04109373810984607
44,0.028622080123759885
45,0.033771492877138654
46,0.08038914572353517
47,0.09976101516998559
48,0.0716651480766678
49,0.05639303679753427
50,0.05724200778679889
51,0.05792402142598707
52,0.06576040988322462
53,0.04946750752115914
54,0.07264389488845924
55,0.029189236675929098
56,-0.028404083770655286
57,-0.04452135527693124
58,-0.011292069708065955
59,-0.031228064996110305
60,-0.014885028191121807
61,-0.02733705092039329
62,-0.03545069813646262
63,-0.06029024444904452
64,-0.047818586462958335
65,-0.033893076425365876
66,-0.03335176036518328
67,-0.09020812983731086
68,-0.06211226274399306
69,-0.01867861963195727
70,-0.014002459251121646
71,-0.0015504365218506067
72,-0.005569677145877194
73,0.013530132114645821
74,-0.004293890562047431
75,0.0040370435924107495
76,-0.027611755976554297
77,0.036760157862773424
78,-0.005096442951607272
0,-0.021019553318820994
1,-0.021019553318820994
2,-0.021019553318820994
3,-0.012435988362739181
4,-0.04151365526237483
5,-0.09292582173031239
6,-0.09763995800818603
7,-0.09763995800818603
8,-0.08258882584699645
9,-0.04678499926603841
10,0.018039959105578984
11,0.018039959105578984
12,0.003568860884904934
13,-0.005014704071176879
14,-0.022935685424467778
15,-0.022935685424467778
16,-0.022935685424467778
17,-0.022935685424467778
18,-0.05786800767926381
19,-0.02206418109830577
20,0.056208932329911976
21,0.056208932329911976
22,0.07068003055058603
23,0.00635829772423524
24,0.0015167676684618714
25,-0.01270196181561234
26,-0.01270196181561234
27,-0.01270196181561234
28,-0.046387152342200255
29,-0.09716867577014254
30,-0.1401935874515895
